"","L_AREA","L_DRYM","PL_H_flora_MAX","PLOIDY..VALUE.","SEEDM","SLA","PLOIDY","TAPROOT","VEG_DISP","WOODY","LIFESPAN","GROWTHF"
"Abies_alba",0.42,0.005395,4000,NA,72.1566666666667,5.87,"diploid",NA,"no vegetative dispersal parts","Frutescent","pluriennial",NA
"Acer_campestre",NA,NA,NA,NA,NA,NA,NA,NA,"no vegetative dispersal parts",NA,NA,NA
"Acer_monspessulanum",NA,NA,NA,NA,NA,NA,NA,NA,"no vegetative dispersal parts",NA,NA,NA
"Acer_opalus",NA,NA,1000,NA,100,17.68,"diploid",NA,"basal lateral shoots","Frutescent","pluriennial",NA
"Acer_platanoides",71.4165833325,NA,2000,NA,129.0017,20.1929787825,"diploid",NA,"basal lateral shoots","Frutescent","pluriennial",NA
"Acer_pseudoplatanus",83.650366666,NA,2500,4,91.980756248125,18.6149178025,"tetraploid",NA,"basal lateral shoots","Frutescent","pluriennial",NA
"Achillea_distans",NA,NA,70,6,0.2265,NA,NA,NA,"below-ground runners","Herbaceous",NA,NA
"Achillea_millefolium",4.565,0.0217633333333333,60,6,0.174206060606061,18.68,"hexaploid","no","below-ground runners","Herbaceous","pluriennial",NA
"Achillea_nobilis",NA,NA,60,2,0.0645,NA,"diploid","no","root shoots","Herbaceous","pluriennial",NA
"Achillea_roseo",NA,NA,60,NA,NA,NA,"diploid",NA,"below-ground runners","Herbaceous","pluriennial",NA
"Achnatherum_calamagrostis",NA,NA,90,NA,0.29,NA,"tetraploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Acinos_alpinus",NA,NA,20,NA,1.6,NA,"diploid",NA,"no vegetative dispersal parts","Herbaceous","pluriennial",NA
"Acinos_arvensis",NA,NA,NA,NA,NA,NA,NA,NA,"no vegetative dispersal parts",NA,NA,NA
"Aconitum_anthora",NA,NA,70,NA,NA,NA,NA,"no","no vegetative dispersal parts","Herbaceous",NA,NA
"Aconitum_laeve",NA,NA,NA,NA,NA,NA,NA,NA,"basal lateral shoots",NA,NA,NA
"Aconitum_variegatum",NA,NA,NA,NA,NA,NA,NA,NA,"basal lateral shoots",NA,NA,NA
"Actaea_spicata",242.755,0.546005,50,NA,56.8200888888889,38.415,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Adenostyles_alliariae",NA,NA,150,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Adenostyles_alpina",NA,NA,50,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Adenostyles_leucophylla",NA,NA,50,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Adonis_aestivalis",1.94,0.0046,60,NA,7.8764,42.07,"tetraploid",NA,"basal lateral shoots","Herbaceous","annual",NA
"Adoxa_moschatellina",19.0366666666667,0.0498463570633333,12,4,38.5576,NA,"diploid","no","below-ground runners","Herbaceous","pluriennial",NA
"Aegopodium_podagraria",135.003333333333,0.7535581651,70,NA,1.7615,26.89,"tetraploid","no","below-ground runners","Herbaceous","pluriennial",NA
"Aethionema_saxatile",NA,NA,25,NA,0.525,NA,NA,NA,"basal lateral shoots","Suffrutescent",NA,NA
"Aethusa_cynapium",32.165,0.118208577966,50,NA,1.646825,35.09,"diploid","yes","no vegetative dispersal parts","Herbaceous","annual",NA
"Agrestis_alpina",NA,NA,25,NA,0.1,NA,NA,"no","basal lateral shoots","Herbaceous",NA,NA
"Agrestis_rupestris",0.6,NA,15,NA,0.0997333333333333,8.1,"tetraploid",NA,"basal lateral shoots","Herbaceous","pluriennial","graminoids"
"Agrimonia_eupatoria",84.61,0.4945374473,90,NA,15.2899666666667,20.385,"tetraploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Agrostis_agrostiflora",NA,NA,70,NA,0.07,NA,NA,NA,"below-ground runners","Herbaceous",NA,NA
"Agrostis_capillaris",3.08,0.01018646215775,70,5,0.0932666666666667,44.428,NA,"no","tussocks, tufts","Herbaceous","pluriennial",NA
"Agrostis_stolonifera",2.9825,0.0094082575675,50,NA,0.0545428571428571,22.76,"pentaploid","no","below-ground runners","Herbaceous","pluriennial",NA
"Ajuga_chamaepitys",0.69,0.003065,10,NA,1.215,22.48,"tetraploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Ajuga_genevensis",4.08,0.01799,30,NA,1.754,25.825,"tetraploid","no","root shoots","Herbaceous","pluriennial",NA
"Ajuga_pyramidalis",8.6,0.045475,15,NA,1.46988571428571,20.09,"tetraploid","no","root shoots","Herbaceous","pluriennial",NA
"Ajuga_reptans",5.56,0.01736967841,40,NA,1.41897333333333,37.31,"tetraploid","no","root shoots","Herbaceous","pluriennial",NA
"Alchemilla_alpina",NA,NA,NA,NA,NA,NA,NA,NA,"above-ground shoots","Herbaceous","pluriennial",NA
"Alchemilla_baltica",NA,NA,NA,NA,NA,NA,NA,NA,"above-ground shoots","Herbaceous",NA,NA
"Alchemilla_conjuncta",NA,NA,30,NA,0.7115,NA,NA,NA,"above-ground shoots","Herbaceous","pluriennial",NA
"Alchemilla_connivens",NA,NA,NA,NA,NA,NA,NA,NA,"basal lateral shoots",NA,"pluriennial",NA
"Alchemilla_fissa",NA,NA,NA,NA,0.95,NA,NA,NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Alchemilla_flabellata",NA,NA,20,NA,0.644333333333333,NA,NA,NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Alchemilla_glabra",25.0547222222222,0.137629866216667,NA,NA,0.474058333333333,28.83222048,"duodecaploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Alchemilla_glaucescens",NA,NA,NA,NA,NA,NA,NA,NA,"basal lateral shoots",NA,NA,NA
"Alchemilla_gracilis",NA,NA,NA,NA,NA,NA,NA,NA,"basal lateral shoots",NA,NA,NA
"Alchemilla_incisa",NA,NA,NA,NA,NA,NA,NA,NA,"basal lateral shoots",NA,"pluriennial",NA
"Alchemilla_monticola",28.54,0.13578,NA,NA,0.5002,17.34,NA,"no","basal lateral shoots","Herbaceous","pluriennial",NA
"Alchemilla_NA",NA,NA,NA,NA,NA,NA,NA,NA,"basal lateral shoots",NA,NA,NA
