"","phyloTips","persistant","underIce","n","aiguille.du.plat.de.la.selle","barre.des.Ecrins","brèche.de.valsenestre","brèche.du.râteau","la.meije","le.râteau","le.sirac","les.rouies","l.olan","mont.pelvoux","occidentale.l.ailefroide","pic.du.clapier.du.peyron","pic.ouest..le.rateau.","pointe.brevoort","pointes.de.burlan","rocher.de.la.selle","signal.du.lauvitel","tour.choisy","tête.de.la.muraillette","Summits"
"Achillea_millefolium","Achillea_millefolium","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Agrostis_capillaris","Agrostis_capillaris","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Alchemilla_alpina","Alchemilla_alpina","1","1","1","1","0","0","1","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","1"
"Alchemilla_fissa","Alchemilla_fissa","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","1"
"Alchemilla_flabellata","Alchemilla_flabellata","1","1","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","1"
"Alchemilla_glabra","Alchemilla_glabra","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"Alchemilla_glaucescens","Alchemilla_glaucescens","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1"
"Alchemilla_pentaphyllea","Alchemilla_pentaphyllea","1","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1"
"Alchemilla_transiens","Alchemilla_transiens","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Alchemilla_xanthochlora","Alchemilla_xanthochlora","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Alopecurus_magellanicus","Alopecurus_magellanicus","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1"
"Androsace_obtusifolia","Androsace_obtusifolia","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1"
"Androsace_vandellii","Androsace_vandellii","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1"
"Androsace_vitaliana","Androsace_vitaliana","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Antennaria_carpatica","Antennaria_carpatica","1","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1"
"Antennaria_dioica","Antennaria_dioica","1","1","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","1","1"
"Anthoxanthum_odoratum","Anthoxanthum_odoratum","1","1","1","1","1","1","0","0","1","1","0","1","1","0","0","0","0","0","1","1","0","0","1"
"Arabis_alpina","Arabis_alpina","1","1","1","0","0","0","0","1","1","1","1","1","0","0","1","0","0","0","1","1","0","0","1"
"Armeria_alpina","Armeria_alpina","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","1","1"
"Artemisia_genipi","Artemisia_genipi","1","1","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1"
"Artemisia_umbelliformis","Artemisia_umbelliformis","1","1","1","0","0","0","0","1","1","0","1","1","0","1","1","0","1","1","1","1","1","1","1"
"Asplenium_adiantum_nigrum","Asplenium_adiantum_nigrum","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Asplenium_septentrionale","Asplenium_septentrionale","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Asplenium_trichomanes","Asplenium_trichomanes","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Asplenium_viride","Asplenium_viride","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1"
"Aster_alpinus","Aster_alpinus","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1"
"Astragalus_alpinus","Astragalus_alpinus","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1"
"Astragalus_australis","Astragalus_australis","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1"
"Astrantia_major","Astrantia_major","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"Athamanta_cretensis","Athamanta_cretensis","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1"
"Atocion_rupestre","Atocion_rupestre","1","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1"
"Bartsia_alpina","Bartsia_alpina","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"Berardia_subacaulis","Berardia_subacaulis","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Bistorta_vivipara","Bistorta_vivipara","1","1","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","1","1","0","1","1"
"Botrychium_lunaria","Botrychium_lunaria","1","0","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","0","1"
"Bupleurum_stellatum","Bupleurum_stellatum","1","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","1","0","0","0","1"
"Callianthemum_coriandrifolium","Callianthemum_coriandrifolium","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"Campanula_cenisia","Campanula_cenisia","1","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","1","0","0","1","1"
"Campanula_rhomboidalis","Campanula_rhomboidalis","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Campanula_rotundifolia","Campanula_rotundifolia","1","1","1","0","0","0","1","1","1","1","1","0","0","0","0","0","0","1","1","1","0","1","1"
"Capsella_bursa_pastoris","Capsella_bursa_pastoris","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Cardamine_bellidifolia","Cardamine_bellidifolia","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Cardamine_resedifolia","Cardamine_resedifolia","1","1","1","1","0","0","1","1","1","0","1","1","0","0","0","1","0","0","1","0","1","0","1"
"Carex_atrata","Carex_atrata","1","1","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","1","1"
"Carex_bicolor","Carex_bicolor","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Carex_digitata","Carex_digitata","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
