"","taxized","persistant","underIce","n","aiguille du plat de la selle","barre des Ecrins","brèche de valsenestre","brèche du râteau","la meije","le râteau","le sirac","les rouies","l'olan","mont pelvoux","occidentale l'ailefroide","pic du clapier du peyron","pic ouest (le rateau)","pointe brevoort","pointes de burlan","rocher de la selle","signal du lauvitel","tour choisy","tête de la muraillette"
"1","Achillea millefolium","1","1",166,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"2","Acinos alpinus","2","0",0,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"3","Agrestis alpina","15","0",34,"0","0","0","0","2","1","4","0","0","0","0","0","1","2","0","3","1","0","1"
"4","Agrestis rupestris","22","6",69,"1","2","0","3","1","2","4","3","5","0","2","0","0","0","0","4","1","0","0"
"5","Agrostis agrostiflora","3","1",0,"0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","2","0","0","0"
"6","Agrostis capillaris","0","1",83,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Alchemilla alpina","6","2",154,"1","0","0","1","1","3","1","1","4","0","0","1","0","0","0","3","0","0","0"
"8","Alchemilla baltica","2","0",0,"0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Alchemilla fissa","4","0",27,"0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1"
"10","Alchemilla flabellata","6","1",24,"0","1","0","0","0","2","2","0","0","0","0","0","0","0","0","0","1","0","1"
"11","Alchemilla glabra","2","0",31,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"12","Alchemilla glaucescens","3","0",40,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0"
"13","Alchemilla NA","2","1",67,"0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0"
"14","Alchemilla pentaphyllea","5","0",16,"1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","0"
"15","Alchemilla transiens","3","2",50,"0","0","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Alchemilla xanthochlora","0","1",45,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Alopecurus magellanicus","2","0",27,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"18","Alsinanthus biflorus","1","0",6,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"19","Androsace obtusifolia","5","0",14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1"
"20","Androsace vandellii","4","0",8,"0","0","0","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"21","Androsace vitaliana","1","1",13,"0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Anemonoides baldensis","4","0",18,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0"
"23","Antennaria carpatica","4","2",28,"0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","3","0","0","0"
"24","Antennaria dioica","6","1",50,"0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","3","0","0","1"
"25","Anthoxanthum odoratum","7","2",305,"1","1","1","0","0","2","1","0","1","1","0","0","0","0","0","5","1","0","0"
