"","Row.names","Endemic","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"1","Abies_alba","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Acer_campestre","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Acer_monspessulanum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Acer_opalus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Acer_platanoides","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Acer_pseudoplatanus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Achillea_distans","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Achillea_millefolium","0",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"9","Achillea_nobilis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Achillea_roseo","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Achnatherum_calamagrostis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Acinos_alpinus","0",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"13","Aconitum_anthora","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Aconitum_laeve","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Aconitum_variegatum","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Actaea_spicata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Adenostyles_alliariae","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Adenostyles_alpina","0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"19","Adenostyles_leucophylla","1",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"20","Adonis_aestivalis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Adoxa_moschatellina","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Aegopodium_podagraria","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Aethionema_saxatile","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Aethusa_cynapium","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Agrestis_alpina","0",1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1
"26","Agrestis_rupestris","0",1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1
