"","taxized","combinedname","Combined.Name","GENRE","x","ESPECE","RG","SUBSP.","END.","DIST.","NF","NG","NE","NI"
"1","Achillea erba","Achillea erba rotta NA","Achillea erba-rotta","Achillea","","erba-rotta","subsp.    ","ambigua","End.","W-Alp.","124","31","2","3"
"2","Achillea schurii","Achillea schurii","Achillea oxyloba","Achillea","","oxyloba","","","End.","E-Alp.","124","31","1",NA
"3","Aconitum angustifolium","Aconitum angustifolium NA","Aconitum angustifolium","Aconitum","","angustifolium","","","End.","E-Alp.","19","9","6",NA
"4","Aconitum variegatum","Aconitum variegatum","Aconitum variegatum","Aconitum","","variegatum","subsp.    ","valesiacum","End.","W-Alp.","19","9","3","4"
"5","Adenostyles leucophylla","Adenostyles leucophylla NA","Adenostyles leucophylla","Adenostyles","","leucophylla","","","End.","W-Alp.","124","44","3",NA
"6","Allium kermesinum","Allium kermesinum NA","Allium kermesinum","Allium","","kermesinum","","","End.","E-Alp.","143","23","4",NA
"7","Allium narcissiflorum","Allium narcissiflorum var. insubricum","Allium insubricum","Allium","","insubricum","","","End.","E-Alp.","143","23","8",NA
"8","Allium sphaerocephalon","Allium sphaerocephalon var. scaberrimum","Allium scaberrimum","Allium","","scaberrimum","","","End.","W-Alp.","143","23","27",NA
"9","Alsinanthus bavaricus","Alsinanthus bavaricus","Moehringia bavarica","Moehringia","","bavarica","subsp.    ","insubrica","End.","E-Alp.","38","2","11","2"
"10","Alyssum alpestre","Alyssum alpestre","Alyssum alpestre","Alyssum","","alpestre","","","End.","W-Alp.","54","31","10",NA
"11","Alyssum argenteum","Alyssum argenteum","Alyssum argenteum","Alyssum","","argenteum","","","End.","W-Alp.","54","31","9",NA
"12","Alyssum ligusticum","Alyssum ligusticum NA","Alyssum ligusticum","Alyssum","","ligusticum","","","End.","W-Alp.","54","31","1",NA
"13","Alyssum wulfenianum","Alyssum wulfenianum","Alyssum wulfenianum","Alyssum","","wulfenianum","","","End.","E-Alp.","54","31","5",NA
"14","Androsace alpina","Androsace alpina NA","Androsace alpina","Androsace","","alpina","","","End.","Alp.","60","2","15",NA
"15","Androsace brevis","Androsace brevis","Androsace brevis","Androsace","","brevis","","","End.","E-Alp.","60","2","17",NA
"16","Androsace carnea","Androsace carnea subsp. adfinis","Androsace adfinis","Androsace","","adfinis","subsp.    ","adfinis","End.","W-Alp.","60","2","8","1"
"17","Androsace hausmannii","Androsace hausmannii NA","Androsace hausmannii","Androsace","","hausmannii","","","End.","E-Alp.","60","2","14",NA
"18","Androsace septentrionalis","Androsace septentrionalis var. chaixii","Androsace chaixii","Androsace","","chaixii","","","End.","W-Alp.","60","2","4",NA
"19","Androsace vitaliana","Androsace vitaliana NA","Androsace vitaliana","Androsace","","vitaliana","subsp.    ","sesleri","End.","E-Alp.","60","2","1","3"
"20","Androsace wulfeniana","Androsace wulfeniana NA","Androsace wulfeniana","Androsace","","wulfeniana","","","End.","E-Alp.","60","2","16",NA
"21","Anthyllis vulneraria","Anthyllis vulneraria","Anthyllis vulneraria","Anthyllis","","vulneraria","subsp.    ","valesiaca","End.","W-Alp.","64","36","2","8"
