Combined Name,GENRE,x,ESPECE,RG,SUBSP.,END.,DIST.,NF,NG,NE,NI
Achillea atrata,Achillea,,atrata,,,Subend.,E-Alp.,124,31,4,
Achillea clusiana,Achillea,,clusiana,,,End.,E-Alp.,124,31,5,
Achillea erba-rotta,Achillea,,erba-rotta,subsp.    ,ambigua,End.,W-Alp.,124,31,2,3
Achillea erba-rotta,Achillea,,erba-rotta,subsp.    ,erba-rotta,End.,W-Alp.,124,31,2,1
Achillea erba-rotta,Achillea,,erba-rotta,subsp.    ,moschata,End.,Alp.,124,31,2,2
Achillea nana,Achillea,,nana,,,End.,W-Alp.,124,31,3,
Achillea oxyloba,Achillea,,oxyloba,,,End.,E-Alp.,124,31,1,
Aconitum angustifolium,Aconitum,,angustifolium,,,End.,E-Alp.,19,9,6,
Aconitum variegatum,Aconitum,,variegatum,subsp.    ,valesiacum,End.,W-Alp.,19,9,3,4
Adenostyles leucophylla,Adenostyles,,leucophylla,,,End.,W-Alp.,124,44,3,
Allium insubricum,Allium,,insubricum,,,End.,E-Alp.,143,23,8,
Allium kermesinum,Allium,,kermesinum,,,End.,E-Alp.,143,23,4,
Allium narcissiflorum,Allium,,narcissiflorum,,,End.,W-Alp.,143,23,7,
Allium scaberrimum,Allium,,scaberrimum,,,End.,W-Alp.,143,23,27,
Alyssum alpestre,Alyssum,,alpestre,,,End.,W-Alp.,54,31,10,
Alyssum argenteum,Alyssum,,argenteum,,,End.,W-Alp.,54,31,9,
Alyssum ligusticum,Alyssum,,ligusticum,,,End.,W-Alp.,54,31,1,
Alyssum wulfenianum,Alyssum,,wulfenianum,,,End.,E-Alp.,54,31,5,
Androsace adfinis,Androsace,,adfinis,subsp.    ,adfinis,End.,W-Alp.,60,2,8,1
Androsace adfinis,Androsace,,adfinis,subsp.    ,brigantiaca,End.,W-Alp.,60,2,8,2
Androsace adfinis,Androsace,,adfinis,subsp.    ,puberula,End.,W-Alp.,60,2,8,3
Androsace alpina,Androsace,,alpina,,,End.,Alp.,60,2,15,
Androsace brevis,Androsace,,brevis,,,End.,E-Alp.,60,2,17,
Androsace chaixii,Androsace,,chaixii,,,End.,W-Alp.,60,2,4,
Androsace hausmannii,Androsace,,hausmannii,,,End.,E-Alp.,60,2,14,
Androsace pubescens,Androsace,,pubescens,,,End.,W-Alp.,60,2,13,
Androsace vitaliana,Androsace,,vitaliana,subsp.    ,sesleri,End.,E-Alp.,60,2,1,3
Androsace wulfeniana,Androsace,,wulfeniana,,,End.,E-Alp.,60,2,16,
Anthyllis vulneraria,Anthyllis,,vulneraria,subsp.    ,valesiaca,End.,W-Alp.,64,36,2,8
Aquilegia einseleana,Aquilegia,,einseleana,,,End.,E-Alp.,19,19,4,
Aquilegia thalictrifolia,Aquilegia,,thalictrifolia,,,End.,E-Alp.,19,19,6,
Aquilegia vestinae,Aquilegia,,vestinae,,,End.,E-Alp.,19,19,5,
