Id_station,Taxon_saisi,Taxon enregistré,Taxon_reference,Taxon_complet,Herb,inf_1m,1a4m,Sup_4m,Date,Secteur,Commune,Acces,Observateurs,Niveau,Programme,IdSophie,Pointage,Surface,Homogene,Exposition,Altitude,Micro-reliefs,Meso-relief_longitudinal,meso-relief_lateral,Canopee,Ligneux_hauts,Ligneux_bas,Ligneux_tbas,Herbaces,Mousses,Litiere,Codes_delphine,Remarques,Pdop,L93X,L93Y,Relue
3569,"Ilex aquifolium L., 1753","Ilex aquifolium L., 1753","Ilex aquifolium L., 1753","Ilex aquifolium L., 1753",,,,4,20/11/12,,,Difficile - Rochambec,"Christian Bertini, Bernard Nicollet",P,Aucun programme complémentaire,0,GPS,100 m2,,Ouest,1120,,,,0,0,0,0,0,0,0,,,4,933347.9026,6427555.624,oui
3570,"Acer campestre L., 1753","Acer campestre L., 1753","Acer campestre L., 1753","Acer campestre L., 1753",,,1,,20/11/12,,,Difficile - Rochambec,"Christian Bertini, Bernard Nicollet",P,Aucun programme complémentaire,0,GPS,100 m2,,Ouest,1120,,,,0,0,0,0,0,0,0,,,4,933347.9026,6427555.624,oui
3570,Acer monspessulanum L. subsp. monspessulanum,Acer monspessulanum L. subsp. monspessulanum,Acer monspessulanum L. subsp. monspessulanum,Acer monspessulanum L. subsp. monspessulanum,,,1,,20/11/12,,,Difficile - Rochambec,"Christian Bertini, Bernard Nicollet",P,Aucun programme complémentaire,0,GPS,100 m2,,Ouest,1120,,,,0,0,0,0,0,0,0,,,4,933347.9026,6427555.624,oui
3570,"Amelanchier ovalis Medik., 1793","Amelanchier ovalis Medik., 1793","Amelanchier ovalis Medik., 1793","Amelanchier ovalis Medik., 1793",,,1,,20/11/12,,,Difficile - Rochambec,"Christian Bertini, Bernard Nicollet",P,Aucun programme complémentaire,0,GPS,100 m2,,Ouest,1120,,,,0,0,0,0,0,0,0,,,4,933347.9026,6427555.624,oui
3570,"Berberis vulgaris L., 1753","Berberis vulgaris L., 1753","Berberis vulgaris L., 1753","Berberis vulgaris L., 1753",,,1,,20/11/12,,,Difficile - Rochambec,"Christian Bertini, Bernard Nicollet",P,Aucun programme complémentaire,0,GPS,100 m2,,Ouest,1120,,,,0,0,0,0,0,0,0,,,4,933347.9026,6427555.624,oui
3570,"Crataegus monogyna Jacq., 1775","Crataegus monogyna Jacq., 1775","Crataegus monogyna Jacq., 1775","Crataegus monogyna Jacq., 1775",,1,,,20/11/12,,,Difficile - Rochambec,"Christian Bertini, Bernard Nicollet",P,Aucun programme complémentaire,0,GPS,100 m2,,Ouest,1120,,,,0,0,0,0,0,0,0,,,4,933347.9026,6427555.624,oui
3570,"Ilex aquifolium L., 1753","Ilex aquifolium L., 1753","Ilex aquifolium L., 1753","Ilex aquifolium L., 1753",,,,1,20/11/12,,,Difficile - Rochambec,"Christian Bertini, Bernard Nicollet",P,Aucun programme complémentaire,0,GPS,100 m2,,Ouest,1120,,,,0,0,0,0,0,0,0,,,4,933347.9026,6427555.624,oui
3464,"Acer campestre L., 1753","Acer campestre L., 1753","Acer campestre L., 1753","Acer campestre L., 1753",,1,,,23/10/12,Vallouise,Pelvoux,"Bois au-dessus d'une barre rocheuse surplombant le départ de la via ferrata ""sportive"" des Claux",Marie-Geneviève Nicolas,P,Aucun programme complémentaire,0,Carte IGN 1:25 000,100 m2,Oui,Sud Est,1320,,4,3,15,90,30,10,15,1,79,,,0,974289.5421,6425923.075,oui
3464,"Acer pseudoplatanus L., 1753","Acer pseudoplatanus L., 1753","Acer pseudoplatanus L., 1753","Acer pseudoplatanus L., 1753",,,,2,23/10/12,Vallouise,Pelvoux,"Bois au-dessus d'une barre rocheuse surplombant le départ de la via ferrata ""sportive"" des Claux",Marie-Geneviève Nicolas,P,Aucun programme complémentaire,0,Carte IGN 1:25 000,100 m2,Oui,Sud Est,1320,,4,3,15,90,30,10,15,1,79,,,0,974289.5421,6425923.075,oui
3464,"Anemone hepatica L., 1753","Anemone hepatica L., 1753","Anemone hepatica L., 1753","Anemone hepatica L., 1753",1,,,,23/10/12,Vallouise,Pelvoux,"Bois au-dessus d'une barre rocheuse surplombant le départ de la via ferrata ""sportive"" des Claux",Marie-Geneviève Nicolas,P,Aucun programme complémentaire,0,Carte IGN 1:25 000,100 m2,Oui,Sud Est,1320,,4,3,15,90,30,10,15,1,79,,,0,974289.5421,6425923.075,oui
3464,"Asplenium trichomanes L., 1753","Asplenium trichomanes L., 1753","Asplenium trichomanes L., 1753","Asplenium trichomanes L., 1753",+,,,,23/10/12,Vallouise,Pelvoux,"Bois au-dessus d'une barre rocheuse surplombant le départ de la via ferrata ""sportive"" des Claux",Marie-Geneviève Nicolas,P,Aucun programme complémentaire,0,Carte IGN 1:25 000,100 m2,Oui,Sud Est,1320,,4,3,15,90,30,10,15,1,79,,,0,974289.5421,6425923.075,oui
3464,"Corylus avellana L., 1753","Corylus avellana L., 1753","Corylus avellana L., 1753","Corylus avellana L., 1753",,+,2,,23/10/12,Vallouise,Pelvoux,"Bois au-dessus d'une barre rocheuse surplombant le départ de la via ferrata ""sportive"" des Claux",Marie-Geneviève Nicolas,P,Aucun programme complémentaire,0,Carte IGN 1:25 000,100 m2,Oui,Sud Est,1320,,4,3,15,90,30,10,15,1,79,,,0,974289.5421,6425923.075,oui
3464,"Euonymus latifolius (L.) Mill., 1768","Euonymus latifolius (L.) Mill., 1768","Euonymus latifolius (L.) Mill., 1768","Euonymus latifolius (L.) Mill., 1768",,2,2,,23/10/12,Vallouise,Pelvoux,"Bois au-dessus d'une barre rocheuse surplombant le départ de la via ferrata ""sportive"" des Claux",Marie-Geneviève Nicolas,P,Aucun programme complémentaire,0,Carte IGN 1:25 000,100 m2,Oui,Sud Est,1320,,4,3,15,90,30,10,15,1,79,,,0,974289.5421,6425923.075,oui
