"","x"
"1","Abies_alba"
"2","Acer_campestre"
"3","Acer_monspessulanum"
"4","Acer_opalus"
"5","Acer_platanoides"
"6","Acer_pseudoplatanus"
"7","Achillea_distans"
"8","Achillea_macrophylla"
"9","Achillea_millefolium"
"10","Achillea_nana"
"11","Achillea_nobilis"
"12","Achillea_roseo-alba"
"13","Achillea_stricta"
"14","Achnatherum_calamagrostis"
"15","Acinos_alpinus"
"16","Acinos_alpinus_alpinus"
"17","Acinos_arvensis"
"18","Aconitum_anthora"
"19","Aconitum_lycoctonum"
"20","Aconitum_variegatum"
"21","Actaea_spicata"
"22","Adenostyles_alliariae"
"23","Adenostyles_alpina"
"24","Adenostyles_alpina_alpina"
"25","Adenostyles_leucophylla"
"26","Adonis_aestivalis"
"27","Adoxa_moschatellina"
"28","Aegopodium_podagraria"
"29","Aethionema_saxatile"
"30","Aethusa_cynapium"
"31","Agrimonia_eupatoria"
"32","Agrostis_agrostiflora"
"33","Agrostis_alpina"
"34","Agrostis_capillaris"
"35","Agrostis_rupestris"
"36","Agrostis_schraderiana"
"37","Agrostis_stolonifera"
"38","Ajuga_chamaepitys"
"39","Ajuga_genevensis"
"40","Ajuga_pyramidalis"
"41","Ajuga_reptans"
"42","Alchemilla_alpigena"
"43","Alchemilla_alpina"
"44","Alchemilla_amphibola"
"45","Alchemilla_basaltica"
"46","Alchemilla_chirophylla"
"47","Alchemilla_conjuncta"
"48","Alchemilla_connivens"
"49","Alchemilla_coriacea"
"50","Alchemilla_decumbens"
"51","Alchemilla_fallax"
"52","Alchemilla_fissa"
"53","Alchemilla_flabellata"
"54","Alchemilla_flavovirens"
"55","Alchemilla_glabra"
"56","Alchemilla_glaucescens"
"57","Alchemilla_incisa"
"58","Alchemilla_L.,"
"59","Alchemilla_micans"
"60","Alchemilla_monticola"
"61","Alchemilla_nitida"
"62","Alchemilla_pallens"
"63","Alchemilla_pentaphyllea"
"64","Alchemilla_plicata"
"65","Alchemilla_saxatilis"
"66","Alchemilla_splendens"
"67","Alchemilla_subcrenata"
"68","Alchemilla_transiens"
"69","Alchemilla_xanthochlora"
"70","Alisma_plantago-aquatica"
"71","Alliaria_petiolata"
"72","Allium_flavum"
"73","Allium_lineare"
"74","Allium_lusitanicum"
"75","Allium_oleraceum"
"76","Allium_schoenoprasum"
"77","Allium_scorodoprasum"
"78","Allium_sphaerocephalon"
"79","Allium_ursinum"
"80","Allium_victorialis"
"81","Alnus_alnobetula"
"82","Alnus_glutinosa"
"83","Alnus_incana"
"84","Alopecurus_alpinus"
"85","Alopecurus_myosuroides"
"86","Alyssoides_utriculata"
"87","Alyssum_alpestre"
"88","Alyssum_alyssoides"
"89","Amelanchier_ovalis"
"90","Anacamptis_morio"
"91","Anagallis_arvensis"
"92","Androsace_adfinis"
"93","Androsace_adfinis_brigantiaca"
"94","Androsace_carnea"
"95","Androsace_helvetica"
"96","Androsace_maxima"
"97","Androsace_obtusifolia"
"98","Androsace_pubescens"
"99","Androsace_vandellii"
"100","Androsace_vitaliana"
"101","Anemone_baldensis"
"102","Anemone_hepatica"
"103","Anemone_narcissiflora"
"104","Anemone_narcissifolia"
"105","Anemone_ranunculoides"
