code_cbna;G_SP
17343;Abies alba
40496;Acer campestre
13;Acer monspessulanum
19;Acer opalus
22;Acer platanoides
23;Acer pseudoplatanus
776;Achillea distans
785;Achillea macrophylla
786;Achillea millefolium
796;Achillea nana
797;Achillea nobilis
40145;Achillea roseo-alba
0;Achillea stricta
15250;Achnatherum calamagrostis
8441;Acinos alpinus
8441;Acinos alpinus alpinus
8444;Acinos arvensis
10388;Aconitum anthora
10395;Aconitum lycoctonum
10418;Aconitum variegatum
10428;Actaea spicata
1080;Adenostyles alliariae
1085;Adenostyles alpina
1085;Adenostyles alpina alpina
1087;Adenostyles leucophylla
10429;Adonis aestivalis
28;Adoxa moschatellina
139;Aegopodium podagraria
3657;Aethionema saxatile
140;Aethusa cynapium
10912;Agrimonia eupatoria
15299;Agrostis agrostiflora
15307;Agrostis alpina
15316;Agrostis capillaris
15351;Agrostis rupestris
15299;Agrostis schraderiana
15363;Agrostis stolonifera
8449;Ajuga chamaepitys
8450;Ajuga genevensis
8457;Ajuga pyramidalis
8459;Ajuga reptans
40244;Alchemilla alpigena
40607;Alchemilla alpina
10926;Alchemilla amphibola
11025;Alchemilla basaltica
40244;Alchemilla chirophylla
10942;Alchemilla conjuncta
10943;Alchemilla connivens
10944;Alchemilla coriacea
10948;Alchemilla decumbens
10952;Alchemilla fallax
10957;Alchemilla fissa
10958;Alchemilla flabellata
10960;Alchemilla flavovirens
10967;Alchemilla glabra
40653;Alchemilla glaucescens
10982;Alchemilla incisa
10917;Alchemilla micans
10998;Alchemilla monticola
40427;Alchemilla nitida
11003;Alchemilla pallens
11004;Alchemilla pentaphyllea
11006;Alchemilla plicata
11013;Alchemilla saxatilis
11019;Alchemilla splendens
11022;Alchemilla subcrenata
11025;Alchemilla transiens
11035;Alchemilla xanthochlora
13458;Alisma plantago-aquatica
3663;Alliaria petiolata
40499;Allium flavum
13507;Allium lineare
13508;Allium lusitanicum
13519;Allium oleraceum
13546;Allium schoenoprasum
13549;Allium scorodoprasum
40500;Allium sphaerocephalon
40501;Allium ursinum
13561;Allium victorialis
3317;Alnus alnobetula
3320;Alnus glutinosa
3321;Alnus incana
15427;Alopecurus alpinus
15436;Alopecurus myosuroides
3664;Alyssoides utriculata
3665;Alyssum alpestre
3668;Alyssum alyssoides
11038;Amelanchier ovalis
40352;Anacamptis morio
10237;Anagallis arvensis
10254;Androsace adfinis
10256;Androsace adfinis brigantiaca
10257;Androsace carnea
10280;Androsace helvetica
40503;Androsace maxima
10287;Androsace obtusifolia
10289;Androsace pubescens
10295;Androsace vandellii
10297;Androsace vitaliana
10451;Anemone baldensis
10572;Anemone hepatica
10459;Anemone narcissiflora
10459;Anemone narcissifolia
40504;Anemone ranunculoides
161;Angelica sylvestris
845;Antennaria carpatica
846;Antennaria dioica
13677;Anthericum liliago
15465;Anthoxanthum odoratum
15466;Anthoxanthum odoratum nipponicum
171;Anthriscus sylvestris
6681;Anthyllis montana
6684;Anthyllis vulneraria
12316;Antirrhinum latifolium
10477;Aquilegia alpina
10491;Aquilegia vulgaris
3707;Arabidopsis thaliana
3708;Arabis allionii
3723;Arabis alpina
3715;Arabis auriculata
3722;Arabis caerulea
3727;Arabis ciliata
3752;Arabis collina
3733;Arabis hirsuta
3743;Arabis nova
3753;Arabis sagittata
3760;Arabis soyeri
3765;Arabis turrita
893;Arctium minus
895;Arctium nemorosum
6422;Arctostaphylos uva-ursi
4885;Arenaria biflora
4903;Arenaria gothica
4949;Arenaria leptoclados
4948;Arenaria serpyllifolia
9713;Armeria alpina
9714;Armeria arenaria
902;Arnica montana
15482;Arrhenatherum elatius
912;Artemisia absinthium
913;Artemisia alba
920;Artemisia atrata
934;Artemisia campestris
945;Artemisia eriantha
948;Artemisia genipi
974;Artemisia umbelliformis
945;Artemisia umbelliformis eriantha
974;Artemisia umbelliformis umbelliformis
980;Artemisia vulgaris
13697;Arum maculatum
11057;Aruncus dioicus
745;Asarum europaeum
13734;Asparagus tenuifolius
3374;Asperugo procumbens
11769;Asperula cynanchica
40435;Asphodelus albus
40217;Asphodelus macrocarpus
17478;Asplenium adiantum-nigrum
17478;Asplenium adiantum nigrum
17487;Asplenium ceterach
17490;Asplenium fontanum
17509;Asplenium ramosum
17510;Asplenium ruta-muraria
40582;Asplenium septentrionale
40582;Asplenium septentrionale septentrionale
17521;Asplenium trichomanes
17526;Asplenium trichomanes trichomanes
17509;Asplenium viride
984;Aster alpinus
989;Aster bellidiastrum
1019;Aster novi-belgii
6725;Astragalus alpinus
6727;Astragalus australis
6730;Astragalus austriacus
6735;Astragalus cicer
6736;Astragalus danicus
40509;Astragalus depressus
6747;Astragalus glycyphyllos
6736;Astragalus hypoglottis
6759;Astragalus monspessulanus
6765;Astragalus onobrychis
6770;Astragalus penduliflorus
6777;Astragalus sempervirens
6788;Astragalus stella
6794;Astragalus vesicarius
190;Astrantia major
197;Astrantia minor
199;Athamanta cretensis
17797;Athyrium distentifolium
17798;Athyrium filix-femina
12911;Atropa belladonna
40434;Avenula pratensis
15600;Avenula pubescens
15608;Avenula versicolor
15608;Avenula versicolor versicolor
3774;Barbarea intermedia
3781;Barbarea vulgaris
12345;Bartsia alpina
15611;Bellardiochloa variegata
989;Bellidiastrum michelii
1056;Berardia subacaulis
3310;Berberis vulgaris
3325;Betula alba
3340;Betula pendula
3325;Betula pubescens
3808;Biscutella laevigata
7947;Blackstonia perfoliata
17548;Blechnum spicant
13828;Blysmus compressus
1072;Bombycilaena erecta
15613;Bothriochloa ischaemum
17725;Botrychium lunaria
0;Botrychium Swartz
15618;Brachypodium pinnatum
15624;Brachypodium rupestre
15627;Brachypodium sylvaticum
3879;Brassica repanda
15630;Briza media
15643;Bromus benekenii
15654;Bromus erectus
15666;Bromus hordeaceus
15674;Bromus inermis
15712;Bromus squarrosus
15713;Bromus sterilis
15714;Bromus tectorum
6227;Bryonia dioica
4558;Buddleja davidii
13776;Bulbocodium vernum
3895;Bunias orientalis
215;Bunium bulbocastanum
1076;Buphthalmum salicifolium
226;Bupleurum alpigenum
233;Bupleurum falcatum
249;Bupleurum longifolium
251;Bupleurum petraeum
256;Bupleurum ranunculoides
259;Bupleurum rotundifolium
262;Bupleurum stellatum
4565;Buxus sempervirens
1081;Cacalia alliariae
1085;Cacalia alpina
1087;Cacalia leucophylla
15725;Calamagrostis epigejos
15735;Calamagrostis pseudophragmites
15746;Calamagrostis varia
15748;Calamagrostis villosa
8484;Calamintha grandiflora
8487;Calamintha nepeta
10497;Callianthemum coriandrifolium
6427;Calluna vulgaris
10502;Caltha palustris
5990;Calystegia sepium
3908;Camelina microcarpa
4628;Campanula alpestris
4634;Campanula cenisia
4637;Campanula cochleariifolia
4651;Campanula glomerata
4666;Campanula latifolia
4676;Campanula patula
4680;Campanula persicifolia
4688;Campanula rapunculoides
4691;Campanula rhomboidalis
4692;Campanula rotundifolia
4700;Campanula scheuchzeri
4705;Campanula spicata
4709;Campanula trachelium
3917;Capsella bursa-pastoris
3917;Capsella bursa.pastoris
3925;Cardamine alpina
3925;Cardamine bellidifolia
3925;Cardamine bellidifolia alpina
3932;Cardamine heptaphylla
3933;Cardamine hirsuta
40513;Cardamine impatiens
3941;Cardamine pentaphyllos
3955;Cardamine resedifolia
1103;Carduus acanthoides
40225;Carduus carlinifolius
40225;Carduus carlinifolius carlinifolius
40190;Carduus defloratus
0;Carduus medius
1128;Carduus medius carlinifolius
40190;Carduus medius medius
1154;Carduus nutans
0;Carduus personata
13838;Carex acutiformis
13839;Carex alba
13849;Carex atrata
13851;Carex atrata atrata
13857;Carex bicolor
13871;Carex capillaris
13872;Carex caryophyllea
13881;Carex cuprina
13887;Carex curvula
13888;Carex curvula curvula
13889;Carex curvula rosae
13892;Carex davalliana
13900;Carex digitata
13916;Carex echinata
40514;Carex elata
13924;Carex ferruginea
13931;Carex fimbriata
13933;Carex flacca
40609;Carex flava
13945;Carex foetida
13946;Carex frigida
13960;Carex halleriana
13967;Carex hirta
13971;Carex hordeistichos
13973;Carex hostiana
13976;Carex humilis
40515;Carex liparocarpos
14009;Carex montana
14228;Carex myosuroides
14024;Carex nigra
14039;Carex ornithopoda
14048;Carex ovalis
14051;Carex pairae
14052;Carex pallescens
14054;Carex panicea
14056;Carex paniculata
14060;Carex parviflora
14090;Carex rostrata
14091;Carex rupestris
14098;Carex sempervirens
14106;Carex spicata
14114;Carex sylvatica
14119;Carex tomentosa
14126;Carex vesicaria
14127;Carex viridula
1181;Carlina acanthifolia
1185;Carlina acaulis
1185;Carlina acaulis acaulis
1185;Carlina acaulis caulescens
0;Carlina vulgaris
272;Carum carvi
1207;Catananche caerulea
284;Caucalis platycarpos
17353;Cedrus atlantica
1246;Centaurea cyanus
40610;Centaurea jacea
1276;Centaurea leucophaea
1294;Centaurea montana
1357;Centaurea scabiosa
1368;Centaurea solstitialis
1373;Centaurea stoebe
1377;Centaurea timbalii
1386;Centaurea uniflora
1389;Centaurea uniflora uniflora
7950;Centaurium erythraea
13129;Centranthus angustifolius
14868;Cephalanthera damasonium
14871;Cephalanthera longifolia
14873;Cephalanthera rubra
6252;Cephalaria alpina
4969;Cerastium alpinum
4977;Cerastium arvense
4981;Cerastium arvense strictum
4982;Cerastium arvense suffruticosum
4999;Cerastium cerastoides
5012;Cerastium fontanum
5025;Cerastium latifolium
5029;Cerastium pedunculatum
5031;Cerastium pumilum
5041;Cerastium semidecandrum
5059;Cerastium uniflorum
3392;Cerinthe glabra
3401;Cerinthe minor
17487;Ceterach officinarum
12354;Chaenorrhinum minus
12362;Chaenorrhinum rubrifolium
290;Chaerophyllum aureum
301;Chaerophyllum temulum
302;Chaerophyllum villarsii
14875;Chamorchis alpina
0;Chara Linnaeus
9458;Chelidonium majus
5678;Chenopodium album
5687;Chenopodium bonus-henricus
5687;Chenopodium bonus.henricus
1409;Chondrilla juncea
12125;Chrysosplenium alternifolium
1455;Cicerbita alpina
1467;Cichorium intybus
1489;Cirsium acaule
1492;Cirsium arvense
1510;Cirsium eriophorum
1527;Cirsium monspessulanum
1532;Cirsium morisianum
1535;Cirsium palustre
1544;Cirsium spinosissimum
40447;Cirsium vulgare
14144;Cladium mariscus
10507;Clematis alpina
10512;Clematis vitalba
8444;Clinopodium acinos
8441;Clinopodium alpinum
8484;Clinopodium grandiflorum
8487;Clinopodium nepeta
8501;Clinopodium vulgare
4000;Coincya cheiranthos
4007;Coincya richeri
13777;Colchicum alpinum
13783;Colchicum autumnale
6820;Colutea arborescens
10522;Consolida regalis
13804;Convallaria majalis
5997;Convolvulus arvensis
1568;Conyza canadensis
14878;Corallorhiza trifida
40163;Coristospermum ferulaceum
6073;Cornus sanguinea
6830;Coronilla minima
6835;Coronilla vaginalis
9467;Corydalis intermedia
9471;Corydalis solida
6077;Corylus avellana
11075;Cotoneaster integerrimus
11077;Cotoneaster jurana
11077;Cotoneaster juranus
