;Achillea_millefolium;Achillea_nana;Acinos_alpinus_alpinus;Adenostyles_alpina_alpina;Adenostyles_leucophylla;Agrostis_agrostiflora;Agrostis_alpina;Agrostis_capillaris;Agrostis_rupestris;Alchemilla_alpigena;Alchemilla_alpina;Alchemilla_amphibola;Alchemilla_basaltica;Alchemilla_chirophylla;Alchemilla_fissa;Alchemilla_flabellata;Alchemilla_glabra;Alchemilla_glaucescens;Alchemilla_incisa;Alchemilla_pentaphyllea;Alchemilla_transiens;Alchemilla_xanthochlora;Alopecurus_alpinus;Androsace_adfinis_brigantiaca;Androsace_carnea;Androsace_obtusifolia;Androsace_pubescens;Androsace_vandellii;Androsace_vitaliana;Anemone_baldensis;Antennaria_carpatica;Antennaria_dioica;Anthoxanthum_odoratum;Anthoxanthum_odoratum_nipponicum;Arabis_alpina;Arenaria_biflora;Armeria_alpina;Armeria_arenaria;Artemisia_eriantha;Artemisia_genipi;Artemisia_umbelliformis;Artemisia_umbelliformis_eriantha;Artemisia_umbelliformis_umbelliformis;Asplenium_adiantum-nigrum;Asplenium_ramosum;Asplenium_septentrionale_septentrionale;Asplenium_trichomanes;Asplenium_trichomanes_trichomanes;Aster_alpinus;Astragalus_alpinus;Astragalus_australis;Astragalus_depressus;Astrantia_minor;Athamanta_cretensis;Avenula_versicolor_versicolor;Bartsia_alpina;Berardia_subacaulis;Botrychium_lunaria;Bupleurum_stellatum;Cacalia_alliariae;Cacalia_alpina;Cacalia_leucophylla;Callianthemum_coriandrifolium;Campanula_alpestris;Campanula_cenisia;Campanula_cochleariifolia;Campanula_rhomboidalis;Campanula_rotundifolia;Campanula_scheuchzeri;Capsella_bursa-pastoris;Cardamine_alpina;Cardamine_bellidifolia_alpina;Cardamine_resedifolia;Carduus_carlinifolius_carlinifolius;Carduus_defloratus;Carduus_medius_carlinifolius;Carduus_medius_medius;Carex_atrata_atrata;Carex_bicolor;Carex_curvula;Carex_curvula_curvula;Carex_curvula_rosae;Carex_foetida;Carex_frigida;Carex_myosuroides;Carex_ornithopoda;Carex_parviflora;Carex_rupestris;Carex_sempervirens;Carlina_acaulis_acaulis;Carlina_acaulis_caulescens;Centaurea_uniflora_uniflora;Cerastium_alpinum;Cerastium_arvense_strictum;Cerastium_arvense_suffruticosum;Cerastium_cerastoides;Cerastium_latifolium;Cerastium_pedunculatum;Cerastium_uniflorum;Chenopodium_bonus-henricus;Cirsium_acaule;Cirsium_spinosissimum;Cotoneaster_integerrimus;Cotoneaster_jurana;Crepis_pygmaea;Crepis_pygmaea_pygmaea;Cryptogramma_crispa;Cystopteris_fragilis;Daphne_alpina;Daphne_mezereum;Deschampsia_flexuosa;Doronicum_grandiflorum;Draba_aizoides;Draba_dubia;Draba_fladnizensis;Draba_siliquosa;Dryas_octopetala;Dryopteris_filix-mas;Empetrum_nigrum_hermaphroditum;Epilobium_alsinifolium;Epilobium_anagallidifolium;Epilobium_dodonaei_fleischeri;Erigeron_acer_angulosus;Erigeron_alpinus;Erigeron_gaudinii;Erigeron_glabratus;Erigeron_uniflorus;Erinus_alpinus;Eriophorum_scheuchzeri;Eritrichium_nanum;Eritrichium_nanum_nanum;Eryngium_alpinum;Euphorbia_cyparissias;Euphrasia_alpina;Euphrasia_drosocalyx;Euphrasia_minima;Euphrasia_minima_minima;Euphrasia_salisburgensis;Euphrasia_stricta;Festuca_acuminata;Festuca_alpina;Festuca_halleri_halleri;Festuca_laevigata;Festuca_laevigata_crassifolia;Festuca_melanopsis;Festuca_nigrescens;Festuca_nigrescens_nigrescens;Festuca_quadriflora;Festuca_violacea;Festuca_violacea_violacea;Gagea_serotina;Galium_anisophyllon;Galium_pseudohelveticum;Galium_pumilum;Gentiana_alpina;Gentiana_brachyphylla;Gentiana_delphinensis;Gentiana_nivalis;Gentiana_orbicularis;Gentiana_punctata;Gentiana_verna;Gentianella_campestris;Geranium_rivulare;Geranium_sylvaticum;Geum_montanum;Geum_reptans;Geum_urbanum;Globularia_cordifolia;Gnaphalium_supinum;Gymnocarpium_robertianum;Gypsophila_repens;Helictotrichon_sedenense_sedenense;Herniaria_alpina;Hieracium_alpinum;Hieracium_glaciale;Hieracium_niphobium;Hieracium_peleterianum;Hieracium_piliferum;Hieracium_pilosella;Hieracium_pilosum;Hieracium_villosum;Homogyne_alpina;Huperzia_selago_selago;Hypericum_richeri;Imperatoria_ostruthium;Jacobaea_incana;Juncus_trifidus;Juncus_triglumis;Juniperus_communis_nana;Juniperus_sabina;Juniperus_sibirica;Kernera_saxatilis;Kobresia_myosuroides;Larix_decidua;Leontodon_autumnalis;Leontodon_hispidus;Leontodon_montanus;Leontodon_pyrenaicus_helveticus;Leontopodium_alpinum;Leontopodium_nivale;Leucanthemopsis_alpina;Leucanthemum_cuneifolium;Linaria_alpina_alpina;Linum_alpinum;Lloydia_serotina;Lotus_alpinus;Luzula_alpinopilosa;Luzula_alpinopilosa_alpinopilosa;Luzula_campestris;Luzula_lutea;Luzula_nutans;Luzula_sieberi;Luzula_spicata;Luzula_sudetica;Minuartia_laricifolia_laricifolia;Minuartia_recurva;Minuartia_sedoides;Minuartia_verna;Murbeckiella_pinnatifida;Murbeckiella_pinnatifida_pinnatifida;Myosotis_alpestris;Myosotis_decumbens;Nardus_stricta;Noccaea_rotundifolia;Omalotheca_hoppeana;Omalotheca_norvegica;Omalotheca_supina;Oxyria_digyna;Oxytropis_campestris;Oxytropis_helvetica;Oxytropis_lapponica;Pachypleurum_mutellinoides;Papaver_aurantiacum;Paronychia_polygonifolia;Pedicularis_kerneri;Pedicularis_rostratospicata;Pedicularis_rostratospicata_helvetica;Pedicularis_tuberosa;Pedicularis_verticillata;Persicaria_vivipara;Phleum_alpinum;Phleum_alpinum_rhaeticum;Phyteuma_betonicifolium;Phyteuma_hemisphaericum;Phyteuma_orbiculare;Pinguicula_vulgaris;Plantago_alpina;Plantago_maritima_serpentina;Poa_alpina;Poa_annua;Poa_cenisia;Poa_laxa;Poa_nemoralis;Poa_supina;Polygala_alpestris;Polygala_alpina;Polygonum_aviculare;Polygonum_viviparum;Polystichum_lonchitis;Potentilla_aurea;Potentilla_crantzii;Potentilla_frigida;Potentilla_grandiflora;Potentilla_nivalis;Primula_hirsuta;Primula_pedemontana_pedemontana;Pritzelago_alpina;Pritzelago_alpina_alpina;Pulsatilla_vernalis;Ranunculus_glacialis;Ranunculus_grenierianus;Ranunculus_montanus;Ranunculus_parnassifolius;Rhamnus_pumila;Rhododendron_ferrugineum;Rubus_idaeus;Rubus_saxatilis;Rumex_scutatus;Sagina_glabra;Sagina_saginoides;Salix_appendiculata;Salix_breviserrata;Salix_glaucosericea;Salix_hastata;Salix_herbacea;Salix_laggeri;Salix_reticulata;Salix_retusa;Saussurea_alpina_depressa;Saxifraga_aizoides;Saxifraga_androsacea;Saxifraga_aspera;Saxifraga_biflora_biflora;Saxifraga_bryoides;Saxifraga_exarata;Saxifraga_exarata_exarata;Saxifraga_exarata_moschata;Saxifraga_exarata_pseudoexarata;Saxifraga_moschata;Saxifraga_oppositifolia;Saxifraga_paniculata;Saxifraga_retusa;Saxifraga_stellaris_robusta;Scabiosa_lucida;Scorzoneroides_autumnalis;Scorzoneroides_pyrenaica_helvetica;Scutellaria_alpina;Sedum_alpestre;Sedum_anacampseros;Sedum_atratum;Sedum_atratum_atratum;Sempervivum_arachnoideum;Sempervivum_montanum;Senecio_doronicum;Senecio_incanus;Sesleria_caerulea;Sibbaldia_procumbens;Silene_acaulis;Silene_acaulis_acaulis;Silene_acaulis_bryoides;Silene_rupestris;Silene_vulgaris_glareosa;Silene_vulgaris_prostrata;Silene_vulgaris_vulgaris;Soldanella_alpina;Solidago_virgaurea;Solidago_virgaurea_alpestris;Solidago_virgaurea_virgaurea;Taraxacum_alpinum;Taraxacum_campylodes;Taraxacum_dissectum;Taraxacum_officinale;Thymus_longicaulis;Thymus_polytrichus;Thymus_praecox;Thymus_serpyllum;Tolpis_staticifolia;Trifolium_alpinum;Trifolium_badium;Trifolium_pallescens;Trifolium_pratense;Trifolium_repens;Trifolium_saxatile;Trifolium_thalii;Trisetum_distichophyllum;Trisetum_flavescens;Trisetum_spicatum_ovatipaniculatum;Trollius_europaeus;Urtica_dioica;Vaccinium_myrtillus;Vaccinium_uliginosum;Vaccinium_uliginosum_microphyllum;Valeriana_montana;Veronica_allionii;Veronica_alpina;Veronica_aphylla;Veronica_bellidioides;Veronica_fruticans;Veronica_serpyllifolia_humifusa;Viola_biflora;Viola_calcarata;Viola_cenisia;Viola_rupestris_rupestris
aiguille du plat de la selle;;;;;;;;;1;;1;;;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;1;;;;1;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;1;;;;;;2;;;;;2;;;1;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2;1;;;3;;;;;;1;;;;;;1;;;;;1;;1;;;1;;;;1;;;;;1;;;;;;;;;;;;1;;;1;;2;;1;2;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;2;;;;;1;;3;;1;;;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;
barre des Ecrins;;3;;;;;;;2;;;;;;;1;;;;;;;;;;;2;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;;;;;1;;;;1;2;;;;;;;;1;;;;;1;;;2;;;;;;;;;1;;;1;;;3;;;;;;;1;;;;;1;;;;;;;;4;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;1;;;1;;;;;;1;;;;;;;;;;;1;1;2;5;;2;;;1;1;;;;;;2;;;;1;1;;;1;;;;;;;4;;;;1;;;1;;;;;;;;;1;;;;;3;;;6;;;;;;;;;;;;;;;;1;;4;;;;;;;;;;;;;;;1;;;;;;;;;4;;;;;4;6;3;1;;;;;;;;;;1;1;;1;;1;;;5;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;1;;1;;;;;;
brèche de valsenestre;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;1;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;
brèche du râteau;;5;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;1;;;1;;;1;2;;;;;;1;;;;;1;;;;;;;;;;;;;;4;;;;;;;;;;;;;;1;;;;;;;;;;3;;;;;;;;;;;;;;;1;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;1;;;;1;;;;;;5;;;;;;;;;;;;;;1;6;;;;;;;1;;;;;;;;;;;;;;6;;4;1;;;;;;;;;;;;;;;1;2;;3;;;;;;;;;;;1;3;1;2;1;;1;3;;1;;;;5;;;1;;;2;;;1;;;;;1;;;1;;1;;1;;;;;3;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;1;;4;;;;;;;;
la meije;;;;;;;2;;1;;1;;;;;;;;;;;;;;;;4;2;;;;;;;3;;;;;;1;2;;;;;;;;;;;;;;;;;;;;2;;;;1;;;3;;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;2;3;;;;;;;3;;;;;;;;4;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;3;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;3;;;;1;;;;;;;;;;1;1;;;;;;;;;1;3;;;;;;;;;;;;;;;;;;;;;2;;2;3;;;;;;;;;;;;;;;;3;;3;;;;;;;;;1;;;;;1;;;;;;5;;1;;6;;1;2;;3;4;1;;2;;;;;2;;;1;;;;1;;;;;6;1;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;2;;;;;;;;
le râteau;1;1;1;;;1;1;1;2;3;;3;;;1;2;;1;;;3;1;;;;;;;1;;;1;1;2;1;;;;;;1;;;1;;;1;1;;;;;;;;;;1;;;;3;;;;3;;1;3;1;;;4;;;2;1;;;;;;;;;;;1;2;;;;;6;;;;;;2;;;1;1;;1;1;2;;;3;2;;;;;;5;;1;4;;1;;1;;;;;;;;3;;;;;;;2;;2;1;;;;;;3;4;;;5;;;;;;;;;;1;1;1;;1;1;;2;;6;;;;;;;;;;;;;;;1;;;1;2;;;;;;;1;1;;;;2;;;2;;;;;;;;;1;;;;;;2;;1;;;;;;;;;;;1;;;;;;;1;;;1;;;;;2;1;3;;;;;;1;;4;;2;;3;;1;;;;;;1;;;;;3;1;;;;;;;;;;;;;;;;;;1;;2;;;;1;;;;;;4;3;;;;3;2;3;1;;1;;;1;;;;;;1;;1;2;;1;1;;;7;;1;1;;;1;;;1;1;1;;;2;3;1;2;;1;;;;3;;;;;1
le sirac;;4;;;3;1;4;;4;1;1;;1;;1;2;1;;;1;2;;1;;;;1;;1;;;1;;1;1;;;;;1;;;;;;1;;;;;;;;;;;2;1;1;;;;;;3;3;;;3;1;1;;;;;;;;;1;;;1;1;;;;;4;;;;;5;;;;;;1;;1;;;;;1;;;;1;;;1;;;;1;;;;;;1;;;;;;1;;;;;;;1;;;3;;3;;;;1;;1;3;;;1;5;;;;;1;;;;2;;;1;1;;;;;;1;2;;1;;1;;;;;;;;;1;3;1;;;1;;;;;;4;2;;;5;;3;;;5;1;1;;;;;3;;;;1;2;;;;;3;2;;;;;;;;1;;;;;;1;;;;;;3;;1;3;;7;;;;;;;;;1;1;;2;1;1;;2;1;;;;;;;;;1;;;;2;;;;;;1;;;;;1;;;;2;;;;;1;2;1;1;;;;1;;1;;;;1;1;;;;1;;;4;2;;3;;1;;;;2;;;;;;2;;;1;1;;;;;4;2;;;;;1;;2;;;;;;1;;;1;;
les rouies;;3;;;;;;;3;1;;;;;;;;;;;;;;;;;2;1;;;;;;;2;;;;;1;;1;6;;;;;;;;;;;;;;;;;;;6;;;3;3;;;1;;;;2;;;;;;;;;;;1;;;;;;;;;1;;;;;5;;;;2;;;;;;;;;;;;1;;;;2;;;3;2;;;;;2;;;;1;;;;;;2;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;5;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;6;;;;;;;;;;1;;;1;2;;;2;1;;;;;1;2;7;;;;;;;2;;;;;;;;;1;;;;;6;;;4;;;;;;;2;;;;;;;;;2;;3;;;;;;;;;;1;;;;;1;;;;;3;;;;4;;;5;;;5;2;1;;;;;;4;;;;;2;1;3;;1;5;;;;;;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;
l'olan;;1;;;;;;;5;;4;;;;;;;;;1;;;;;1;;;;;;;;;1;1;1;1;;1;;1;2;;;;;;;;;;;;1;;;;1;2;;1;1;;;;;;;;;;;6;;;;;;;;;;;;;;;;3;;;;;;;;;4;3;;;1;;;;;1;1;;1;;;;;1;1;;;1;;1;;;;;1;3;;;4;4;;;1;1;;1;;;;;6;;;;;;;2;1;1;;;;3;2;;;;1;;;;;;;;;;;;;;1;;;;;;;2;1;;;;;3;;2;;1;;;;;;1;1;;;9;;1;;;1;;1;;1;;;2;;;;4;;;1;;;;;1;;3;;;;;3;;;1;;;;;;;;;3;;;1;;2;;;2;;;;;;1;;;;2;1;;5;;;3;;2;;1;;;2;;;;2;;;;;;2;;;;;;;;;6;1;2;1;1;1;3;3;;;;;;;6;;;;1;3;1;3;;2;5;;6;;;;;1;;;;;;;;;1;;1;;1;;;;;;1;;;;;;1;1;1;;;3;;;;;1;;2;
mont pelvoux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;1;;;;;;1;;;;;;
