"G_SP_SUBSP,C,50","FREQUENCY,N,9,0"
Achillea_millefolium,1
Achillea_nana,27
Acinos_alpinus_alpinus,2
Agrostis_agrostiflora,3
Agrostis_alpina,15
Agrostis_rupestris,22
Alchemilla_alpigena,6
Alchemilla_alpina,11
Alchemilla_amphibola,2
Alchemilla_basaltica,2
Alchemilla_fissa,4
Alchemilla_flabellata,6
Alchemilla_glabra,2
Alchemilla_glaucescens,3
Alchemilla_pentaphyllea,5
Alchemilla_transiens,3
Alopecurus_alpinus,2
Androsace_obtusifolia,5
Androsace_pubescens,14
Androsace_vandellii,4
Androsace_vitaliana,1
Anemone_baldensis,4
Antennaria_carpatica,4
Antennaria_dioica,6
Anthoxanthum_odoratum,7
Anthoxanthum_odoratum_nipponicum,10
Arabis_alpina,18
Arenaria_biflora,1
Armeria_alpina,30
Artemisia_eriantha,6
Artemisia_genipi,2
Artemisia_umbelliformis,12
Artemisia_umbelliformis_eriantha,21
Artemisia_umbelliformis_umbelliformis,12
Asplenium_ramosum,2
Asplenium_septentrionale_septentrionale,1
Asplenium_trichomanes_trichomanes,1
Aster_alpinus,6
Astragalus_alpinus,3
Astragalus_australis,2
Athamanta_cretensis,4
Avenula_versicolor_versicolor,9
Berardia_subacaulis,3
Botrychium_lunaria,9
Bupleurum_stellatum,5
Cacalia_alliariae,1
Cacalia_alpina,1
Cacalia_leucophylla,18
Callianthemum_coriandrifolium,1
Campanula_cenisia,16
Campanula_cochleariifolia,20
Campanula_rhomboidalis,1
Campanula_rotundifolia,1
Campanula_scheuchzeri,24
Capsella_bursa-pastoris,2
Cardamine_bellidifolia_alpina,4
Cardamine_resedifolia,14
Carduus_medius_carlinifolius,2
Carduus_medius_medius,1
Carex_curvula,2
Carex_curvula_curvula,5
Carex_curvula_rosae,5
Carex_foetida,10
Carex_frigida,3
Carex_ornithopoda,1
Carex_parviflora,8
Carex_sempervirens,21
Centaurea_uniflora_uniflora,2
Cerastium_alpinum,8
Cerastium_arvense_strictum,25
Cerastium_arvense_suffruticosum,1
Cerastium_cerastoides,5
Cerastium_latifolium,7
Cerastium_pedunculatum,15
Cerastium_uniflorum,16
Chenopodium_bonus-henricus,3
Cirsium_spinosissimum,14
Cotoneaster_integerrimus,1
Cotoneaster_jurana,1
Cryptogramma_crispa,6
Cystopteris_fragilis,6
Daphne_alpina,1
Deschampsia_flexuosa,3
Doronicum_grandiflorum,22
Draba_aizoides,7
Draba_dubia,19
Draba_fladnizensis,11
Draba_siliquosa,1
Dryas_octopetala,3
Dryopteris_filix-mas,7
Empetrum_nigrum_hermaphroditum,1
Epilobium_anagallidifolium,11
Epilobium_dodonaei_fleischeri,4
Erigeron_alpinus,6
Erigeron_gaudinii,1
Erigeron_glabratus,4
Erigeron_uniflorus,15
Eritrichium_nanum_nanum,17
Euphorbia_cyparissias,5
Euphrasia_alpina,1
Euphrasia_drosocalyx,1
Euphrasia_minima_minima,11
Euphrasia_salisburgensis,2
Festuca_acuminata,7
Festuca_halleri_halleri,35
Festuca_melanopsis,2
Festuca_nigrescens,3
Festuca_nigrescens_nigrescens,1
Festuca_quadriflora,10
Festuca_violacea,27
Festuca_violacea_violacea,24
Galium_pseudohelveticum,19
Galium_pumilum,1
Gentiana_alpina,10
Gentiana_brachyphylla,11
Gentiana_nivalis,6
Gentiana_verna,6
Gentianella_campestris,4
Geum_montanum,11
Geum_reptans,13
Globularia_cordifolia,3
Gypsophila_repens,4
Helictotrichon_sedenense_sedenense,27
Herniaria_alpina,4
Hieracium_alpinum,1
Hieracium_glaciale,2
Hieracium_peleterianum,1
Hieracium_piliferum,6
Hieracium_pilosella,2
Hieracium_villosum,5
Homogyne_alpina,5
Hypericum_richeri,1
Imperatoria_ostruthium,1
Juncus_trifidus,17
Juncus_triglumis,1
Juniperus_sibirica,5
Kobresia_myosuroides,7
Leontodon_autumnalis,1
Leontodon_montanus,19
Leontodon_pyrenaicus_helveticus,9
Leontopodium_alpinum,2
Leucanthemopsis_alpina,71
Linaria_alpina_alpina,42
Lloydia_serotina,4
Lotus_alpinus,22
Luzula_alpinopilosa,8
Luzula_alpinopilosa_alpinopilosa,3
Luzula_lutea,8
Luzula_nutans,2
Luzula_spicata,19
Minuartia_recurva,1
Minuartia_sedoides,21
Minuartia_verna,27
Murbeckiella_pinnatifida_pinnatifida,7
Myosotis_alpestris,20
Myosotis_decumbens,1
Nardus_stricta,6
Noccaea_rotundifolia,12
Omalotheca_hoppeana,1
Omalotheca_norvegica,1
Omalotheca_supina,11
Oxyria_digyna,20
Oxytropis_campestris,4
Oxytropis_helvetica,2
Pachypleurum_mutellinoides,18
Papaver_aurantiacum,2
Pedicularis_kerneri,4
Pedicularis_rostratospicata_helvetica,2
Pedicularis_tuberosa,2
Pedicularis_verticillata,1
Phleum_alpinum,1
Phleum_alpinum_rhaeticum,2
Phyteuma_betonicifolium,1
Phyteuma_hemisphaericum,25
Phyteuma_orbiculare,1
Pinguicula_vulgaris,1
Plantago_alpina,15
Poa_alpina,66
Poa_annua,1
Poa_cenisia,15
Poa_laxa,29
Poa_supina,2
Polygala_alpina,1
Polygonum_aviculare,1
Polygonum_viviparum,15
Polystichum_lonchitis,8
Potentilla_aurea,2
Potentilla_crantzii,8
Potentilla_frigida,5
Potentilla_grandiflora,7
Primula_hirsuta,12
Primula_pedemontana_pedemontana,1
Pritzelago_alpina_alpina,21
Pulsatilla_vernalis,2
Ranunculus_glacialis,40
