"G_SP_SUBSP,C,254","FREQUENCY,N,9,0"
Achillea_millefolium,1
Achillea_nana,11
Agrostis_agrostiflora,1
Agrostis_capillaris,1
Agrostis_rupestris,6
Alchemilla_alpigena,2
Alchemilla_alpina,1
Alchemilla_amphibola,1
Alchemilla_flabellata,1
Alchemilla_transiens,2
Alchemilla_xanthochlora,1
Androsace_pubescens,3
Androsace_vitaliana,1
Antennaria_carpatica,2
Antennaria_dioica,1
Anthoxanthum_odoratum_nipponicum,2
Arabis_alpina,1
Artemisia_eriantha,3
Artemisia_genipi,1
Artemisia_umbelliformis,1
Artemisia_umbelliformis_eriantha,1
Artemisia_umbelliformis_umbelliformis,2
Asplenium_adiantum-nigrum,1
Asplenium_trichomanes,1
Astrantia_minor,1
Avenula_versicolor_versicolor,1
Bartsia_alpina,1
Cacalia_leucophylla,12
Campanula_cenisia,1
Campanula_cochleariifolia,5
Campanula_rotundifolia,1
Campanula_scheuchzeri,7
Cardamine_bellidifolia_alpina,1
Cardamine_resedifolia,7
Carduus_medius_carlinifolius,1
Carduus_medius_medius,1
Carex_atrata_atrata,1
Carex_bicolor,1
Carex_curvula_curvula,2
Carex_frigida,1
Carex_parviflora,2
Carex_rupestris,1
Carex_sempervirens,3
Cerastium_arvense_strictum,3
Cerastium_pedunculatum,8
Cerastium_uniflorum,2
Chenopodium_bonus-henricus,1
Cirsium_spinosissimum,1
Cotoneaster_jurana,1
Crepis_pygmaea_pygmaea,1
Cryptogramma_crispa,1
Cystopteris_fragilis,1
Deschampsia_flexuosa,2
Doronicum_grandiflorum,1
Draba_dubia,1
Dryas_octopetala,1
Dryopteris_filix-mas,3
Epilobium_alsinifolium,1
Epilobium_anagallidifolium,1
Epilobium_dodonaei_fleischeri,6
Erigeron_acer_angulosus,1
Erigeron_uniflorus,1
Euphorbia_cyparissias,1
Euphrasia_minima_minima,2
Euphrasia_stricta,3
Festuca_acuminata,1
Festuca_halleri_halleri,4
Festuca_laevigata,1
Festuca_violacea,4
Festuca_violacea_violacea,9
Galium_pseudohelveticum,2
Geranium_rivulare,1
Geranium_sylvaticum,1
Geum_montanum,1
Geum_reptans,6
Geum_urbanum,1
Gymnocarpium_robertianum,2
Gypsophila_repens,1
Helictotrichon_sedenense_sedenense,7
Herniaria_alpina,3
Hieracium_piliferum,1
Huperzia_selago_selago,3
Juncus_trifidus,3
Juniperus_sabina,1
Juniperus_sibirica,1
Leontodon_pyrenaicus_helveticus,1
Leucanthemopsis_alpina,15
Linaria_alpina_alpina,5
Lotus_alpinus,3
Luzula_alpinopilosa,3
Luzula_lutea,2
Luzula_sieberi,1
Luzula_spicata,8
Minuartia_laricifolia_laricifolia,1
Minuartia_sedoides,5
Minuartia_verna,1
Murbeckiella_pinnatifida_pinnatifida,1
Myosotis_alpestris,3
Nardus_stricta,1
Omalotheca_supina,3
Oxyria_digyna,12
Oxytropis_campestris,1
Pachypleurum_mutellinoides,2
Paronychia_polygonifolia,1
Pedicularis_kerneri,3
Phleum_alpinum,1
Phyteuma_hemisphaericum,2
Poa_alpina,14
Poa_cenisia,7
Poa_laxa,4
Polygonum_viviparum,2
Polystichum_lonchitis,2
Potentilla_crantzii,2
Potentilla_grandiflora,2
Primula_hirsuta,2
Pritzelago_alpina,1
Pritzelago_alpina_alpina,5
Ranunculus_glacialis,8
Rubus_idaeus,2
Rubus_saxatilis,1
Sagina_glabra,1
Sagina_saginoides,1
Salix_appendiculata,1
Salix_breviserrata,5
Salix_glaucosericea,1
Salix_hastata,3
Salix_herbacea,4
Salix_laggeri,1
Salix_reticulata,2
Salix_retusa,8
Saxifraga_aizoides,4
Saxifraga_bryoides,13
Saxifraga_exarata,1
Saxifraga_exarata_moschata,2
Saxifraga_oppositifolia,7
Saxifraga_paniculata,1
Saxifraga_stellaris_robusta,3
Scutellaria_alpina,1
Sedum_alpestre,4
Sedum_atratum_atratum,1
Sempervivum_arachnoideum,3
Sempervivum_montanum,2
Senecio_doronicum,2
Senecio_incanus,6
Silene_acaulis,2
Silene_acaulis_bryoides,9
Solidago_virgaurea_virgaurea,1
Taraxacum_alpinum,3
Taraxacum_officinale,1
Thymus_praecox,4
Trifolium_alpinum,1
Trifolium_badium,1
Trifolium_pallescens,2
Trifolium_pratense,1
Trifolium_saxatile,4
Trifolium_thalii,1
Urtica_dioica,1
Vaccinium_myrtillus,2
Vaccinium_uliginosum_microphyllum,4
Valeriana_montana,1
Veronica_allionii,1
Veronica_alpina,9
Veronica_fruticans,3
Viola_rupestris_rupestris,1
Zz_Lichens,1
