"OBJECTID,N,9,0","SOMMET,C,44","ZONE_CODE,N,9,0","COUNT,N,9,0","MIN,N,13,11","MAX,N,13,11","RANGE,N,13,11","MEAN,N,13,11","STD,N,13,11"
1,La Meije,1,1418,26.46620000000,72.68810000000,46.22190000000,53.14580000000,8.34839000000
2,Rateau,2,728,27.72620000000,68.64680000000,40.92060000000,52.13240000000,6.83721000000
3,Brevoort,3,141,33.38390000000,65.61820000000,32.23430000000,52.94710000000,6.85600000000
4,Dibona,4,95,37.91080000000,68.27290000000,30.36210000000,50.80420000000,8.65667000000
5,Plat de la Selle,5,826,4.52023000000,72.42820000000,67.90800000000,53.66060000000,7.44792000000
6,Muraillette,6,493,23.09530000000,65.43430000000,42.33900000000,49.89820000000,7.03328000000
7,Rocher de la Selle,7,249,37.89250000000,63.04090000000,25.14840000000,49.18300000000,6.02155000000
8,Lauvitel,8,137,34.48140000000,56.26430000000,21.78290000000,47.79880000000,4.51246000000
9,Valsenestre,9,187,37.41660000000,66.29920000000,28.88270000000,48.13450000000,6.86815000000
10,Peyron,10,860,34.40190000000,64.67090000000,30.26900000000,49.91950000000,5.77267000000
11,Barre des Ecrins,11,1037,32.31150000000,78.74250000000,46.43090000000,57.76320000000,9.63917000000
12,Occidentale Ailefroide,12,680,24.97010000000,69.81430000000,44.84430000000,48.80920000000,6.08684000000
13,Rouies,13,650,24.48770000000,77.17160000000,52.68390000000,53.59090000000,8.36969000000
14,Olan,14,650,25.00790000000,71.61760000000,46.60970000000,52.61110000000,7.31612000000
15,Sirac,15,1493,13.45620000000,68.19870000000,54.74260000000,51.29960000000,6.75527000000
16,Choisy,16,157,36.09230000000,64.08840000000,27.99620000000,50.37220000000,6.85841000000
17,Burlan,17,85,36.67310000000,63.32320000000,26.65010000000,51.67810000000,6.67618000000
18,Pelvoux,18,737,31.98640000000,64.72280000000,32.73640000000,47.19670000000,4.45615000000
