"ID,N,10,0","GRIDCODE,N,10,0","sommet,C,50","Volume,N,19,11","SArea,N,19,11"
1956,1,La Meije,97244685.94050000000,48086.90490550000
2075,1,La Meije,2627120744.10000000000,1522259.88619000000
2111,1,Rateau,63910908.59500000000,31378.88470000000
2177,1,Rateau,43164930.35560000000,21489.85582620000
2197,1,Rateau,1130076711.21000000000,616695.02209500000
2227,1,Rateau,169116315.79900000000,105509.81547300000
2885,1,Brevoort,276551427.94500000000,152199.70235300000
3049,1,Dibona,152559888.98400000000,103502.78949800000
3309,1,Plat de la Selle,1394579196.32000000000,922178.93555200000
3678,1,Muraillette,293484030.26300000000,209769.67517500000
3688,1,Rocher de la Selle,325084196.85200000000,243683.44056000000
3775,1,Muraillette,443831719.53700000000,294273.41464300000
3908,1,Lauvitel,202575272.55500000000,128065.92045600000
3984,1,Valsenestre,257145083.31600000000,181394.65512800000
4102,1,Peyron,1240238878.96000000000,857395.43438400000
4250,1,Barre des Ecrins,1942938243.35000000000,1366343.30186000000
5539,1,Occidentale Ailefroide,1290466715.63000000000,664274.26794200000
5888,1,Rouies,518251435.56100000000,296884.27432300000
5889,1,Rouies,139223543.35300000000,101170.94180300000
5967,1,Rouies,472009089.62000000000,340825.23310600000
6351,1,Olan,1144259123.08000000000,709031.03402000000
7728,1,Sirac,731458607.35000000000,484025.33261800000
7808,1,Sirac,975103591.24600000000,639037.32385800000
7851,1,Sirac,721279829.44000000000,432505.58410500000
3277,1,Choisy,300848688.13100000000,160734.39308900000
2998,1,Burlan,149481982.74900000000,90758.46158030000
5327,1,Pelvoux,1385541092.89000000000,684904.79542600000
