"Species,C,254","TAXREF,N,10,0","NUMCBNA,N,10,0","G_SP_SUBSP,C,150","Valid_LIB,C,150"
Abies_alba,79319,0,Abies alba,Abies_alba
Acer_campestre,79734,0,Acer campestre,Acer_campestre
Acer_monspessulanum,79763,0,Acer monspessulanum,Acer_monspessulanum
Acer_opalus,79770,0,Acer opalus,Acer_opalus
Acer_platanoides,79779,0,Acer platanoides,Acer_platanoides
Acer_pseudoplatanus,79783,0,Acer pseudoplatanus,Acer_pseudoplatanus
Achillea_distans,79886,0,Achillea distans,Achillea_distans
Achillea_millefolium,79908,0,Achillea millefolium,Achillea_millefolium
Achillea_nobilis,79914,0,Achillea nobilis,Achillea_nobilis
Achillea_roseo,79923,0,Achillea roseo,Achillea_roseo-alba
Achnatherum_calamagrostis,79970,0,Achnatherum calamagrostis,Achnatherum_calamagrostis
Acinos_alpinus,91900,0,Acinos alpinus,Clinopodium_alpinum
Aconitum_anthora,80007,0,Aconitum anthora,Aconitum_anthora
Aconitum_laeve,0,0,Aconitum laeve,
Aconitum_variegatum,80066,0,Aconitum variegatum,Aconitum_variegatum
Actaea_spicata,80137,0,Actaea spicata,Actaea_spicata
Adenostyles_alliariae,80183,0,Adenostyles alliariae,Adenostyles_alliariae
Adenostyles_alpina,80184,0,Adenostyles alpina,Adenostyles_alpina
Adenostyles_leucophylla,80190,0,Adenostyles leucophylla,Adenostyles_leucophylla
Adonis_aestivalis,80211,0,Adonis aestivalis,Adonis_aestivalis
Adoxa_moschatellina,80243,0,Adoxa moschatellina,Adoxa_moschatellina
Aegopodium_podagraria,80322,0,Aegopodium podagraria,Aegopodium_podagraria
Aethionema_saxatile,80350,0,Aethionema saxatile,Aethionema_saxatile
Aethusa_cynapium,80358,0,Aethusa cynapium,Aethusa_cynapium
Agrestis_alpina,80564,0,Agrestis alpina,Agrostis_alpina
Agrestis_rupestris,80729,0,Agrestis rupestris,Agrostis_rupestris
Agrimonia_eupatoria,80410,0,Agrimonia eupatoria,Agrimonia_eupatoria
Agrostis_agrostiflora,80741,0,Agrostis agrostiflora,Agrostis_schraderiana
Agrostis_capillaris,80591,0,Agrostis capillaris,Agrostis_capillaris
Agrostis_stolonifera,80759,0,Agrostis stolonifera,Agrostis_stolonifera
Ajuga_chamaepitys,80978,0,Ajuga chamaepitys,Ajuga_chamaepitys
Ajuga_genevensis,80980,0,Ajuga genevensis,Ajuga_genevensis
Ajuga_pyramidalis,80988,0,Ajuga pyramidalis,Ajuga_pyramidalis
Ajuga_reptans,80990,0,Ajuga reptans,Ajuga_reptans
Alchemilla_alpina,81033,0,Alchemilla alpina,Alchemilla_alpina
Alchemilla_baltica,0,0,Alchemilla baltica,
Alchemilla_conjuncta,81057,0,Alchemilla conjuncta,Alchemilla_conjuncta
Alchemilla_connivens,81058,0,Alchemilla connivens,Alchemilla_connivens
Alchemilla_fissa,81075,0,Alchemilla fissa,Alchemilla_fissa
Alchemilla_flabellata,81076,0,Alchemilla flabellata,Alchemilla_flabellata
Alchemilla_glabra,81088,0,Alchemilla glabra,Alchemilla_glabra
Alchemilla_glaucescens,81091,0,Alchemilla glaucescens,Alchemilla_glaucescens
Alchemilla_gracilis,81130,0,Alchemilla gracilis,Alchemilla_monticola
Alchemilla_incisa,81104,0,Alchemilla incisa,Alchemilla_incisa
Alchemilla_monticola,81130,0,Alchemilla monticola,Alchemilla_monticola
Alchemilla,188940,0,Alchemilla,Alchemilla
Alchemilla_pentaphyllea,81140,0,Alchemilla pentaphyllea,Alchemilla_pentaphyllea
Alchemilla_plicata,81142,0,Alchemilla plicata,Alchemilla_plicata
Alchemilla_saxatilis,81159,0,Alchemilla saxatilis,Alchemilla_saxatilis
Alchemilla_subcrenata,81170,0,Alchemilla subcrenata,Alchemilla_subcrenata
Alchemilla_transiens,81179,0,Alchemilla transiens,Alchemilla_transiens
Alchemilla_xanthochlora,81195,0,Alchemilla xanthochlora,Alchemilla_xanthochlora
Alisma_plantago_aquatica,81272,0,Alisma plantago aquatica,Alisma_plantago-aquatica
Alliaria_petiolata,81295,0,Alliaria petiolata,Alliaria_petiolata
Allium_lineare,81522,0,Allium lineare,Allium_strictum
Allium_oleraceum,81457,0,Allium oleraceum,Allium_oleraceum
Allium_schoenoprasum,81508,0,Allium schoenoprasum,Allium_schoenoprasum
Allium_scorodoprasum,81510,0,Allium scorodoprasum,Allium_scorodoprasum
Allium_senescens,81423,0,Allium senescens,Allium_lusitanicum
Allium_tauricum,0,0,Allium tauricum,
Allium_ursinum,81541,0,Allium ursinum,Allium_ursinum
Allium_victorialis,81543,0,Allium victorialis,Allium_victorialis
Alnus_glutinosa,81569,0,Alnus glutinosa,Alnus_glutinosa
Alnus_incana,81570,0,Alnus incana,Alnus_incana
Alnus_viridis,81563,0,Alnus viridis,Alnus_alnobetula
Alopecurus_magellanicus,0,0,Alopecurus magellanicus,
Alopecurus_myosuroides,81648,0,Alopecurus myosuroides,Alopecurus_myosuroides
Alsinanthus_biflorus,83546,0,Alsinanthus biflorus,Arenaria_biflora
Alyssoides_utriculata,81875,0,Alyssoides utriculata,Alyssoides_utriculata
Alyssum_alpestre,81876,0,Alyssum alpestre,Alyssum_alpestre
Alyssum_alyssoides,81878,0,Alyssum alyssoides,Alyssum_alyssoides
Amelanchier_ovalis,82103,0,Amelanchier ovalis,Amelanchier_ovalis
Amygdalus_communis,116068,0,Amygdalus communis,Prunus_dulcis
Androrchis_pallens,110945,0,Androrchis pallens,Orchis_pallens
Androsace_carnea,131362,0,Androsace carnea,Androsace_adfinis_subsp._puberula
Androsace_helvetica,82504,0,Androsace helvetica,Androsace_helvetica
Androsace_maxima,82516,0,Androsace maxima,Androsace_maxima
Androsace_obtusifolia,82519,0,Androsace obtusifolia,Androsace_obtusifolia
Androsace_vandellii,82542,0,Androsace vandellii,Androsace_vandellii
Androsace_vitaliana,82545,0,Androsace vitaliana,Androsace_vitaliana
Anemone_narcissiflora,608022,0,Anemone narcissiflora,Anemone_narcissiflora
Anemonoides_baldensis,0,0,Anemonoides baldensis,
Anemonoides_ranunculoides,82656,0,Anemonoides ranunculoides,Anemone_ranunculoides
Angelica_sylvestris,82738,0,Angelica sylvestris,Angelica_sylvestris
Antennaria_carpatica,82794,0,Antennaria carpatica,Antennaria_carpatica
Antennaria_dioica,82796,0,Antennaria dioica,Antennaria_dioica
Anthericum_liliago,82903,0,Anthericum liliago,Anthericum_liliago
Anthoxanthum_odoratum,82922,0,Anthoxanthum odoratum,Anthoxanthum_odoratum
Anthriscus_sylvestris,82952,0,Anthriscus sylvestris,Anthriscus_sylvestris
Anthyllis_montana,82985,0,Anthyllis montana,Anthyllis_montana
Anthyllis_vulneraria,82999,0,Anthyllis vulneraria,Anthyllis_vulneraria
Antirrhinum_majus,83058,0,Antirrhinum majus,Antirrhinum_majus
Aquilegia_vulgaris,83267,0,Aquilegia vulgaris,Aquilegia_vulgaris
Arabidopsis_thaliana,83272,0,Arabidopsis thaliana,Arabidopsis_thaliana
Arabis_allionii,83276,0,Arabis allionii,Arabis_allionii
