"","Combined.Name","GENRE","x","ESPECE","RG","SUBSP.","END.","DIST.","NF","NG","NE","NI","X","Valid_LIB.C.150","Alien_origin","rep.1..length.pezAlpes.phy.tip.label..","Endemic","Ecrins.NP","Summits","Persistent","Under.Ice","Plat.de.la.Selle","Barre.des.Ecrins","La.Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale.Ailefroide","Brevoort","Burlan","Rocher.de.la.Selle","Choisy","Muraillette","Rateau","Lauvitel"
"1","Aconitum_variegatum","Aconitum","","variegatum","subsp.    ","valesiacum","End.","W-Alp.",19,9,3,4,16,"Aconitum_variegatum","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Adenostyles_leucophylla","Adenostyles","","leucophylla","","","End.","W-Alp.",124,44,3,NA,21,"Adenostyles_leucophylla","",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1
"3","Alyssum_alpestre","Alyssum","","alpestre","","","End.","W-Alp.",54,31,10,NA,70,"Alyssum_alpestre","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Androsace_vitaliana","Androsace","","vitaliana","subsp.    ","sesleri","End.","E-Alp.",60,2,1,3,80,"Androsace_vitaliana","",0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"5","Anthyllis_vulneraria","Anthyllis","","vulneraria","subsp.    ","valesiaca","End.","W-Alp.",64,36,2,8,98,"Anthyllis_vulneraria","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Arabis_allionii","Arabis","","allionii","","","End.","W-Alp.",54,24,4,NA,102,"Arabis_allionii","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Arabis_caerulea","Arabis","","caerulea","","","End.","Alp.",54,24,16,NA,104,"Arabis_caerulea","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Artemisia_atrata","Artemisia","","atrata","","","End.","Alp.",124,40,6,NA,125,"Artemisia_atrata","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Artemisia_campestris","Artemisia","","campestris","subsp.    ","alpina","End.","Alp.",124,40,19,2,126,"Artemisia_campestris","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Artemisia_genipi","Artemisia","","genipi","","","End.","Alp.",124,40,13,NA,127,"Artemisia_genipi","",1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"11","Astragalus_australis","Astragalus","","australis","subsp.    ","gerardii","End.","W-Alp.",64,17,11,2,148,"Astragalus_australis","",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"12","Astragalus_sempervirens","Astragalus","","sempervirens","subsp.    ","alpinus","End.","W-Alp.",64,17,15,2,158,"Astragalus_sempervirens","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
