"","accepted_name","phylo.tip","input_name","name_class","ncbi_id","GenBank_taxonomy","ITS","trnTLF","rbcL","matK","atpB"
"1","Abies_alba","Abies_alba","Abies_alba","scientific name",45372,"Abies_alba","NA","375174864","6520340","315259938","55056899"
"2","Acer_campestre","Acer_campestre","Acer_campestre","scientific name",66205,"Acer_campestre","81302421","21954629","817991598","19571582","NA"
"3","Acer_monspessulanum","Acer_monspessulanum","Acer_monspessulanum","scientific name",168566,"Acer_monspessulanum","NA","21954601","291201196","19571698","NA"
"4","Acer_monspessulanum","Acer_monspessulanum","Acer_monspessulanum","scientific name",168566,"Acer_monspessulanum_subsp__monspessulanum","86450943","NA","NA","NA","NA"
"5","Acer_opalus","Acer_opalus","Acer_opalus","scientific name",168567,"Acer_opalus_subsp__opalus","51537384","NA","NA","NA","NA"
"6","Acer_opalus","Acer_opalus","Acer_opalus","scientific name",168567,"Acer_opalus","NA","122893933","118723699","19571692","NA"
"7","Acer_platanoides","Acer_platanoides","Acer_platanoides","scientific name",4025,"Acer_platanoides","145197788","21954633","291201154","19571631","NA"
"8","Acer_pseudoplatanus","Acer_pseudoplatanus","Acer_pseudoplatanus","scientific name",4026,"Acer_pseudoplatanus","51537404","122893940","118723709","19571686","NA"
"9","Achillea_distans","Achillea_distans","Achillea_distans","scientific name",282733,"Achillea_distans","49823320","49823402","NA","NA","NA"
"10","Achillea_millefolium","Achillea_millefolium","Achillea_millefolium","scientific name",13329,"Achillea_millefolium","193735348","NA","289108","170665349","NA"
"11","Achillea_millefolium","Achillea_millefolium","Achillea_millefolium","scientific name",13329,"Achillea_millefolium_subsp__sudetica","NA","49823399","NA","NA","NA"
"12","Achillea_nobilis","Achillea_nobilis","Achillea_nobilis","scientific name",282753,"Achillea_nobilis","49823344","49823421","NA","NA","NA"
"13","Achnatherum_calamagrostis","Achnatherum_calamagrostis","Achnatherum_calamagrostis","scientific name",487912,"Achnatherum_calamagrostis","162708172","323280505","399139325","744393579","NA"
"14","Aconitum_anthora","Aconitum_anthora","Aconitum_anthora","scientific name",112588,"Aconitum_anthora","12082542","NA","NA","295418924","NA"
"15","Aconitum_variegatum","Aconitum_variegatum","Aconitum_variegatum","scientific name",112594,"Aconitum_variegatum","632933540","NA","NA","NA","NA"
"16","Aconogonon_alpinum","Aconogonon_alpinum","Polygonum_alpinum","synonym",125586,"Aconogonon_alpinum","NA","156536628","218059573","8568052","NA"
"17","Actaea_spicata","Actaea_spicata","Actaea_spicata","scientific name",64025,"Actaea_spicata","384369248","3641791","733452253","384369038","NA"
"18","Adenostyles_alpina","Adenostyles_alpina","Adenostyles_alpina","scientific name",462377,"Adenostyles_alpina","156753995","308228703","NA","308320176","NA"
"19","Adenostyles_leucophylla","Adenostyles_leucophylla","Adenostyles_leucophylla","scientific name",217500,"Adenostyles_leucophylla","27652559","28193391","NA","NA","NA"
"20","Adonis_aestivalis","Adonis_aestivalis","Adonis_aestivalis","scientific name",113211,"Adonis_aestivalis","NA","NA","597518414","NA","NA"
"21","Adoxa_moschatellina","Adoxa_moschatellina","Adoxa_moschatellina","scientific name",4208,"Adoxa_moschatellina","1850564","28172965","817991606","20530883","305671646"
"22","Aegopodium_podagraria","Aegopodium_podagraria","Aegopodium_podagraria","scientific name",40902,"Aegopodium_podagraria","386778943","376373207","379036860","379038708","NA"
