"","Row.names","Valid_LIB.C.150","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"1","Abies_alba","Abies_alba",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Acer_campestre","Acer_campestre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Acer_monspessulanum","Acer_monspessulanum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Acer_opalus","Acer_opalus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Acer_platanoides","Acer_platanoides",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Acer_pseudoplatanus","Acer_pseudoplatanus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Achillea_distans","Achillea_distans",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Achillea_millefolium","Achillea_millefolium",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"9","Achillea_nobilis","Achillea_nobilis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Achillea_roseo","Achillea_roseo-alba",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Achnatherum_calamagrostis","Achnatherum_calamagrostis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Acinos_alpinus","Clinopodium_alpinum",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"13","Aconitum_anthora","Aconitum_anthora",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Aconitum_laeve","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Aconitum_variegatum","Aconitum_variegatum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Actaea_spicata","Actaea_spicata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Adenostyles_alliariae","Adenostyles_alliariae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
