"","pezalps.TNRS$phy$tip.label","rep(1, length(pezalps.TNRS$phy$tip.label))","Valid_LIB.C.150","endemic.TNRS","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"1","Abies_alba",1,"Abies_alba","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Acer_campestre",1,"Acer_campestre","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Acer_monspessulanum",1,"Acer_monspessulanum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Acer_opalus",1,"Acer_opalus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Acer_platanoides",1,"Acer_platanoides","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Acer_pseudoplatanus",1,"Acer_pseudoplatanus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Achillea_distans",1,"Achillea_distans","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Achillea_millefolium",1,"Achillea_millefolium","0",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"9","Achillea_nobilis",1,"Achillea_nobilis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Achnatherum_calamagrostis",1,"Achnatherum_calamagrostis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Aconitum_anthora",1,"Aconitum_anthora","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Aconitum_variegatum",1,"Aconitum_variegatum","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Actaea_spicata",1,"Actaea_spicata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Adenostyles_alpina",1,"Adenostyles_alpina","0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"15","Adenostyles_leucophylla",1,"Adenostyles_leucophylla","1",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"16","Adonis_aestivalis",1,"Adonis_aestivalis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Adoxa_moschatellina",1,"Adoxa_moschatellina","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Aegopodium_podagraria",1,"Aegopodium_podagraria","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
