,Valid_LIB.C.150,pezalps.TNRS.phy.tip.label,Alien_origin,rep.1..length.pezalps.TNRS.phy.tip.label..,endemic.TNRS,Ecrins.NP,Summits,Persistent,Under.Ice,Plat.de.la.Selle,Barre.des.Ecrins,La.Meije,Sirac,Rouies,Olan,Pelvoux,Occidentale.Ailefroide,Brevoort,Burlan,Rocher.de.la.Selle,Choisy,Muraillette,Rateau,Lauvitel
1,Abies_alba,Abies_alba,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Acer_campestre,Acer_campestre,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Acer_monspessulanum,Acer_monspessulanum,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Acer_opalus,Acer_opalus,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Acer_platanoides,Acer_platanoides,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Acer_pseudoplatanus,Acer_pseudoplatanus,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Achillea_distans,Achillea_distans,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Achillea_macrophylla,Ptarmica_macrophylla,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Achillea_millefolium,Achillea_millefolium,,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10,Achillea_nana,Ptarmica_nana,,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1
11,Achillea_nobilis,Achillea_nobilis,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Achillea_roseo-alba,Achillea_roseo,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Achnatherum_calamagrostis,Achnatherum_calamagrostis,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Aconitum_anthora,Aconitum_anthora,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Aconitum_laeve,Aconitum_laeve,Himaya,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Aconitum_variegatum,Aconitum_variegatum,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Aconogonum_alpinum,Polygonum_alpinum,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Actaea_spicata,Actaea_spicata,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Adenostyles_alliariae,Adenostyles_alliariae,,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Adenostyles_alpina,Adenostyles_alpina,,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
21,Adenostyles_leucophylla,Adenostyles_leucophylla,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1
