"","metric","clade","pool","z","pval","tau.est","alt","hyp","measure"
"1","mntd","Asterales","Ecrins NP",296,0.0783316001853765,0.471428571428571,"two.sided","Geographic","Summit Area"
"2","mntd","Asterales","Persistent LGM",328,0.126141787708305,0.414285714285714,"two.sided","Geographic","Summit Area"
"3","mntd","Asterales","Summits",328,0.126141787708305,0.414285714285714,"two.sided","Geographic","Summit Area"
"4","mntd","Caryophyllales","Ecrins NP",372,0.532151855360508,0.182417582417582,"two.sided","Geographic","Summit Area"
"5","mntd","Caryophyllales","Persistent LGM",342,0.391061789147751,0.248351648351648,"two.sided","Geographic","Summit Area"
"6","mntd","Caryophyllales","Summits",336,0.365588910224658,0.261538461538461,"two.sided","Geographic","Summit Area"
"7","mntd","Lamiales","Ecrins NP",448,0.963748772502748,0.0153846153846154,"two.sided","Geographic","Summit Area"
"8","mntd","Lamiales","Persistent LGM",506,0.188771716723795,-0.39010989010989,"two.sided","Geographic","Summit Area"
"9","mntd","Lamiales","Summits",550,0.473080171321481,-0.208791208791209,"two.sided","Geographic","Summit Area"
"10","mntd","Poales","Ecrins NP",652,0.123872396419663,-0.432967032967033,"two.sided","Geographic","Summit Area"
"11","mntd","Poales","Persistent LGM",736,0.0213253591320777,-0.617582417582418,"two.sided","Geographic","Summit Area"
"12","mntd","Poales","Summits",722,0.030331608497692,-0.586813186813187,"two.sided","Geographic","Summit Area"
"13","mntd","Rosales","Ecrins NP",276,0.451196804369117,-0.254545454545455,"two.sided","Geographic","Summit Area"
"14","mntd","Rosales","Persistent LGM",302,0.260598370671166,-0.372727272727273,"two.sided","Geographic","Summit Area"
"15","mntd","Rosales","Summits",260,0.59521871798588,-0.181818181818182,"two.sided","Geographic","Summit Area"
"16","mntd","Spermatophyta","Ecrins NP",688,0.411416373585749,-0.228571428571429,"two.sided","Geographic","Summit Area"
"17","mntd","Spermatophyta","Persistent LGM",918,0.0122612366388285,-0.639285714285714,"two.sided","Geographic","Summit Area"
"18","mntd","Spermatophyta","Summits",728,0.276682020395682,-0.3,"two.sided","Geographic","Summit Area"
"19","mpd","Asterales","Ecrins NP",618,0.714423627861307,-0.103571428571429,"two.sided","Geographic","Summit Area"
"20","mpd","Asterales","Persistent LGM",596,0.822421314284505,-0.0642857142857143,"two.sided","Geographic","Summit Area"
"21","mpd","Asterales","Summits",644,0.59338267588306,-0.15,"two.sided","Geographic","Summit Area"
"22","mpd","Caryophyllales","Ecrins NP",360,0.473080171321481,0.208791208791209,"two.sided","Geographic","Summit Area"
"23","mpd","Caryophyllales","Persistent LGM",300,0.233428256854,0.340659340659341,"two.sided","Geographic","Summit Area"
"24","mpd","Caryophyllales","Summits",314,0.280560336708067,0.30989010989011,"two.sided","Geographic","Summit Area"
"25","mpd","Lamiales","Ecrins NP",374,0.54231558344302,0.178021978021978,"two.sided","Geographic","Summit Area"
"26","mpd","Lamiales","Persistent LGM",498,0.216629806809432,-0.368131868131868,"two.sided","Geographic","Summit Area"
"27","mpd","Lamiales","Summits",526,0.594409707681895,-0.156043956043956,"two.sided","Geographic","Summit Area"
"28","mpd","Poales","Ecrins NP",524,0.60507220358306,-0.151648351648352,"two.sided","Geographic","Summit Area"
"29","mpd","Poales","Persistent LGM",494,0.77319943086607,-0.0857142857142857,"two.sided","Geographic","Summit Area"
"30","mpd","Poales","Summits",474,0.891518798508243,-0.0417582417582418,"two.sided","Geographic","Summit Area"
"31","mpd","Rosales","Ecrins NP",238,0.817650128521416,-0.0818181818181818,"two.sided","Geographic","Summit Area"
"32","mpd","Rosales","Persistent LGM",308,0.225014088667236,-0.4,"two.sided","Geographic","Summit Area"
"33","mpd","Rosales","Summits",322,0.154327160537791,-0.463636363636364,"two.sided","Geographic","Summit Area"
