"","metric","clade","pool","adj.r.squared","p.value.1","(Intercept)","pc.availener.score"
"1","mntd","Asterales","Ecrins NP",-0.0742179627634514,0.859210342613175,-0.700850208320878,6.27527080142592e-05
"2","mntd","Asterales","Persistent LGM",-0.0630655402747502,0.687297803071283,-0.322308460671699,-0.000143332855021614
"3","mntd","Asterales","Summits",-0.0737422790351359,0.847455998088677,-0.556421436369176,-7.27798269302511e-05
"4","mntd","Caryophyllales","Ecrins NP",-0.0261082951297655,0.42926620313681,-0.0702348458122188,0.000284141515202537
"5","mntd","Caryophyllales","Persistent LGM",-0.010644024876747,0.371187934884016,-0.0862264848972803,0.000313596788835047
"6","mntd","Caryophyllales","Summits",-0.0315524782472756,0.452703464468096,-0.168864300389056,0.000270050456410069
"7","mntd","Lamiales","Ecrins NP",-0.0462232060130876,0.526433361346777,-0.0439969101857883,0.000181882040639275
"8","mntd","Lamiales","Persistent LGM",-0.0886147813868088,0.881738857692719,0.711927684373885,-4.37228740985915e-05
"9","mntd","Lamiales","Summits",-0.0833314030550703,0.996386559677865,0.524098090473256,-1.13668450551761e-06
"10","mntd","Poales","Ecrins NP",-0.0511828245362758,0.555918465342282,-0.568596858089458,0.000190454387850757
"11","mntd","Poales","Persistent LGM",-0.0766394564356072,0.789385259205797,0.178300721427948,-7.24649978767902e-05
"12","mntd","Poales","Summits",-0.0608759124460694,0.623380530282934,0.419397688595323,-0.000121175696825369
"13","mntd","Rosales","Ecrins NP",0.0422105521015907,0.260664219788677,-1.39960423621777,-0.000496199226104714
"14","mntd","Rosales","Persistent LGM",0.0134776712585182,0.314131541097718,-0.859214829407557,-0.000510640983157124
"15","mntd","Rosales","Summits",0.0304812381613879,0.281166248149772,-0.93033696847156,-0.000456513678573581
"16","mntd","Spermatophyta","Ecrins NP",0.11009259985619,0.122290800473178,-2.37761988251935,0.000704248826747165
"17","mntd","Spermatophyta","Persistent LGM",-0.0474132161127441,0.555466578971094,-0.603510066996238,-0.000155290592326641
"18","mntd","Spermatophyta","Summits",-0.0197550143292677,0.408731800327227,-0.948811004676732,0.000334197731426468
"19","mpd","Asterales","Ecrins NP",0.152982780665221,0.0829279495870616,-0.124693484034204,-0.000588682412777834
"20","mpd","Asterales","Persistent LGM",0.130193808038008,0.10200374476054,-0.0436233015451234,-0.000605316442939632
"21","mpd","Asterales","Summits",0.154273165592405,0.0819566455245596,-0.120769052749733,-0.000640351927858067
"22","mpd","Caryophyllales","Ecrins NP",-0.0336979822477126,0.462453581149734,-0.0399107080688953,0.000225311230198495
"23","mpd","Caryophyllales","Persistent LGM",0.00636678243957289,0.318477478875166,-0.174487289853402,0.000307973897856599
"24","mpd","Caryophyllales","Summits",-0.0169118633061935,0.39337566319547,-0.275432477372716,0.000254882089766711
"25","mpd","Lamiales","Ecrins NP",-0.0670815006273393,0.67658135311158,-0.0366085565227206,6.60204805674221e-05
"26","mpd","Lamiales","Persistent LGM",-0.0832447474506295,0.785436606754538,0.714679948093758,-5.75655379068519e-05
"27","mpd","Lamiales","Summits",-0.0738864013471827,0.750847085214698,0.568613999037069,-5.27403396781944e-05
"28","mpd","Poales","Ecrins NP",0.119617281667848,0.122144518397676,-0.282941901210167,0.000526172156538842
"29","mpd","Poales","Persistent LGM",0.0120147114380911,0.303022171864658,0.494995240501582,0.000255789867049379
"30","mpd","Poales","Summits",0.0259988872011376,0.268370884341772,0.389166289560124,0.000299173108766504
"31","mpd","Rosales","Ecrins NP",0.0506083551349772,0.24697727462499,-1.79860823272546,-0.000647891172883233
"32","mpd","Rosales","Persistent LGM",0.0566896077498573,0.237542053944634,-0.913994467249461,-0.000576185911894591
"33","mpd","Rosales","Summits",0.134999257832254,0.144015378911542,-0.940934011055731,-0.000599209095580492
"34","mpd","Spermatophyta","Ecrins NP",0.115431741151135,0.116547669121109,-0.497233961687148,0.000603281110726158
"35","mpd","Spermatophyta","Persistent LGM",-0.0302956698302523,0.456769424079284,0.515031256222762,-0.000185155481383928
"36","mpd","Spermatophyta","Summits",0.11212226934503,0.120075571929191,-0.203442914612813,0.000558469679439167
