"","metric","clade","pool","adj.r.squared","p.value.1","(Intercept)","pc.stabil.score"
"1","mntd","Asterales","Ecrins NP",0.0303210846428179,0.251900907920301,-0.700850208320879,-0.00184062741143142
"2","mntd","Asterales","Persistent LGM",-0.0769090094659057,0.989800634427609,-0.322308460671699,2.12740373626597e-05
"3","mntd","Asterales","Summits",-0.0669087099146999,0.73244472235778,-0.556421436369176,-0.000601581006833953
"4","mntd","Caryophyllales","Ecrins NP",-0.0715599125774573,0.72284115754816,-0.093020871294026,-0.000540129989554423
"5","mntd","Caryophyllales","Persistent LGM",-0.0663705174204223,0.669939745074534,-0.110875890493401,-0.000634878507512137
"6","mntd","Caryophyllales","Summits",-0.0723543541808063,0.732030686536234,-0.190420131345355,-0.000521130628990403
"7","mntd","Lamiales","Ecrins NP",-0.0750694936345273,0.766548201004325,-0.0446005931131953,-0.000400228658244953
"8","mntd","Lamiales","Persistent LGM",-0.087326771344989,0.852486987200701,0.721179264017567,-0.000228810102902474
"9","mntd","Lamiales","Summits",-0.0321165745126308,0.455237302712391,0.521650223937394,0.000863395280729367
"10","mntd","Poales","Ecrins NP",-0.0144585488966107,0.384489372144959,-0.566720721065481,-0.00129987271806361
"11","mntd","Poales","Persistent LGM",-0.0727576300731805,0.736836183761625,0.177785789331642,0.000424734653907441
"12","mntd","Poales","Summits",-0.0478426066499933,0.535755292841208,0.418536333528046,0.000710340664718741
"13","mntd","Rosales","Ecrins NP",-0.0313438365923813,0.425691636876177,-1.23226653427423,-0.00135305576506562
"14","mntd","Rosales","Persistent LGM",0.0619167833357824,0.229733359158273,-0.656734839894839,-0.00227500971735457
"15","mntd","Rosales","Summits",-0.031354351995998,0.425723318679582,-0.774652386152993,-0.00129528891211934
"16","mntd","Spermatophyta","Ecrins NP",0.180639555375452,0.0643111384090916,-2.37761988251935,-0.00385006388707531
"17","mntd","Spermatophyta","Persistent LGM",-0.0605180631431939,0.661221404165508,-0.603510066996238,0.000539373057360558
"18","mntd","Spermatophyta","Summits",-0.0509996178888357,0.58086054571898,-0.948811004676732,-0.00104836525368556
"19","mpd","Asterales","Ecrins NP",0.204203675922,0.0516117740903676,-0.124693484034204,0.00303247000823592
"20","mpd","Asterales","Persistent LGM",0.273622659290992,0.0263520757884598,-0.0436233015451228,0.00366848245351477
"21","mpd","Asterales","Summits",0.281385944132194,0.0243778923858616,-0.120769052749732,0.00371361254304413
"22","mpd","Caryophyllales","Ecrins NP",-0.063702310430205,0.646364888220027,-0.0711316320461821,0.000593832642796185
"23","mpd","Caryophyllales","Persistent LGM",-0.0685773204229172,0.691121839841164,-0.199981591950264,-0.000523488606014546
"24","mpd","Caryophyllales","Summits",-0.0820669016691276,0.907624394322488,-0.300208765459486,-0.000147496348992023
"25","mpd","Lamiales","Ecrins NP",-0.0541237974574087,0.574838136013576,-0.0360660434671473,-0.000412727572108159
"26","mpd","Lamiales","Persistent LGM",-0.0905777425574377,0.954935991789678,0.720913645995753,5.01277060359801e-05
"27","mpd","Lamiales","Summits",0.00426521414577907,0.324467342073777,0.566986862504635,0.000748892748908102
"28","mpd","Poales","Ecrins NP",0.106867056791984,0.135893366926541,-0.281221335112725,-0.0023752647490516
"29","mpd","Poales","Persistent LGM",-0.0605248340676985,0.620649839826804,0.49420467445747,-0.000583377185133134
"30","mpd","Poales","Summits",-0.0227850491087076,0.415797179672113,0.38925505166051,-0.00103818090145901
"31","mpd","Rosales","Ecrins NP",-0.0320744160811215,0.427900485633386,-1.58197924159002,-0.00171231750640681
"32","mpd","Rosales","Persistent LGM",0.036622460570391,0.270221364668314,-0.703468410376325,-0.00204387496116957
"33","mpd","Rosales","Summits",-0.0789737903551413,0.61711729278434,-0.766823780468097,-0.00081859157899749
"34","mpd","Spermatophyta","Ecrins NP",0.109620084219868,0.122812250370003,-0.497233961687149,-0.00276756125558198
"35","mpd","Spermatophyta","Persistent LGM",-0.0568501579233742,0.627555597298239,0.515031256222762,0.000565927228947799
"36","mpd","Spermatophyta","Summits",0.0976724227384266,0.136751988836918,-0.203442914612813,-0.00250018709767463
