"","species","ITS","trnTLF","rbcL","matK","atpB"
"Abies_alba","Abies_alba","NA","375174864","6520340","315259938","55056899"
"Acer_campestre","Acer_campestre","81302421","21954629","817991598","19571582","NA"
"Acer_monspessulanum","Acer_monspessulanum","NA","21954601","291201196","19571698","NA"
"Acer_monspessulanum_subsp__monspessulanum","Acer_monspessulanum","86450943","NA","NA","NA","NA"
"Acer_opalus","Acer_opalus","NA","122893933","118723699","19571692","NA"
"Acer_opalus_subsp__opalus","Acer_opalus","51537384","NA","NA","NA","NA"
"Acer_platanoides","Acer_platanoides","145197788","21954633","291201154","19571631","NA"
"Acer_pseudoplatanus","Acer_pseudoplatanus","51537404","122893940","118723709","19571686","NA"
"Achillea_distans","Achillea_distans","49823320","49823402","NA","NA","NA"
"Achillea_millefolium","Achillea_millefolium","193735348","NA","289108","170665349","NA"
"Achillea_millefolium_subsp__sudetica","Achillea_millefolium","NA","49823399","NA","NA","NA"
"Achillea_nobilis","Achillea_nobilis","49823344","49823421","NA","NA","NA"
"Achnatherum_calamagrostis","Achnatherum_calamagrostis","162708172","323280505","399139325","744393579","NA"
"Aconitum_anthora","Aconitum_anthora","12082542","NA","NA","295418924","NA"
"Aconitum_variegatum","Aconitum_variegatum","632933540","NA","NA","NA","NA"
"Aconogonon_alpinum","Aconogonon_alpinum","NA","156536628","218059573","8568052","NA"
"Actaea_spicata","Actaea_spicata","384369248","3641791","733452253","384369038","NA"
"Adenostyles_alpina","Adenostyles_alpina","156753995","308228703","NA","308320176","NA"
"Adenostyles_leucophylla","Adenostyles_leucophylla","27652559","28193391","NA","NA","NA"
"Adonis_aestivalis","Adonis_aestivalis","NA","NA","597518414","NA","NA"
"Adoxa_moschatellina","Adoxa_moschatellina","1850564","28172965","817991606","20530883","305671646"
"Aegopodium_podagraria","Aegopodium_podagraria","386778943","376373207","379036860","379038708","NA"
"Aethionema_saxatile","Aethionema_saxatile","298200774","27461486","46325897","170517197","NA"
"Aethusa_cynapium","Aethusa_cynapium","307748667","373431723","379037306","607344948","NA"
"Agrimonia_eupatoria","Agrimonia_eupatoria","3746143","27524861","379032466","379037824","NA"
"Agrostis_capillaris","Agrostis_capillaris","210076951","159146750","41056379","119553571","NA"
"Agrostis_stolonifera","Agrostis_stolonifera","758585555","189303940","557836347","76881051","NA"
"Ajuga_chamaepitys","Ajuga_chamaepitys","NA","261086983","1480371","371754258","NA"
"Ajuga_reptans","Ajuga_reptans","145567031","395863759","1817567","58045217","NA"
"Alchemilla_alpina","Alchemilla_alpina","158514971","27524335","733452036","733451834","NA"
"Alchemilla_fissa","Alchemilla_fissa","158514993","160346895","NA","NA","NA"
"Alchemilla_flabellata","Alchemilla_flabellata","158514994","160346896","NA","NA","NA"
"Alchemilla_glabra","Alchemilla_glabra","NA","NA","379034147","379038840","NA"
"Alchemilla_glaucescens","Alchemilla_glaucescens","NA","260182656","733452032","733451840","NA"
"Alchemilla_incisa","Alchemilla_incisa","158515004","160346907","NA","NA","NA"
"Alchemilla_pentaphyllea","Alchemilla_pentaphyllea","158515017","229270116","NA","NA","NA"
"Alchemilla_plicata","Alchemilla_plicata","158515018","160346922","NA","NA","NA"
"Alchemilla_saxatilis","Alchemilla_saxatilis","158515022","160346923","NA","NA","NA"
"Alchemilla_transiens","Alchemilla_transiens","158515032","160346932","NA","NA","NA"
"Alchemilla_xanthochlora","Alchemilla_xanthochlora","NA","NA","379036574","379041704","NA"
"Alisma_plantago-aquatica","Alisma_plantago-aquatica","343404236","218091653","507914137","33332494","68139360"
"Alliaria_petiolata","Alliaria_petiolata","NA","371768950","817991626","12002400","NA"
"Allium_lineare","Allium_lineare","291292610","NA","NA","NA","NA"
"Allium_oleraceum","Allium_oleraceum","256596110","256587886","379133809","385137179","NA"
"Allium_schoenoprasum","Allium_schoenoprasum","NA","537099176","379031483","NA","NA"
"Allium_schoenoprasum_subsp__latiorifolium","Allium_schoenoprasum","21628464","NA","NA","NA","NA"
"Allium_scorodoprasum","Allium_scorodoprasum","21739030","194241427","733452004","733451850","NA"
"Allium_senescens","Allium_senescens","NA","374079070","519670648","357640289","NA"
"Allium_senescens_subsp__montanum","Allium_senescens","40548536","NA","NA","NA","NA"
"Allium_ursinum","Allium_ursinum","NA","537099181","379037452","379042324","NA"
"Allium_victorialis","Allium_victorialis","NA","537099182","NA","NA","NA"
"Allium_victorialis_var__platyphyllum","Allium_victorialis","NA","NA","313756389","313756606","NA"
"Alnus_alnobetula_subsp__sinuata","Alnus_alnobetula","17065872","37720897","33113300","33113276","37729409"
"Alnus_glutinosa","Alnus_glutinosa","269137205","199600239","817991630","661916495","NA"
"Alnus_incana","Alnus_incana","38045344","199600241","297535","661916497","NA"
"Alopecurus_myosuroides","Alopecurus_myosuroides","855196486","6899872","387912168","387912228","NA"
"Alyssoides_utriculata","Alyssoides_utriculata","525672207","525672725","NA","NA","NA"
"Alyssum_alpestre","Alyssum_alpestre","525672208","525672728","NA","NA","NA"
"Alyssum_alyssoides","Alyssum_alyssoides","525672212","525672739","NA","NA","NA"
"Amelanchier_ovalis","Amelanchier_ovalis","555685584","555685537","379062034","384598718","NA"
"Androsace_helvetica","Androsace_helvetica","30526248","30526151","557836391","702066119","NA"
"Androsace_maxima","Androsace_maxima","30526282","30526128","NA","702066199","NA"
"Androsace_obtusifolia","Androsace_obtusifolia","186920053","30526142","NA","702066121","NA"
"Androsace_vandellii","Androsace_vandellii","30526242","30526140","NA","702066075","NA"
"Anemone_alpina","Anemone_alpina","NA","NA","557836449","NA","NA"
"Anemone_narcissiflora","Anemone_narcissiflora","37542434","NA","557836447","NA","NA"
"Anemone_narcissiflora_subsp__sibirica","Anemone_narcissiflora","NA","260079476","NA","NA","NA"
"Angelica_sylvestris","Angelica_sylvestris","345452853","79676049","379037308","75758024","305671690"
"Antennaria_carpatica","Antennaria_carpatica","223414513","NA","NA","NA","NA"
"Antennaria_dioica","Antennaria_dioica","223414512","317438828","379032538","308196094","NA"
"Anthericum_liliago","Anthericum_liliago","NA","24181948","1518182","313756619","499069522"
"Anthoxanthum_odoratum","Anthoxanthum_odoratum","209962734","119553714","57283791","133917425","110915581"
"Anthriscus_sylvestris","Anthriscus_sylvestris","165911381","312182175","379037312","379042214","NA"
"Anthyllis_montana_subsp__jacquinii","Anthyllis_montana","19572710","NA","NA","NA","NA"
"Anthyllis_vulneraria","Anthyllis_vulneraria","NA","667668277","817991654","NA","NA"
"Anthyllis_vulneraria_subsp__lapponica","Anthyllis_vulneraria","NA","NA","NA","23477675","NA"
"Anthyllis_vulneraria_subsp__reuteri","Anthyllis_vulneraria","28467446","NA","NA","NA","NA"
"Antirrhinum_majus","Antirrhinum_majus","NA","22795974","290486933","290488913","290490141"
"Antirrhinum_majus_subsp__tortuosum","Antirrhinum_majus","222137869","NA","NA","NA","NA"
"Aquilegia_vulgaris","Aquilegia_vulgaris","211908984","NA","158323639","340513409","158602254"
"Arabidopsis_thaliana","Arabidopsis_thaliana","98283744","27461487","1928871","12002416","73658411"
"Arabis_alpina","Arabis_alpina","69196379","127951014","459991406","12002330","NA"
"Arabis_auriculata","Arabis_auriculata","327397784","677278320","NA","NA","NA"
"Arabis_caerulea","Arabis_caerulea","442093672","442093722","NA","NA","NA"
"Arabis_ciliata","Arabis_ciliata","677278124","677278389","NA","NA","NA"
"Arabis_collina","Arabis_collina","312142316","677278415","NA","NA","NA"
"Arabis_hirsuta","Arabis_hirsuta","677278130","677278350","424949792","12002350","NA"
"Arabis_nova","Arabis_nova","442093675","442093725","NA","NA","NA"
"Arabis_sagittata","Arabis_sagittata","677278088","677278369","NA","NA","NA"
"Arabis_soyeri","Arabis_soyeri","NA","37548255","NA","NA","NA"
"Arabis_soyeri_subsp__subcoriacea","Arabis_soyeri","6686537","NA","NA","NA","NA"
"Arctium_minus","Arctium_minus","910278991","60202354","500049495","379037986","NA"
"Arctostaphylos_uva-ursi","Arctostaphylos_uva-ursi","4378594","226876642","545699013","33312244","6686865"
"Arenaria_serpyllifolia","Arenaria_serpyllifolia","38305429","239837480","817991676","607344964","NA"
"Armeria_alpina","Armeria_alpina","27904417","NA","NA","NA","NA"
"Armeria_arenaria","Armeria_arenaria","NA","NA","733451914","NA","NA"
"Armeria_arenaria_subsp__bilbilitana","Armeria_arenaria","27904420","NA","NA","NA","NA"
"Arnica_montana","Arnica_montana","295413450","NA","557836623","NA","NA"
"Arrhenatherum_elatius","Arrhenatherum_elatius","240017949","119553715","71056575","119553578","NA"
"Artemisia_absinthium","Artemisia_absinthium","NA","564742883","379034101","379039408","NA"
"Artemisia_absinthium_var__calcigena","Artemisia_absinthium","290767677","NA","NA","NA","NA"
"Artemisia_alba","Artemisia_alba","444745784","444745887","NA","NA","NA"
"Artemisia_atrata","Artemisia_atrata","444745850","444745934","NA","NA","NA"
"Artemisia_campestris","Artemisia_campestris","NA","568218873","379031513","379038002","NA"
"Artemisia_campestris_subsp__caudata","Artemisia_campestris","332105561","NA","NA","NA","NA"
"Artemisia_genipi","Artemisia_genipi","30266786","NA","NA","NA","NA"
"Artemisia_umbelliformis","Artemisia_umbelliformis","30266796","NA","NA","NA","NA"
"Artemisia_vulgaris","Artemisia_vulgaris","NA","444745873","817991686","379039414","NA"
"Artemisia_vulgaris__type_2_","Artemisia_vulgaris","4226012","NA","NA","NA","NA"
"Arum_maculatum","Arum_maculatum","296033248","296033373","296033289","296033341","NA"
"Aruncus_dioicus","Aruncus_dioicus","380840971","19032428","533003","17154790","NA"
"Asarum_europaeum","Asarum_europaeum","238558097","NA","NA","238558120","NA"
"Asperugo_procumbens","Asperugo_procumbens","399606279","601105958","399139375","402173108","NA"
"Asperula_cynanchica","Asperula_cynanchica","NA","288190058","379034759","607344968","NA"
"Asphodelus_albus","Asphodelus_albus","NA","697652552","37722349","NA","37720978"
"Aster_alpinus","Aster_alpinus","749635613","390431481","NA","NA","NA"
"Aster_bellidiastrum","Aster_bellidiastrum","20136725","NA","557836626","NA","NA"
"Astragalus_alpinus","Astragalus_alpinus","325492651","260079530","817991696","60256609","NA"
"Astragalus_australis_var__aboriginorum","Astragalus_australis","NA","4927054","NA","NA","NA"
"Astragalus_australis_var__glabriusculus","Astragalus_australis","4680518","NA","NA","NA","NA"
"Astragalus_cicer","Astragalus_cicer","429139010","667668263","667668060","700370121","NA"
"Astragalus_danicus","Astragalus_danicus","NA","667668264","667668064","667667880","NA"
"Astragalus_glycyphyllos","Astragalus_glycyphyllos","NA","NA","379033869","379039736","NA"
"Astragalus_onobrychis","Astragalus_onobrychis","NA","NA","NA","577860087","NA"
"Astragalus_vesicarius_subsp__carniolicus","Astragalus_vesicarius","284813091","NA","NA","NA","NA"
"Astrantia_major","Astrantia_major","3075425","NA","557836359","NA","NA"
"Astrantia_major_subsp__involucrata","Astrantia_major","NA","NA","NA","2281142","NA"
"Athamanta_cretensis","Athamanta_cretensis","6648830","NA","557836294","NA","NA"
"Atocion_rupestre","Atocion_rupestre","211954114","148608542","541049878","156125859","NA"
"Atropa_belladonna","Atropa_belladonna","19743573","190614059","817991700","47057131","312369840"
