"","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"Ecrins NP",0,4.80968527947267,6.3105030103491,3.47536856624298,3.10707652102455,3.4735122041073,3.25908603680287,4.3729284371752,2.58138998703019,0.905806664038588,-2.22920408352879,1.99574266806589,0.889841423643595,1.96952145505715,3.89545441769789,1.66165933812228,3.70175609779241,3.83206663122082,4.79096483704295
"Summits",4.80968527947267,0,4.06747504943196,0.294670957018689,0.845428907258276,1.1562868726892,1.08029085790024,1.87583751137156,0.134536696922711,-2.30325281012765,-4.69907942734646,-0.307602930931082,-1.30652270229274,-0.386482542160053,0.00575266774577825,-0.603055582186174,1.08529190567358,0.663647270453345,2.0253898252285
"Persistent",6.3105030103491,4.06747504943196,0,1.16267140493316,-0.584285369516837,-0.464984803954708,-0.249655007521188,-0.36309393141999,-1.41261697841595,-1.4942461660954,-0.807910528132153,-1.39697375298523,-2.76023828023233,-2.09680604642885,1.13506683073775,-2.06155238881581,-0.678740753942745,1.36858598994428,-0.275594782331791
"Under Ice",3.47536856624298,0.294670957018689,1.16267140493316,0,0.21755739100579,0.0836317398725586,0.133215065933897,0.585961914260084,-0.372737147384893,-1.70142240332966,-2.88356237203701,-0.505279755959314,-1.63874303281881,-0.618436546403364,-0.190525715240317,-1.20027010899248,0.402637208328969,-0.469214027341492,0.651023666599894
"Plat de la Selle",3.10707652102455,0.845428907258276,-0.584285369516837,0.21755739100579,0,-0.954658820746368,-0.894341771363364,-1.40620939402425,-1.29952104183664,1.40265421498826,0.892594593798093,-1.68010410019404,-0.753042352671029,-0.410674792559435,0.809254269581222,-1.02949430332004,-1.06959059570555,0.113900643392412,-0.764498979721294
"Barre des Ecrins",3.4735122041073,1.1562868726892,-0.464984803954708,0.0836317398725586,-0.954658820746368,0,-2.83545420924363,-1.4397241534939,-2.72954364303197,0.976637434888097,0.415908957912554,-1.86193294451176,-2.99393812876749,-2.21669120794768,0.635424030723293,-2.94176971357505,-2.07990847960376,-0.27182913168457,-1.44026253315628
"La Meije",3.25908603680287,1.08029085790024,-0.249655007521188,0.133215065933897,-0.894341771363364,-2.83545420924363,0,-0.770276505661719,-2.69530269221847,1.09727635325769,-0.305374928571078,-2.65420785417307,-2.25775732830998,-1.70375238459692,0.761534262451149,-2.44574012085803,-3.52521222525666,-0.205757567716003,-1.52401832806177
"Sirac",4.3729284371752,1.87583751137156,-0.36309393141999,0.585961914260084,-1.40620939402425,-1.4397241534939,-0.770276505661719,0,-1.1648328528178,-1.76800960214521,0.0987998253633357,-2.08996283211733,-2.00605932932607,-1.53880067926596,0.995615204297014,-1.79673596479375,-1.28533739059267,0.83444747923709,-1.02165136117533
"Rouies",2.58138998703019,0.134536696922711,-1.41261697841595,-0.372737147384893,-1.29952104183664,-2.72954364303197,-2.69530269221847,-1.1648328528178,0,0.694076928660796,0.707743594816723,-1.67483762488243,-2.12840969167453,-0.378755914303859,-0.515258716281194,-1.69837034321877,-2.78491065167825,-1.30814540608889,-2.27971601785532
"Olan",0.905806664038588,-2.30325281012765,-1.4942461660954,-1.70142240332966,1.40265421498826,0.976637434888097,1.09727635325769,-1.76800960214521,0.694076928660796,0,-1.68670745467367,-0.343487508828249,-0.196356986744219,0.0379096214520849,-2.92862322505645,0.640120537576467,-0.748844817419761,-1.69787748167239,-1.78259977349185
"Pelvoux",-2.22920408352879,-4.69907942734646,-0.807910528132153,-2.88356237203701,0.892594593798093,0.415908957912554,-0.305374928571078,0.0987998253633357,0.707743594816723,-1.68670745467367,0,-0.897521507540967,0.41185006709194,-0.0601144821965868,-2.52718232054196,0.328222339516165,-0.189921781078344,-2.8507938156085,-0.539840249797037
"Occidentale Ailefroide",1.99574266806589,-0.307602930931082,-1.39697375298523,-0.505279755959314,-1.68010410019404,-1.86193294451176,-2.65420785417307,-2.08996283211733,-1.67483762488243,-0.343487508828249,-0.897521507540967,0,-1.51701387772483,-0.39808334488659,-0.555061638523284,-2.0853731331717,-0.725954178830414,-0.475789984395243,-1.78232772694931
