"","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"Ecrins NP",0,0.661736541984137,0.741279623185879,0.786773996927268,0.90659564850149,0.89192162766227,0.899142789422337,0.839770960894909,0.88387780366434,0.818641730472084,0.906416015549772,0.902515923853737,0.944081964995894,0.893334357065168,0.72720493406414,0.929794511673068,0.853607098218776,0.794417724602193,0.812509457623759
"Summits",0.661736541984137,0,0.235151268388002,0.369645174434618,0.723870996747956,0.680490547303925,0.701838291462943,0.526318804741902,0.656710786861835,0.463854976852359,0.723339952239713,0.711810206405174,0.834690878724821,0.684666964736611,0.193542608663726,0.79245322938891,0.567222239611944,0.392242139887998,0.445726288390724
"Persistent",0.741279623185879,0.235151268388002,0,0.406113854555367,0.63897566690073,0.584364382879409,0.626869510214344,0.392356228665621,0.55116717992766,0.425160527905388,0.774180714271083,0.637356470536679,0.78567376984227,0.591834847782035,0.280607874376219,0.730532284631349,0.434165551303285,0.415565820457528,0.279730061108348
"Under Ice",0.786773996927268,0.369645174434618,0.406113854555367,0,0.618875993371243,0.52185496100905,0.56446061262689,0.456386917405225,0.489412308693215,0.41776979327601,0.669643595680501,0.542813377630067,0.748242293870761,0.499753119236363,0.365728743672996,0.682821880346435,0.471832527172757,0.146550873116762,0.425548110190219
"Plat de la Selle",0.90659564850149,0.723870996747956,0.63897566690073,0.618875993371243,0,0.456662706810535,0.495316078440585,0.49561153013188,0.420125591837858,0.529870119402182,0.712526497308882,0.527623144246321,0.633081221485974,0.561949677578673,0.66660889711449,0.54062302219686,0.521526036158945,0.610855090136488,0.574624989007163
"Barre des Ecrins",0.89192162766227,0.680490547303925,0.584364382879409,0.52185496100905,0.456662706810535,0,0.35640041985945,0.475166522679767,0.315612139688416,0.477826947548925,0.663747184457991,0.388726511857083,0.493579190949128,0.344810008313189,0.605232960705307,0.389501408585165,0.403205820851752,0.511273122376377,0.457047256773392
"La Meije",0.899142789422337,0.701838291462943,0.626869510214344,0.56446061262689,0.495316078440585,0.35640041985945,0,0.539947318447901,0.27793818883961,0.584693564011063,0.692162365909966,0.43033768762566,0.470362765049384,0.424809000693834,0.646835684430328,0.378757808511557,0.4275636710353,0.546841360057459,0.515116233300178
"Sirac",0.839770960894909,0.526318804741902,0.392356228665621,0.456386917405225,0.49561153013188,0.475166522679767,0.539947318447901,0,0.494974629469168,0.39623024806049,0.708158363984822,0.535738866069132,0.707800244626001,0.491145468944508,0.470927046826412,0.651852334404443,0.466400640025236,0.465989773716713,0.383353294362468
"Rouies",0.88387780366434,0.656710786861835,0.55116717992766,0.489412308693215,0.420125591837858,0.315612139688416,0.27793818883961,0.494974629469168,0,0.479141773945147,0.708179731882201,0.39467657378449,0.53386717078921,0.437621103319018,0.587242665929685,0.424275660010116,0.380900117592718,0.464546052152573,0.415288157454593
"Olan",0.818641730472084,0.463854976852359,0.425160527905388,0.41776979327601,0.529870119402182,0.477826947548925,0.584693564011063,0.39623024806049,0.479141773945147,0,0.590506662989158,0.55258633543387,0.692025384988345,0.545123218806992,0.384143219771894,0.613266461731012,0.469730604888113,0.419401889998639,0.372532012928808
"Pelvoux",0.906416015549772,0.723339952239713,0.774180714271083,0.669643595680501,0.712526497308882,0.663747184457991,0.692162365909966,0.708158363984822,0.708179731882201,0.590506662989158,0,0.647593959063996,0.66454385022775,0.656124782261828,0.71788956546652,0.642884432087957,0.746160102103404,0.667255015101584,0.732515614470419
