"","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"Ecrins NP",0,0.661736541984137,0.741279623185879,0.786773996927268,0.90659564850149,0.89192162766227,0.899142789422337,0.839770960894909,0.88387780366434,0.818641730472084,0.906416015549772,0.902515923853737,0.944081964995894,0.893334357065168,0.72720493406414,0.929794511673068,0.853607098218776,0.794417724602193,0.812509457623759
"Summits",0.661736541984137,0,0.235151268388002,0.369645174434618,0.723870996747956,0.680490547303925,0.701838291462943,0.526318804741902,0.656710786861835,0.463854976852359,0.723339952239713,0.711810206405174,0.834690878724821,0.684666964736611,0.193542608663726,0.79245322938891,0.567222239611944,0.392242139887998,0.445726288390724
"Persistent",0.741279623185879,0.235151268388002,0,0.107813628962902,0.63897566690073,0.577265872177611,0.566359411181672,0.369185908022739,0.55116717992766,0.220063774245893,0.304996825244497,0.583717056532379,0.771999042618902,0.577753851654601,0.0343163638889879,0.719625311689932,0.434165551303285,0.129451738253806,0.2726734300899
"Under Ice",0.786773996927268,0.369645174434618,0.107813628962902,0,0.446867370636482,0.448001783222924,0.459875802004409,0.15248249469601,0.410013976795752,0.0853006686726201,0.356139584300998,0.542813377630067,0.68631052617961,0.499753119236363,0.158869295199835,0.628641557859038,0.209497748541186,0.0298808955733391,0.0646211303125603
"Plat de la Selle",0.90659564850149,0.723870996747956,0.63897566690073,0.446867370636482,0,0.0688058131465486,0.0309189101838061,0.331190671922733,0.119863194605408,0.417915364184012,0.000355995977195822,0.0153477567063939,0.191689229957718,0.0461536780665799,0.627917938904892,0.119862359567333,0.232168002830802,0.423603042001718,0.388633318885197
"Barre des Ecrins",0.89192162766227,0.680490547303925,0.577265872177611,0.448001783222924,0.0688058131465486,0,0.0387619124901087,0.221071761503224,0.0440191949938833,0.327421371367076,0.035725771366797,0.0553584201119279,0.465836636173136,0.00721286767808044,0.600100073369289,0.317478091655248,0.188897280259149,0.421010691855676,0.384464278175863
"La Meije",0.899142789422337,0.701838291462943,0.566359411181672,0.459875802004409,0.0309189101838061,0.0387619124901087,0,0.228670114116303,0.0995374893699909,0.281179434625904,0.0158342544961932,0.0156241068873942,0.41356008509582,0.0265289868213658,0.582779221284431,0.254364525994783,0.233350449500803,0.447062307691033,0.390562269664303
"Sirac",0.839770960894909,0.526318804741902,0.369185908022739,0.15248249469601,0.331190671922733,0.221071761503224,0.228670114116303,0,0.159664053454783,0.0664918320947385,0.149811223119504,0.257202629626923,0.484114173887557,0.221014299896967,0.349038205287999,0.387394827195357,0.0396719709659308,0.125413387460201,0.0895018114269631
"Rouies",0.88387780366434,0.656710786861835,0.55116717992766,0.410013976795752,0.119863194605408,0.0440191949938833,0.0995374893699909,0.159664053454783,0,0.260644519554831,0.047048007224907,0.0985997764980137,0.491140552358407,0.0399445498512337,0.545183882969373,0.365471614542466,0.14211872109851,0.398990352601854,0.347112174249407
"Olan",0.818641730472084,0.463854976852359,0.220063774245893,0.0853006686726201,0.417915364184012,0.327421371367076,0.281179434625904,0.0664918320947385,0.260644519554831,0,0.335006798407284,0.344993188248525,0.690268867206463,0.275602651770164,0.296967113719684,0.611867161139369,0.103458040795166,0.0637603540636649,0.0174497767560764
"Pelvoux",0.906416015549772,0.723339952239713,0.304996825244497,0.356139584300998,0.000355995977195822,0.035725771366797,0.0158342544961932,0.149811223119504,0.047048007224907,0.335006798407284,0,0.0100044823963154,0.170097979215136,0.0330945564721419,0.474487612307796,0.085795363197912,0.0967279604563526,0.331333351416154,0.196466932611209
