"","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"Ecrins NP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Summits",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Persistent",0,0,0,0.298300225592465,0,0.00709851070179792,0.0605100990326718,0.0231703206428821,0,0.205096753659495,0.469183889026586,0.0536394140043,0.0136747272233688,0.0140809961274333,0.246291510487231,0.0109069729414175,0,0.286114082203722,0.00705663101844865
"Under Ice",0,0,0.298300225592465,0,0.17200862273476,0.0738531777861262,0.10458481062248,0.303904422709214,0.0793983318974627,0.33246912460339,0.313504011379503,0,0.0619317676911507,0,0.206859448473161,0.0541803224873968,0.262334778631572,0.116669977543423,0.360926979877659
"Plat de la Selle",0,0,0,0.17200862273476,0,0.387856893663986,0.464397168256779,0.164420858209146,0.300262397232451,0.11195475521817,0.712170501331686,0.512275387539927,0.441391991528256,0.515795999512093,0.0386909582095977,0.420760662629527,0.289358033328143,0.18725204813477,0.185991670121966
"Barre des Ecrins",0,0,0.00709851070179792,0.0738531777861262,0.387856893663986,0,0.317638507369342,0.254094761176543,0.271592944694532,0.150405576181849,0.628021413091194,0.333368091745155,0.0277425547759919,0.337597140635109,0.005132887336018,0.0720233169299164,0.214308540592602,0.0902624305207005,0.0725829785975288
"La Meije",0,0,0.0605100990326718,0.10458481062248,0.464397168256779,0.317638507369342,0,0.311277204331597,0.178400699469619,0.303514129385159,0.676328111413773,0.414713580738265,0.0568026799535642,0.398280013872468,0.0640564631458967,0.124393282516775,0.194213221534497,0.0997790523664264,0.124553963635875
"Sirac",0,0,0.0231703206428821,0.303904422709214,0.164420858209146,0.254094761176543,0.311277204331597,0,0.335310576014385,0.329738415965752,0.558347140865318,0.278536236442208,0.223686070738444,0.270131169047541,0.121888841538413,0.264457507209087,0.426728669059305,0.340576386256512,0.293851482935505
"Rouies",0,0,0,0.0793983318974627,0.300262397232451,0.271592944694532,0.178400699469619,0.335310576014385,0,0.218497254390316,0.661131724657294,0.296076797286477,0.042726618430803,0.397676553467784,0.0420587829603113,0.0588040454676501,0.238781396494209,0.0655556995507199,0.068175983205186
"Olan",0,0,0.205096753659495,0.33246912460339,0.11195475521817,0.150405576181849,0.303514129385159,0.329738415965752,0.218497254390316,0,0.255499864581874,0.207593147185345,0.00175651778188198,0.269520567036828,0.0871761060522105,0.00139930059164283,0.366272564092947,0.355641535934974,0.355082236172732
"Pelvoux",0,0,0.469183889026586,0.313504011379503,0.712170501331686,0.628021413091194,0.676328111413773,0.558347140865318,0.661131724657294,0.255499864581874,0,0.637589476667681,0.494445871012613,0.623030225789686,0.243401953158724,0.557089068890045,0.649432141647051,0.33592166368543,0.53604868185921
"Occidentale Ailefroide",0,0,0.0536394140043,0,0.512275387539927,0.333368091745155,0.414713580738265,0.278536236442208,0.296076797286477,0.207593147185345,0.637589476667681,0,0.275889803618083,0.419854493817843,0.0597919003192881,0.333770216240528,0.282484868471606,0.170251281370553,0.152006582870046
"Brevoort",0,0,0.0136747272233688,0.0619317676911507,0.441391991528256,0.0277425547759919,0.0568026799535642,0.223686070738444,0.042726618430803,0.00175651778188198,0.494445871012613,0.275889803618083,0,0.197804883144552,0,0,0.0673016208079345,0.0518630212862809,0.0136747272233688
"Burlan",0,0,0.0140809961274333,0,0.515795999512093,0.337597140635109,0.398280013872468,0.270131169047541,0.397676553467784,0.269520567036828,0.623030225789686,0.419854493817843,0.197804883144552,0,0.0589446832999288,0.230321663120023,0.204251283851389,0.18851691148397,0.122251523366172
"Rocher de la Selle",0,0,0.246291510487231,0.206859448473161,0.0386909582095977,0.005132887336018,0.0640564631458967,0.121888841538413,0.0420587829603113,0.0871761060522105,0.243401953158724,0.0597919003192881,0,0.0589446832999288,0,0.00477313534312716,0.0958723088068618,0.218920064436286,0.115027442459625
"Choisy",0,0,0.0109069729414175,0.0541803224873968,0.420760662629527,0.0720233169299164,0.124393282516775,0.264457507209087,0.0588040454676501,0.00139930059164283,0.557089068890045,0.333770216240528,0,0.230321663120023,0.00477313534312716,0,0.136951222974783,0.0605252739088451,0.0367732331333847
"Muraillette",0,0,0,0.262334778631572,0.289358033328143,0.214308540592602,0.194213221534497,0.426728669059305,0.238781396494209,0.366272564092947,0.649432141647051,0.282484868471606,0.0673016208079345,0.204251283851389,0.0958723088068618,0.136951222974783,0,0.347581986537328,0.16428643032741
"Rateau",0,0,0.286114082203722,0.116669977543423,0.18725204813477,0.0902624305207005,0.0997790523664264,0.340576386256512,0.0655556995507199,0.355641535934974,0.33592166368543,0.170251281370553,0.0518630212862809,0.18851691148397,0.218920064436286,0.0605252739088451,0.347581986537328,0,0.39552258761507
"Lauvitel",0,0,0.00705663101844865,0.360926979877659,0.185991670121966,0.0725829785975288,0.124553963635875,0.293851482935505,0.068175983205186,0.355082236172732,0.53604868185921,0.152006582870046,0.0136747272233688,0.122251523366172,0.115027442459625,0.0367732331333847,0.16428643032741,0.39552258761507,0
