"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.916037959089338,0.188191764008929,0.698882287037619,0.312596658566316,0.134692903374729,0.635913403168084,0.0109516587350167,0.778863870903296,0.156638729394483,0.606523509696989,0.804308335349892,0.664216970225763,0.349761799379841,0.823713606332758,0.732622612361862
"Ecrins NP",0.916037959089338,0,0.86218616483935,0.721165387168201,0.782238432827704,0.882303545097933,0.769389915362843,0.923892596563345,0.620315136863296,0.849702972844792,0.684176772103968,0.570947280453746,0.749951505985534,0.722594330736285,0.523717972986905,0.685979275763234
"La Meije",0.188191764008929,0.86218616483935,0,0.50575061768324,0.367134260878966,0.0666299187073483,0.152237197719522,0.175594931835186,0.637030999808306,0.02307497125606,0.563636164196202,0.678795101668636,0.448851568957352,0.474119614911019,0.710646576304966,0.561131401452534
"Lauvitel",0.698882287037619,0.721165387168201,0.50575061768324,0,0.138578476971507,0.439758858878635,0.100186643869698,0.683229855721541,0.243749634544881,0.311167940448221,0.0880494056015141,0.291225488446019,0.101804050390726,0.00285510513352061,0.414559867857174,0.0928815674288689
"Muraillette",0.312596658566316,0.782238432827704,0.367134260878966,0.138578476971507,0,0.444373788368292,0.0171257881716627,0.291568488576743,0.426467609550472,0.180882458584488,0.223766551501294,0.439029574794259,0.0692429407539728,0.130966103307134,0.542788610903622,0.227852599316593
"Occidentale Ailefroide",0.134692903374729,0.882303545097933,0.0666299187073483,0.439758858878635,0.444373788368292,0,0.456492379242189,0.14365781066203,0.690015414547379,0.15974561776864,0.607998253863356,0.708948220771551,0.41097413476093,0.557601030769589,0.752884954235675,0.625195263184841
"Olan",0.635913403168084,0.769389915362843,0.152237197719522,0.100186643869698,0.0171257881716627,0.456492379242189,0,0.628617707554634,0.392627657758044,0.348263423120952,0.164446704446335,0.453364647748943,0.0443222140416354,0.0849622495080452,0.515811910679518,0.175809919407858
"Pelvoux",0.0109516587350167,0.923892596563345,0.175594931835186,0.683229855721541,0.291568488576743,0.14365781066203,0.628617707554634,0,0.799551125615316,0.196288837210511,0.759018980511118,0.822615263883788,0.653144120497736,0.557793005781096,0.840205174413263,0.757635730502705
"Persistent",0.778863870903296,0.620315136863296,0.637030999808306,0.243749634544881,0.426467609550472,0.690015414547379,0.392627657758044,0.799551125615316,0,0.604153228776218,0.137105813933306,0.0873365211130877,0.341431491503952,0.225279995817267,0.202815051582316,0.140857401493308
"Plat de la Selle",0.156638729394483,0.849702972844792,0.02307497125606,0.311167940448221,0.180882458584488,0.15974561776864,0.348263423120952,0.196288837210511,0.604153228776218,0,0.421014261956676,0.649700327469885,0.266910723789558,0.353397827703078,0.684436912100662,0.418722679625643
"Rateau",0.606523509696989,0.684176772103968,0.563636164196202,0.0880494056015141,0.223766551501294,0.607998253863356,0.164446704446335,0.759018980511118,0.137105813933306,0.421014261956676,0,0.197763977990236,0.184625511723193,0.0696253027809422,0.336898707102906,0.0051330065136915
"Rocher de la Selle",0.804308335349892,0.570947280453746,0.678795101668636,0.291225488446019,0.439029574794259,0.708948220771551,0.453364647748943,0.822615263883788,0.0873365211130877,0.649700327469885,0.197763977990236,0,0.371737185843995,0.314153929881951,0.0991624810262742,0.222080543782622
"Rouies",0.664216970225763,0.749951505985534,0.448851568957352,0.101804050390726,0.0692429407539728,0.41097413476093,0.0443222140416354,0.653144120497736,0.341431491503952,0.266910723789558,0.184625511723193,0.371737185843995,0,0.0656801178817031,0.474999097525067,0.203719771609934
"Sirac",0.349761799379841,0.722594330736285,0.474119614911019,0.00285510513352061,0.130966103307134,0.557601030769589,0.0849622495080452,0.557793005781096,0.225279995817267,0.353397827703078,0.0696253027809422,0.314153929881951,0.0656801178817031,0,0.417560072540616,0.0692968127441925
"Summits",0.823713606332758,0.523717972986905,0.710646576304966,0.414559867857174,0.542788610903622,0.752884954235675,0.515811910679518,0.840205174413263,0.202815051582316,0.684436912100662,0.336898707102906,0.0991624810262742,0.474999097525067,0.417560072540616,0,0.340683237185997
"Under Ice",0.732622612361862,0.685979275763234,0.561131401452534,0.0928815674288689,0.227852599316593,0.625195263184841,0.175809919407858,0.757635730502705,0.140857401493308,0.418722679625643,0.0051330065136915,0.222080543782622,0.203719771609934,0.0692968127441925,0.340683237185997,0
