"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,NA,0.548058276912504,NA,NA,0.412704552316982,NA,NA,NA,0.391064709163545,-1.23118922599936,NA,-1.47765480640396,-1.11718113050798,NA,NA
"Ecrins NP",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Meije",0.548058276912504,NA,0,0.659801036632829,0.0998061171652489,0.233069248513323,0.776739287970553,NA,NA,NA,-0.156718473113183,NA,0.00943743549001929,0.964620208592726,NA,-0.85400083615702
"Lauvitel",NA,NA,0.659801036632829,0,0.374909214966844,0.285118856090359,NA,NA,NA,NA,0.839423044641847,1.19957014003723,0.329596673008393,NA,NA,0.83089981717554
"Muraillette",NA,NA,0.0998061171652489,0.374909214966844,0,0.45848263929438,NA,NA,NA,NA,0.8003833682086,NA,-0.186000909386336,-0.352567786243623,NA,1.23737970016533
"Occidentale Ailefroide",0.412704552316982,NA,0.233069248513323,0.285118856090359,0.45848263929438,0,0.725490395841277,NA,NA,0.0636299981032749,0.469488445720129,0.316205278087829,0.464471861036811,0.415801677326802,NA,NA
"Olan",NA,NA,0.776739287970553,NA,NA,0.725490395841277,0,NA,NA,0.421594865484305,0.611697765423914,NA,-0.26440963013978,0.578058620558408,NA,1.88684580288695
"Pelvoux",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Persistent",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.595151082205459,-1.29836096430923,NA,NA,NA,0.653380546079284
"Plat de la Selle",0.391064709163545,NA,NA,NA,NA,0.0636299981032749,0.421594865484305,NA,NA,0,0.55781271356883,NA,0.0672358639216024,NA,NA,NA
"Rateau",-1.23118922599936,NA,-0.156718473113183,0.839423044641847,0.8003833682086,0.469488445720129,0.611697765423914,NA,0.595151082205459,0.55781271356883,0,1.53917670063996,-0.840481788574248,0.601854515310737,NA,0.434613267815271
"Rocher de la Selle",NA,NA,NA,1.19957014003723,NA,0.316205278087829,NA,NA,-1.29836096430923,NA,1.53917670063996,0,0.359496282556674,1.77496843848077,NA,1.45066435537178
"Rouies",-1.47765480640396,NA,0.00943743549001929,0.329596673008393,-0.186000909386336,0.464471861036811,-0.26440963013978,NA,NA,0.0672358639216024,-0.840481788574248,0.359496282556674,0,-0.276840334096697,NA,-1.11570997892682
"Sirac",-1.11718113050798,NA,0.964620208592726,NA,-0.352567786243623,0.415801677326802,0.578058620558408,NA,NA,NA,0.601854515310737,1.77496843848077,-0.276840334096697,0,NA,-1.10711606615926
"Summits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Under Ice",NA,NA,-0.85400083615702,0.83089981717554,1.23737970016533,NA,1.88684580288695,NA,0.653380546079284,NA,0.434613267815271,1.45066435537178,-1.11570997892682,-1.10711606615926,NA,0
