"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.919116878435987,0.247788303474231,0.764127581784863,0.672635248336248,0.247944814103281,0.578984710194237,0.295820021668933,0.803678623876162,0.00152224803065348,0.525193313328478,0.755055609497826,0.406783304508272,0.5132256822168,0.814628078678315,0.732671475388211
"Ecrins NP",0.919116878435987,0,0.831270026242147,0.657089530958893,0.752926602045749,0.831167979060317,0.807885548286552,0.943043725209704,0.588006547422567,0.918822458453117,0.775615574516081,0.669789859656758,0.837939336252443,0.783929902159994,0.563671126741723,0.69743924004567
"La Meije",0.247788303474231,0.831270026242147,0,0.361897304617181,0.172926862695167,0.000250286357375895,0.0275680422146561,0.662441275122614,0.590454720330439,0.51889080677875,0.102385428444616,0.489022434070426,0.0179709376949456,0.090778415022261,0.613296336550306,0.394221937186443
"Lauvitel",0.764127581784863,0.657089530958893,0.361897304617181,0,0.217341215263246,0.377805059882496,0.439753320303505,0.833903365652369,0.167679809240031,0.763268990375584,0.192176508868394,0.0300369105307062,0.388568272148322,0.369893551386137,0.214100899442133,0.0628737196132692
"Muraillette",0.672635248336248,0.752926602045749,0.172926862695167,0.217341215263246,0,0.141286978011953,0.222439755537661,0.769476296267064,0.400297756169283,0.671443618701863,0.0177494128133688,0.251769198555117,0.132933998872787,0.0565033962903088,0.433745018730401,0.0911098560317722
"Occidentale Ailefroide",0.247944814103281,0.831167979060317,0.000250286357375895,0.377805059882496,0.141286978011953,0,0.0479818917238244,0.662645305829492,0.590207029059639,0.2802652485057,0.102066910915404,0.362941119580882,0.0260902108159319,0.0952136090476499,0.613062459793381,0.441989698316572
"Olan",0.578984710194237,0.807885548286552,0.0275680422146561,0.439753320303505,0.222439755537661,0.0479818917238244,0,0.703529462347529,0.533695376682374,0.277110965504282,0.036106047862537,0.418205475114265,0.0531368950046042,0.0447690904945423,0.559702638335993,0.173154557864012
"Pelvoux",0.295820021668933,0.943043725209704,0.662441275122614,0.833903365652369,0.769476296267064,0.662645305829492,0.703529462347529,0,0.861754417615191,0.298373987374315,0.746166541338773,0.827515064403862,0.648549663606112,0.736399088260375,0.869464804460508,0.811752605331594
"Persistent",0.803678623876162,0.588006547422567,0.590454720330439,0.167679809240031,0.400297756169283,0.590207029059639,0.533695376682374,0.861754417615191,0,0.802964000910606,0.348136011481745,0.197520451064392,0.606642623241451,0.475549680490623,0.055773115583939,0.214585517375856
"Plat de la Selle",0.00152224803065348,0.918822458453117,0.51889080677875,0.763268990375584,0.671443618701863,0.2802652485057,0.277110965504282,0.298373987374315,0.802964000910606,0,0.31588468568775,0.754163995501464,0.268230762119371,0.624299973210578,0.813953312462016,0.731698381643619
"Rateau",0.525193313328478,0.775615574516081,0.102385428444616,0.192176508868394,0.0177494128133688,0.102066910915404,0.036106047862537,0.746166541338773,0.348136011481745,0.31588468568775,0,0.113256423901175,0.170584311057661,0.0139940043065615,0.485744723221424,0.188402059648644
"Rocher de la Selle",0.755055609497826,0.669789859656758,0.489022434070426,0.0300369105307062,0.251769198555117,0.362941119580882,0.418205475114265,0.827515064403862,0.197520451064392,0.754163995501464,0.113256423901175,0,0.374380802707705,0.221913308464498,0.243208138216011,0.039187874208244
"Rouies",0.406783304508272,0.837939336252443,0.0179709376949456,0.388568272148322,0.132933998872787,0.0260902108159319,0.0531368950046042,0.648549663606112,0.606642623241451,0.268230762119371,0.170584311057661,0.374380802707705,0,0.0961330621586977,0.6285813896812,0.426128052697759
"Sirac",0.5132256822168,0.783929902159994,0.090778415022261,0.369893551386137,0.0565033962903088,0.0952136090476499,0.0447690904945423,0.736399088260375,0.475549680490623,0.624299973210578,0.0139940043065615,0.221913308464498,0.0961330621586977,0,0.504799908778653,0.229059174097047
"Summits",0.814628078678315,0.563671126741723,0.613296336550306,0.214100899442133,0.433745018730401,0.613062459793381,0.559702638335993,0.869464804460508,0.055773115583939,0.813953312462016,0.485744723221424,0.243208138216011,0.6285813896812,0.504799908778653,0,0.306576349864348
"Under Ice",0.732671475388211,0.69743924004567,0.394221937186443,0.0628737196132692,0.0911098560317722,0.441989698316572,0.173154557864012,0.811752605331594,0.214585517375856,0.731698381643619,0.188402059648644,0.039187874208244,0.426128052697759,0.229059174097047,0.306576349864348,0
