"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,-0.0376632840240511,0.581708146889638,-0.992971305814274,0.31420466812718,-0.107943250352041,-0.252799392918814,-1.79255234787168,-1.74069178330502,0.627794190985849,-0.105337527141265,-0.291525438709468,0.76426393243566,0.123828112342602,-1.58976854423031,-1.1306759524801
"Ecrins NP",-0.0376632840240511,0,-0.539971558607368,1.20445261430247,-0.389550736394141,0.0874181771126346,0.290367872061541,0.350756531474929,2.27858888863566,-0.413288738286343,0.124785610652822,0.380037035847715,-0.945468210515532,-1.23378689106602,2.26100867882089,1.33429737114692
"La Meije",0.581708146889638,-0.539971558607368,0,-2.80820539124679,-2.41159243274378,0.315019823990076,-2.54846664302944,-1.16240873914437,-2.1851670017748,0.640247999298108,-0.580068418595017,-0.744811120027395,-2.00367008943201,-0.120221956112847,-2.02677580056744,-1.71610270856701
"Lauvitel",-0.992971305814274,1.20445261430247,-2.80820539124679,0,-1.56954169568388,-1.4667044358679,-3.06294091461417,-0.612484316329329,-0.909434987486367,-1.38550697817377,-2.52660043467191,-1.33663028587169,-2.94661988729505,-2.60037616798748,-0.56043750400374,-3.33235985584212
"Muraillette",0.31420466812718,-0.389550736394141,-2.41159243274378,-1.56954169568388,0,0.877068769229555,-1.06852974018349,-0.668107574494544,-2.32775435240717,0.04668423885274,-2.02095474796079,-1.8634801597399,-0.2091263672464,-1.51665276002211,-2.05651731460215,-3.07791976602923
"Occidentale Ailefroide",-0.107943250352041,0.0874181771126346,0.315019823990076,-1.4667044358679,0.877068769229555,0,-0.472680373179452,-0.987129327562583,-1.7747613690422,0.0893564396295793,-0.0258480215501985,-1.40199957043042,0.235958766098498,-1.1373913067361,-1.56144844468096,-1.22242116565579
"Olan",-0.252799392918814,0.290367872061541,-2.54846664302944,-3.06294091461417,-1.06852974018349,-0.472680373179452,0,-0.642931695162518,-1.78222018288139,-0.520250547874336,-2.56860917780873,-3.08462445658457,-2.08001094491649,-3.1145384125676,-1.43895855523398,-3.58032558237976
"Pelvoux",-1.79255234787168,0.350756531474929,-1.16240873914437,-0.612484316329329,-0.668107574494544,-0.987129327562583,-0.642931695162518,0,0.657093614893717,-1.81472370515479,-0.210417344765799,0.412739552844346,-0.522079584728631,0.743028636329094,-1.25762399974785,-0.506599536162054
"Persistent",-1.74069178330502,2.27858888863566,-2.1851670017748,-0.909434987486367,-2.32775435240717,-1.7747613690422,-1.78222018288139,0.657093614893717,0,-2.17397188806092,-2.73014470230896,-0.644171082243601,-2.89415039603219,-3.26694923918962,0.482548074333925,-2.0956517856887
"Plat de la Selle",0.627794190985849,-0.413288738286343,0.640247999298108,-1.38550697817377,0.04668423885274,0.0893564396295793,-0.520250547874336,-1.81472370515479,-2.17397188806092,0,-0.397535480994795,-0.598512854425325,0.505426501976763,-0.0840481810537878,-2.04016805452771,-1.49251922561594
"Rateau",-0.105337527141265,0.124785610652822,-0.580068418595017,-2.52660043467191,-2.02095474796079,-0.0258480215501985,-2.56860917780873,-0.210417344765799,-2.73014470230896,-0.397535480994795,0,-2.64672212094798,-2.53546867303797,-1.57221911041677,-1.87271034387229,-0.215850658767756
"Rocher de la Selle",-0.291525438709468,0.380037035847715,-0.744811120027395,-1.33663028587169,-1.8634801597399,-1.40199957043042,-3.08462445658457,0.412739552844346,-0.644171082243601,-0.598512854425325,-2.64672212094798,0,-3.1569883283797,-0.375915116703244,-1.85017484550032,-2.29238957317934
"Rouies",0.76426393243566,-0.945468210515532,-2.00367008943201,-2.94661988729505,-0.2091263672464,0.235958766098498,-2.08001094491649,-0.522079584728631,-2.89415039603219,0.505426501976763,-2.53546867303797,-3.1569883283797,0,-3.02435109497799,-2.58273211537225,-3.62781920347984
"Sirac",0.123828112342602,-1.23378689106602,-0.120221956112847,-2.60037616798748,-1.51665276002211,-1.1373913067361,-3.1145384125676,0.743028636329094,-3.26694923918962,-0.0840481810537878,-1.57221911041677,-0.375915116703244,-3.02435109497799,0,-2.97510720937539,-2.51719821130854
"Summits",-1.58976854423031,2.26100867882089,-2.02677580056744,-0.56043750400374,-2.05651731460215,-1.56144844468096,-1.43895855523398,-1.25762399974785,0.482548074333925,-2.04016805452771,-1.87271034387229,-1.85017484550032,-2.58273211537225,-2.97510720937539,0,-0.486906626137141
"Under Ice",-1.1306759524801,1.33429737114692,-1.71610270856701,-3.33235985584212,-3.07791976602923,-1.22242116565579,-3.58032558237976,-0.506599536162054,-2.0956517856887,-1.49251922561594,-0.215850658767756,-2.29238957317934,-3.62781920347984,-2.51719821130854,-0.486906626137141,0
