"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.87549748852143,0.179136935394978,0.422359144983841,0.349652850979623,0.250991856384612,0.376215250718009,0.00910149528922325,0.575068471033602,0.0125398246338291,0.502889796718307,0.547074352464465,0.372280600484517,0.339110628444653,0.640914959045877,0.454248719890058
"Ecrins NP",0.87549748852143,0,0.82588778618722,0.719009704559056,0.757832454772943,0.800384263082703,0.744503433925312,0.879126708730856,0.605058352622319,0.87057494315881,0.665702248192037,0.630324996924947,0.746535869520355,0.706795875413972,0.534501979017491,0.69939283066342
"La Meije",0.179136935394978,0.82588778618722,0,0.259020342441046,0.179068363169996,0.0540206565467961,0.208018993606742,0.112258097482655,0.441403121128826,0.0972209473565317,0.355806054284074,0.407913432284435,0.203711953146524,0.239542812846024,0.521671988914065,0.299481401825644
"Lauvitel",0.422359144983841,0.719009704559056,0.259020342441046,0,0.0756961541770002,0.151650645013394,0.0514990847472468,0.251392473623575,0.201699097657693,0.405202462785835,0.085135740692342,0.136714052054043,0.0562929463595091,0.0183040161058532,0.299677366640163,0.0329916623922351
"Muraillette",0.349652850979623,0.757832454772943,0.179068363169996,0.0756961541770002,0,0.0858385020308299,0.0271409353990088,0.209912238854051,0.28214842585839,0.331351860607437,0.183919981411664,0.241478331065974,0.0230840190040715,0.0963386819613907,0.375385050517813,0.123001114143903
"Occidentale Ailefroide",0.250991856384612,0.800384263082703,0.0540206565467961,0.151650645013394,0.0858385020308299,0,0.118928948250697,0.153472995401476,0.378743506721911,0.154958852144367,0.288285722786021,0.339184145806486,0.115066591190129,0.182811551551036,0.464672359377949,0.229412848542207
"Olan",0.376215250718009,0.744503433925312,0.208018993606742,0.0514990847472468,0.0271409353990088,0.118928948250697,0,0.225077514163582,0.253752441524549,0.358306347679326,0.153220851163939,0.209080594067929,0.00457548135083021,0.0689145710071251,0.348804026538675,0.0923031600136157
"Pelvoux",0.00910149528922325,0.879126708730856,0.112258097482655,0.251392473623575,0.209912238854051,0.153472995401476,0.225077514163582,0,0.366073032475216,0.0210509206918795,0.297226582338632,0.405275195865723,0.222831899918035,0.174766578872774,0.650106502230989,0.269556271962177
"Persistent",0.575068471033602,0.605058352622319,0.441403121128826,0.201699097657693,0.28214842585839,0.378743506721911,0.253752441524549,0.366073032475216,0,0.561047708484056,0.0942849954514496,0.0344200555811782,0.25802834176198,0.177754889954277,0.104281530029555,0.149137716430291
"Plat de la Selle",0.0125398246338291,0.87057494315881,0.0972209473565317,0.405202462785835,0.331351860607437,0.154958852144367,0.358306347679326,0.0210509206918795,0.561047708484056,0,0.487262751079587,0.532404128987832,0.354311733492007,0.330274327341295,0.628554457276645,0.437664735308605
"Rateau",0.502889796718307,0.665702248192037,0.355806054284074,0.085135740692342,0.183919981411664,0.288285722786021,0.153220851163939,0.297226582338632,0.0942849954514496,0.487262751079587,0,0.0596767837314604,0.159044240559822,0.0649775460425421,0.203669936887493,0.0624039888196963
"Rocher de la Selle",0.547074352464465,0.630324996924947,0.407913432284435,0.136714052054043,0.241478331065974,0.339184145806486,0.209080594067929,0.405275195865723,0.0344200555811782,0.532404128987832,0.0596767837314604,0,0.215278290030075,0.116507460680478,0.14450981296444,0.11972632818974
"Rouies",0.372280600484517,0.746535869520355,0.203711953146524,0.0562929463595091,0.0230840190040715,0.115066591190129,0.00457548135083021,0.222831899918035,0.25802834176198,0.354311733492007,0.159044240559822,0.215278290030075,0,0.0735196541980714,0.352816431804054,0.0976381766083367
"Sirac",0.339110628444653,0.706795875413972,0.239542812846024,0.0183040161058532,0.0963386819613907,0.182811551551036,0.0689145710071251,0.174766578872774,0.177754889954277,0.330274327341295,0.0649775460425421,0.116507460680478,0.0735196541980714,0,0.276903582359604,0.0122569788236878
"Summits",0.640914959045877,0.534501979017491,0.521671988914065,0.299677366640163,0.375385050517813,0.464672359377949,0.348804026538675,0.650106502230989,0.104281530029555,0.628554457276645,0.203669936887493,0.14450981296444,0.352816431804054,0.276903582359604,0,0.263331080546951
"Under Ice",0.454248719890058,0.69939283066342,0.299481401825644,0.0329916623922351,0.123001114143903,0.229412848542207,0.0923031600136157,0.269556271962177,0.149137716430291,0.437664735308605,0.0624039888196963,0.11972632818974,0.0976381766083367,0.0122569788236878,0.263331080546951,0
