"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.933616273953679,0.303844159262082,0.593885372022042,0.518137461386212,0.401268569581233,0.546738964739312,0.00894010644591792,0.730213932421905,0.0127876538361391,0.669230435679863,0.707237310983773,0.542572124612232,0.349511575500158,0.781167793629649,0.624719435784547
"Ecrins NP",0.933616273953679,0,0.904642434693998,0.836539436225567,0.862235138184238,0.88912603769625,0.853541952909892,0.935675816480316,0.753939383741139,0.930810012550135,0.799305216661134,0.773250729902124,0.854876080759078,0.828213713889534,0.696645538847361,0.823109075245876
"La Meije",0.303844159262082,0.904642434693998,0,0.400169683399232,0.295163177819679,0.0630794946680855,0.334770852788871,0.102855456831004,0.612463112724696,0.0942354069876365,0.524862760657837,0.579458115720322,0.328997435325007,0.293839329238431,0.685656294805498,0.460924490962167
"Lauvitel",0.593885372022042,0.836539436225567,0.400169683399232,0,0.114503225111421,0.18441307604811,0.0872141436033506,0.211189068259131,0.335689854558162,0.57671755283223,0.116455388040734,0.182647167861923,0.0964465753625155,0.0226227800925458,0.461156552129346,0.0473634981059028
"Muraillette",0.518137461386212,0.862235138184238,0.295163177819679,0.114503225111421,0,0.110137242438245,0.0428042409133255,0.180823738291821,0.44011819562855,0.497767525492856,0.304591397686572,0.381533217815188,0.036536084548201,0.140604183997237,0.545861757587791,0.214647961483483
"Occidentale Ailefroide",0.401268569581233,0.88912603769625,0.0630794946680855,0.18441307604811,0.110137242438245,0,0.165748846799769,0.136940493009142,0.549403866455782,0.156782604996681,0.447549355996245,0.496335658059848,0.16085949189612,0.237897991292867,0.63450690033544,0.373207175790031
"Olan",0.546738964739312,0.853541952909892,0.334770852788871,0.0872141436033506,0.0428042409133255,0.165748846799769,0,0.192102704738664,0.404788749549295,0.527578109741583,0.25641368473177,0.328723416839359,0.0091092833455931,0.101022318671453,0.517204901046718,0.162933769998571
"Pelvoux",0.00894010644591792,0.935675816480316,0.102855456831004,0.211189068259131,0.180823738291821,0.136940493009142,0.192102704738664,0,0.305912330123859,0.0205064632794096,0.243037963847369,0.379011176694092,0.19044567527948,0.120781995170797,0.787957021382593,0.224017021402769
"Persistent",0.730213932421905,0.753939383741139,0.612463112724696,0.335689854558162,0.44011819562855,0.549403866455782,0.404788749549295,0.305912330123859,0,0.718809175959002,0.150960943075816,0.0499159577917813,0.410210697480135,0.30185379227961,0.188867652303782,0.221574217225781
"Plat de la Selle",0.0127876538361391,0.930810012550135,0.0942354069876365,0.57671755283223,0.497767525492856,0.156782604996681,0.527578109741583,0.0205064632794096,0.718809175959002,0,0.655247703508864,0.694861256135469,0.523235123391328,0.347082102604474,0.771917026744991,0.608855075261559
"Rateau",0.669230435679863,0.799305216661134,0.524862760657837,0.116455388040734,0.304591397686572,0.447549355996245,0.25641368473177,0.243037963847369,0.150960943075816,0.655247703508864,0,0.108180792192778,0.269267466415137,0.0910304106039981,0.338414926959383,0.115201605138225
"Rocher de la Selle",0.707237310983773,0.773250729902124,0.579458115720322,0.182647167861923,0.381533217815188,0.496335658059848,0.328723416839359,0.379011176694092,0.0499159577917813,0.694861256135469,0.108180792192778,0,0.342191378157312,0.15861147056936,0.252526996846168,0.201932940617893
"Rouies",0.542572124612232,0.854876080759078,0.328997435325007,0.0964465753625155,0.036536084548201,0.16085949189612,0.0091092833455931,0.19044567527948,0.410210697480135,0.523235123391328,0.269267466415137,0.342191378157312,0,0.108838284948767,0.521602818400947,0.174466957698484
"Sirac",0.349511575500158,0.828213713889534,0.293839329238431,0.0226227800925458,0.140604183997237,0.237897991292867,0.101022318671453,0.120781995170797,0.30185379227961,0.347082102604474,0.0910304106039981,0.15861147056936,0.108838284948767,0,0.433711027496549,0.017941873200902
"Summits",0.781167793629649,0.696645538847361,0.685656294805498,0.461156552129346,0.545861757587791,0.63450690033544,0.517204901046718,0.787957021382593,0.188867652303782,0.771917026744991,0.338414926959383,0.252526996846168,0.521602818400947,0.433711027496549,0,0.41688372050966
"Under Ice",0.624719435784547,0.823109075245876,0.460924490962167,0.0473634981059028,0.214647961483483,0.373207175790031,0.162933769998571,0.224017021402769,0.221574217225781,0.608855075261559,0.115201605138225,0.201932940617893,0.174466957698484,0.017941873200902,0.41688372050966,0
