"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0,0,0,0,0,0,0.5939038435239,0,0.565471857846748,0,0,0,0.378910196024977,0,0
"Ecrins NP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Meije",0,0,0,0.0307615064590401,0.0307615064590396,0.439938422727577,0.0307615064590396,0.5939038435239,0,0.559755438616667,0,0,0.03076150645904,0.279892509392516,0,0
"Lauvitel",0,0,0.0307615064590401,0,0.202456536111018,0.345557965398792,0.115491300306159,0.5939038435239,0,0,0.286735032973298,0.271514557104565,0.100042152577915,0.416422585882506,0,0.281679264439636
"Muraillette",0,0,0.0307615064590396,0.202456536111018,0,0.342064352727379,0.202456536111017,0.5939038435239,0,0,0.0213936839738184,0.0213936839738178,0.202456536111017,0.219756878472479,0,0.0213936839738184
"Occidentale Ailefroide",0,0,0.439938422727577,0.345557965398792,0.342064352727379,0,0.245531327803998,0.5939038435239,0,0.496939002465656,0,0.0231819806781023,0.245531327803998,0.263396202649736,0,0
"Olan",0,0,0.0307615064590396,0.115491300306159,0.202456536111017,0.245531327803998,0,0.5939038435239,0,0,0.0378306188520344,0.0547730973740922,0,0.236490180777093,0,0.0378306188520341
"Pelvoux",0.5939038435239,0,0.5939038435239,0.5939038435239,0.5939038435239,0.5939038435239,0.5939038435239,0,0.545231956482932,0.5939038435239,0.5939038435239,0.429805606050185,0.5939038435239,0.762384991938646,0,0.5939038435239
"Persistent",0,0,0,0,0,0,0,0.545231956482932,0,0,0.133451819475065,0.271803193196436,0,0,0,0.161880275332729
"Plat de la Selle",0.565471857846748,0,0.559755438616667,0,0,0.496939002465656,0,0.5939038435239,0,0,0,0,0,0.366357174391471,0,0
"Rateau",0,0,0,0.286735032973298,0.0213936839738184,0,0.0378306188520344,0.5939038435239,0.133451819475065,0,0,0.0410519116431597,0.0203198582570987,0.279977329859561,0,0.0200462177556456
"Rocher de la Selle",0,0,0,0.271514557104565,0.0213936839738178,0.0231819806781023,0.0547730973740922,0.429805606050185,0.271803193196436,0,0.0410519116431597,0,0.0377218920536766,0.26870796520075,0,0.0596215995232445
"Rouies",0,0,0.03076150645904,0.100042152577915,0.202456536111017,0.245531327803998,0,0.5939038435239,0,0,0.0203198582570987,0.0377218920536766,0,0.224024672071102,0,0.0203198582570987
"Sirac",0.378910196024977,0,0.279892509392516,0.416422585882506,0.219756878472479,0.263396202649736,0.236490180777093,0.762384991938646,0,0.366357174391471,0.279977329859561,0.26870796520075,0.224024672071102,0,0,0.279977329859561
"Summits",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Under Ice",0,0,0,0.281679264439636,0.0213936839738184,0,0.0378306188520341,0.5939038435239,0.161880275332729,0,0.0200462177556456,0.0596215995232445,0.0203198582570987,0.279977329859561,0,0
