"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,-0.774379596708842,-2.80047912438496,-1.72660974267817,-2.33313963677395,-2.1428865358775,-1.01361315070661,-0.597982948265488,-1.70121700074703,-1.32217283998061,-1.80698301301662,-2.19279521427696,-0.539843160953234,-0.880002308584435,-2.24883625134032,-1.5483948017394
"Ecrins NP",-0.774379596708842,0,1.5060616961926,1.63295424773825,1.36196304419676,0.400735771286506,0.619648715078024,-0.724931688904439,1.77396450876181,1.01546558945292,1.81293323887462,2.43877705906994,-0.0512315422256202,-0.147732772895725,2.72909328568896,1.46899824087759
"La Meije",-2.80047912438496,1.5060616961926,0,-0.436507786343493,-2.06338277629349,-1.57674046396905,-0.441339299077338,-1.5391760538538,0.502875601684933,-0.0494926451743005,-0.47377909930917,-0.180742708011604,-1.09247333595549,0.436956519809695,0.0231436543133498,-0.147355725420272
"Lauvitel",-1.72660974267817,1.63295424773825,-0.436507786343493,0,-0.569542224271991,-0.922552931371923,-0.971081641368629,-1.88158693309627,0.280368841693612,0.53091353716879,-0.403315021755829,-0.665082632288187,-1.67733288042134,0.120750297713101,-0.592435685363493,-0.0947600248670437
"Muraillette",-2.33313963677395,1.36196304419676,-2.06338277629349,-0.569542224271991,0,-1.01847280364613,-1.04220093144837,-0.816343342911187,0.161235751343174,-1.36270393024076,-0.279790346951247,-0.763918384375075,-2.78637149348467,-0.11086170418622,-0.468461304418442,-0.389149506335298
"Occidentale Ailefroide",-2.1428865358775,0.400735771286506,-1.57674046396905,-0.922552931371923,-1.01847280364613,0,-0.916487461472164,-0.481029301289956,-0.749117708407637,-1.86528604899447,-0.664792263491702,-1.26004301896453,-2.94126260742453,-0.679305859394095,-1.28496348446993,-0.694920379705758
"Olan",-1.01361315070661,0.619648715078024,-0.441339299077338,-0.971081641368629,-1.04220093144837,-0.916487461472164,0,-1.19703131597388,-0.715870678217644,0.0107228117886424,-0.981230766813251,-1.3332257866357,-1.29985760559754,-0.402859665574051,-1.33992550574986,-0.640895219367386
"Pelvoux",-0.597982948265488,-0.724931688904439,-1.5391760538538,-1.88158693309627,-0.816343342911187,-0.481029301289956,-1.19703131597388,0,-1.76249983609154,-0.0904568175843212,-1.95671288597147,-2.26570328068713,0.182686335475491,-0.516054892810734,-2.32655231455674,-1.68011698834249
"Persistent",-1.70121700074703,1.77396450876181,0.502875601684933,0.280368841693612,0.161235751343174,-0.749117708407637,-0.715870678217644,-1.76249983609154,0,-0.291055126322322,-0.697992524688935,-0.937358915037001,-1.21243814079758,-2.09980902255178,-1.43216802623461,-1.15496755321593
"Plat de la Selle",-1.32217283998061,1.01546558945292,-0.0494926451743005,0.53091353716879,-1.36270393024076,-1.86528604899447,0.0107228117886424,-0.0904568175843212,-0.291055126322322,0,-0.962091859552831,-0.922981416231911,-1.53452905584623,-0.0196199071686429,-0.910372082565253,-0.695214799160008
"Rateau",-1.80698301301662,1.81293323887462,-0.47377909930917,-0.403315021755829,-0.279790346951247,-0.664792263491702,-0.981230766813251,-1.95671288597147,-0.697992524688935,-0.962091859552831,0,-1.64722877460209,-1.37320596287521,-1.43796211667669,-0.603253969182137,-0.219763305455319
"Rocher de la Selle",-2.19279521427696,2.43877705906994,-0.180742708011604,-0.665082632288187,-0.763918384375075,-1.26004301896453,-1.3332257866357,-2.26570328068713,-0.937358915037001,-0.922981416231911,-1.64722877460209,0,-1.78309235936981,-1.30056586805831,-0.0285269672211467,-1.5147456140199
"Rouies",-0.539843160953234,-0.0512315422256202,-1.09247333595549,-1.67733288042134,-2.78637149348467,-2.94126260742453,-1.29985760559754,0.182686335475491,-1.21243814079758,-1.53452905584623,-1.37320596287521,-1.78309235936981,0,-0.285268545998021,-1.78724776059202,-1.102453358958
"Sirac",-0.880002308584435,-0.147732772895725,0.436956519809695,0.120750297713101,-0.11086170418622,-0.679305859394095,-0.402859665574051,-0.516054892810734,-2.09980902255178,-0.0196199071686429,-1.43796211667669,-1.30056586805831,-0.285268545998021,0,-2.74163221919773,-1.14339469697567
"Summits",-2.24883625134032,2.72909328568896,0.0231436543133498,-0.592435685363493,-0.468461304418442,-1.28496348446993,-1.33992550574986,-2.32655231455674,-1.43216802623461,-0.910372082565253,-0.603253969182137,-0.0285269672211467,-1.78724776059202,-2.74163221919773,0,-1.04845700923467
"Under Ice",-1.5483948017394,1.46899824087759,-0.147355725420272,-0.0947600248670437,-0.389149506335298,-0.694920379705758,-0.640895219367386,-1.68011698834249,-1.15496755321593,-0.695214799160008,-0.219763305455319,-1.5147456140199,-1.102453358958,-1.14339469697567,-1.04845700923467,0
