"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,NA,-1.38758705323312,NA,-1.43767566647943,-1.8113157347728,NA,-0.468745121369743,NA,NA,NA,NA,NA,-0.706533968097985,NA,NA
"Ecrins NP",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Meije",-1.38758705323312,NA,0,-1.12423560722559,-2.44921467160204,-1.74086212402635,-1.27571203035981,-0.496065658078565,NA,-0.786923364889246,-1.25421652569668,-0.455975705200114,-0.791000266171893,-1.03233379778782,NA,-1.03293018368859
"Lauvitel",NA,NA,-1.12423560722559,0,-0.780240686038254,NA,NA,NA,NA,1.21234072152495,-0.202243333040674,NA,-0.709787451834872,0.956267025808446,NA,-0.230278656599911
"Muraillette",-1.43767566647943,NA,-2.44921467160204,-0.780240686038254,0,NA,-0.265126740360437,0.131559114095551,NA,-0.957955818933006,-0.15804823152682,-0.618213912415046,-1.76857831914088,-1.13872113927452,NA,-0.566299883876822
"Occidentale Ailefroide",-1.8113157347728,NA,-1.74086212402635,NA,NA,0,-0.755203158348294,-0.0367371006798118,NA,-1.42689646198701,0.437011599758995,NA,-2.24587104443371,-1.25399850634299,NA,NA
"Olan",NA,NA,-1.27571203035981,NA,-0.265126740360437,-0.755203158348294,0,NA,NA,0.601477249789735,NA,NA,-0.969299821212926,-1.4171663597605,NA,NA
"Pelvoux",-0.468745121369743,NA,-0.496065658078565,NA,0.131559114095551,-0.0367371006798118,NA,0,NA,1.21082230366524,NA,NA,0.527270130235683,NA,NA,NA
"Persistent",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-1.01418112052611,-0.93344105782925,NA,NA,NA,-1.04898873075134
"Plat de la Selle",NA,NA,-0.786923364889246,1.21234072152495,-0.957955818933006,-1.42689646198701,0.601477249789735,1.21082230366524,NA,0,-0.669644133817134,NA,-0.870111561970273,-1.22868217758373,NA,-0.692120898904627
"Rateau",NA,NA,-1.25421652569668,-0.202243333040674,-0.15804823152682,0.437011599758995,NA,NA,-1.01418112052611,-0.669644133817134,0,-1.03267739634556,NA,0.507418442600883,NA,0.646155541338008
"Rocher de la Selle",NA,NA,-0.455975705200114,NA,-0.618213912415046,NA,NA,NA,-0.93344105782925,NA,-1.03267739634556,0,NA,2.26825311772485,NA,-0.548417873382213
"Rouies",NA,NA,-0.791000266171893,-0.709787451834872,-1.76857831914088,-2.24587104443371,-0.969299821212926,0.527270130235683,NA,-0.870111561970273,NA,NA,0,-0.598714997951537,NA,NA
"Sirac",-0.706533968097985,NA,-1.03233379778782,0.956267025808446,-1.13872113927452,-1.25399850634299,-1.4171663597605,NA,NA,-1.22868217758373,0.507418442600883,2.26825311772485,-0.598714997951537,0,NA,0.476764921833668
"Summits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Under Ice",NA,NA,-1.03293018368859,-0.230278656599911,-0.566299883876822,NA,NA,NA,-1.04898873075134,-0.692120898904627,0.646155541338008,-0.548417873382213,NA,0.476764921833668,NA,0
