"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.921623074518788,0.134792109815492,0.416659353434766,0.551893935397273,1.66533453693773e-16,0.370630152398131,NA,0.794127892506788,0.314932830284303,0.681635746394369,0.591565839160729,0.18879960731446,0.486952107380294,0.82775542001103,0.676220419903595
"Ecrins NP",0.921623074518788,0,0.894858516100443,0.865641240769518,0.798051486869462,0.921623074518788,0.875467619270519,NA,0.619293130888089,0.878857654045498,0.684899722271318,0.773025978552117,0.87945685941763,0.847232730884038,0.54496724665455,0.692060430098682
"La Meije",0.134792109815492,0.894858516100443,0,0.217457168392011,0.448208386207937,0.254557548796952,0.0955376070094491,NA,0.7238256190522,0.0807518936216027,0.666323734598262,0.536768643262112,0.127768835359728,0.31175385599289,0.768936448801662,0.658564555593649
"Lauvitel",0.416659353434766,0.865641240769518,0.217457168392011,0,0.256607561078482,0.416659353434766,0.0470214994313128,NA,0.647080811691407,0.0622571679565452,0.539549269998807,0.353404348602097,0.0713484939160774,0.117636916098791,0.704727278986707,0.511563838389253
"Muraillette",0.551893935397273,0.798051486869462,0.448208386207937,0.256607561078482,0,0.611896496457247,0.309834917754681,NA,0.469543290349263,0.371975071515613,0.151360101520806,0.0427333400342465,0.379481417797072,0.18133789626342,0.556189061895455,0.266268975785069
"Occidentale Ailefroide",1.66533453693773e-16,0.921623074518788,0.254557548796952,0.416659353434766,0.611896496457247,0,0.200889030856815,NA,0.794127892506788,0.190659654583664,0.751263546810649,0.654687681959195,0.349801862614866,0.486952107380294,0.82775542001103,0.745479525394127
"Olan",0.370630152398131,0.875467619270519,0.0955376070094491,0.0470214994313128,0.309834917754681,0.200889030856815,0,NA,0.67289168955637,0.0250655878856004,0.560148931223093,0.421125101904819,0.0205729579538467,0.184822891381581,0.726322160736989,0.40932944517057
"Pelvoux",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Persistent",0.794127892506788,0.619293130888089,0.7238256190522,0.647080811691407,0.469543290349263,0.794127892506788,0.67289168955637,NA,0,0.681796269562735,0.166206329019161,0.175089495379654,0.683370198012014,0.598727310929989,0.163341833498988,0.184237289159326
"Plat de la Selle",0.314932830284303,0.878857654045498,0.0807518936216027,0.0622571679565452,0.371975071515613,0.190659654583664,0.0250655878856004,NA,0.681796269562735,0,0.56923225735728,0.434512541765917,0.00316530181339375,0.19154897472997,0.733772250318576,0.413290105286474
"Rateau",0.681635746394369,0.684899722271318,0.666323734598262,0.539549269998807,0.151360101520806,0.751263546810649,0.560148931223093,NA,0.166206329019161,0.56923225735728,0,0.119640660597337,0.61744514650614,0.482834369221504,0.307521765384952,0.0125912747575767
"Rocher de la Selle",0.591565839160729,0.773025978552117,0.536768643262112,0.353404348602097,0.0427333400342465,0.654687681959195,0.421125101904819,NA,0.175089495379654,0.434512541765917,0.119640660597337,0,0.468912169712562,0.284759570308319,0.501191903705513,0.0904814117371558
"Rouies",0.18879960731446,0.87945685941763,0.127768835359728,0.0713484939160774,0.379481417797072,0.349801862614866,0.0205729579538467,NA,0.683370198012014,0.00316530181339375,0.61744514650614,0.468912169712562,0,0.21093607760397,0.735089090409153,0.448241167614401
"Sirac",0.486952107380294,0.847232730884038,0.31175385599289,0.117636916098791,0.18133789626342,0.486952107380294,0.184822891381581,NA,0.598727310929989,0.19154897472997,0.482834369221504,0.284759570308319,0.21093607760397,0,0.664271927695753,0.362231496902941
"Summits",0.82775542001103,0.54496724665455,0.768936448801662,0.704727278986707,0.556189061895455,0.82775542001103,0.726322160736989,NA,0.163341833498988,0.733772250318576,0.307521765384952,0.501191903705513,0.735089090409153,0.664271927695753,0,0.323258451974473
"Under Ice",0.676220419903595,0.692060430098682,0.658564555593649,0.511563838389253,0.266268975785069,0.745479525394127,0.40932944517057,NA,0.184237289159326,0.413290105286474,0.0125912747575767,0.0904814117371558,0.448241167614401,0.362231496902941,0.323258451974473,0
