"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0,0.378381668495421,0,0.0829194482922347,0.378381668495422,0,NA,0,0.0829194482922353,0.0829194482922359,0.0829194482922347,0.378381668495421,0,0,0.0829194482922347
"Ecrins NP",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"La Meije",0.378381668495421,0,0,0,0.0520006724088167,0,0.296333149609957,NA,0,0.296333149609958,0,0,0,0,0,0
"Lauvitel",0,0,0,0,0.182173682163019,0,0.265747272905025,NA,0,0.275807047213802,0.0492393098813879,0.105386936510508,0.226586923407886,0.0165838972756039,0,0.0766780861377131
"Muraillette",0.0829194482922347,0,0.0520006724088167,0.182173682163019,0,0,0.151045648889434,NA,0,0.0546919538587284,0.490676647750364,0.498065000510011,0.0455077854073459,0.194655391973212,0,0.177108102526841
"Occidentale Ailefroide",0.378381668495422,0,0,0,0,0,0.378381668495421,NA,0,0.378381668495421,0,0,0,0,0,0
"Olan",0,0,0.296333149609957,0.265747272905025,0.151045648889434,0.378381668495421,0,NA,0,0.0542472836019693,0.0620788956737704,0.0530014324112355,0.263458560848298,0,0,0.269461579235097
"Pelvoux",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Persistent",0,0,0,0,0,0,0,NA,0,0,0.0252985286949268,0.483897460188603,0,0,0,0.0258791987743115
"Plat de la Selle",0.0829194482922353,0,0.296333149609958,0.275807047213802,0.0546919538587284,0.378381668495421,0.0542472836019693,NA,0,0,0.0635656441740354,0.0542472836019689,0.263458560848299,0.0542472836019693,0,0.275807047213802
"Rateau",0.0829194482922359,0,0,0.0492393098813879,0.490676647750364,0,0.0620788956737704,NA,0.0252985286949268,0.0635656441740354,0,0.475979996724131,0,0.0509137541068076,0,0.336428528288779
"Rocher de la Selle",0.0829194482922347,0,0,0.105386936510508,0.498065000510011,0,0.0530014324112355,NA,0.483897460188603,0.0542472836019689,0.475979996724131,0,0,0.0986110114353559,0,0.557771064058175
"Rouies",0.378381668495421,0,0,0.226586923407886,0.0455077854073459,0,0.263458560848298,NA,0,0.263458560848299,0,0,0,0,0,0.226586923407886
"Sirac",0,0,0,0.0165838972756039,0.194655391973212,0,0,NA,0,0.0542472836019693,0.0509137541068076,0.0986110114353559,0,0,0,0.233917372277504
"Summits",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"Under Ice",0.0829194482922347,0,0,0.0766780861377131,0.177108102526841,0,0.269461579235097,NA,0.0258791987743115,0.275807047213802,0.336428528288779,0.557771064058175,0.226586923407886,0.233917372277504,0,0
