"","clade","total.pairwise","metric","sig.high","sig.low","PD.sig.high","PD.sig.low","Turn.sig.high","Turn.sig.low"
"1","Spermatophyta","105","PhyloSor","0","24","8","16","7","8"
"2","Spermatophyta","105","UniFrac","0","24","10","14","7","8"
"3","Asterales","66","PhyloSor","3","0","5","0","2","1"
"4","Asterales","66","UniFrac","1","1","7","0","2","6"
"5","Caryophyllales","66","PhyloSor","1","1","1","1","0","0"
"6","Caryophyllales","66","UniFrac","0","2","0","2","0","0"
"7","Lamiales","66","PhyloSor","0","17","0","1","0","11"
"8","Lamiales","66","UniFrac","0","17","3","1","0","12"
"9","Poales","66","PhyloSor","0","6","0","3","1","2"
"10","Poales","66","UniFrac","0","8","0","3","1","2"
"11","Rosales","55","PhyloSor","1","13","5","10","2","1"
"12","Rosales","55","UniFrac","1","15","5","9","0","1"
