"","desc","value"
"1","Root_state","0,1"
"2","mu","8.87633748110242"
"3","gamma_0","3.32841321727025"
"4","loglik.obs","-83.1031500632623"
"5","df","2"
"6","conv","0"
"7","n.obs","39"
"8","mntd.obs","21.0016260769231"
"9","mpd.obs","105.047997673414"
"10","runs","1000"
"11","mntd.mean.RD","23.8213666915128"
"12","mntd.sd.RD","2.86077484002028"
"13","mntd.obs.z.RD","0.985656254782272"
"14","mntd.obs.rank.RD","182"
"15","mntd.obs.q.RD","0.181818181818182"
"16","mpd.mean.RD","104.513618903169"
"17","mpd.sd.RD","6.1427609233706"
"18","mpd.obs.z.RD","-0.086993255461488"
"19","mpd.obs.rank.RD","517"
"20","mpd.obs.q.RD","0.516483516483517"
"21","n.mean.DAMOCLES","38.817"
"22","mntd.mean.DAMOCLES","24.1418228391579"
"23","mntd.sd.DAMOCLES","3.36106045874736"
"24","mntd.obs.z.DAMOCLES","0.934287496692388"
"25","mntd.obs.rank.DAMOCLES","171"
"26","mntd.obs.q.DAMOCLES","0.170829170829171"
"27","mpd.mean.DAMOCLES","104.329572509669"
"28","mpd.sd.DAMOCLES","5.70836952205399"
"29","mpd.obs.z.DAMOCLES","-0.125854705265632"
"30","mpd.obs.rank.DAMOCLES","539"
"31","mpd.obs.q.DAMOCLES","0.538461538461538"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
