"","desc","value"
"1","Root_state","0,1"
"2","mu","1.6046122155568"
"3","gamma_0","0.397666316927686"
"4","loglik.obs","-52.5870316177242"
"5","df","2"
"6","conv","0"
"7","n.obs","21"
"8","mntd.obs","24.5402206666667"
"9","mpd.obs","69.2579570857143"
"10","runs","1000"
"11","mntd.mean.RD","32.5433072683333"
"12","mntd.sd.RD","4.94441830558555"
"13","mntd.obs.z.RD","1.61861034140777"
"14","mntd.obs.rank.RD","49"
"15","mntd.obs.q.RD","0.048951048951049"
"16","mpd.mean.RD","73.269918798619"
"17","mpd.sd.RD","2.54424025601903"
"18","mpd.obs.z.RD","1.5768800542376"
"19","mpd.obs.rank.RD","41"
"20","mpd.obs.q.RD","0.040959040959041"
"21","n.mean.DAMOCLES","21.265"
"22","mntd.mean.DAMOCLES","33.3207314750165"
"23","mntd.sd.DAMOCLES","5.7407268678181"
"24","mntd.obs.z.DAMOCLES","1.52951203053613"
"25","mntd.obs.rank.DAMOCLES","56"
"26","mntd.obs.q.DAMOCLES","0.0559440559440559"
"27","mpd.mean.DAMOCLES","73.3994949197922"
"28","mpd.sd.DAMOCLES","2.63517953006744"
"29","mpd.obs.z.DAMOCLES","1.57163403359159"
"30","mpd.obs.rank.DAMOCLES","36"
"31","mpd.obs.q.DAMOCLES","0.035964035964036"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
