"","desc","value"
"1","Root_state","0,1"
"2","mu","2.86399302842774"
"3","gamma_0","0.480770437124604"
"4","loglik.obs","-10.780128292115"
"5","df","2"
"6","conv","0"
"7","n.obs","4"
"8","mntd.obs","89.342366"
"9","mpd.obs","95.4487376666667"
"10","runs","1000"
"11","mntd.mean.RD","76.848727952"
"12","mntd.sd.RD","26.1063042226459"
"13","mntd.obs.z.RD","-0.47856785630968"
"14","mntd.obs.rank.RD","638.5"
"15","mntd.obs.q.RD","0.637862137862138"
"16","mpd.mean.RD","103.148194088"
"17","mpd.sd.RD","24.657404611956"
"18","mpd.obs.z.RD","0.312257374306133"
"19","mpd.obs.rank.RD","484"
"20","mpd.obs.q.RD","0.483516483516484"
"21","n.mean.DAMOCLES","3.983"
"22","mntd.mean.DAMOCLES",NA
"23","mntd.sd.DAMOCLES",NA
"24","mntd.obs.z.DAMOCLES",NA
"25","mntd.obs.rank.DAMOCLES","570"
"26","mntd.obs.q.DAMOCLES","0.569430569430569"
"27","mpd.mean.DAMOCLES",NA
"28","mpd.sd.DAMOCLES",NA
"29","mpd.obs.z.DAMOCLES",NA
"30","mpd.obs.rank.DAMOCLES","410"
"31","mpd.obs.q.DAMOCLES","0.40959040959041"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
