"","desc","value"
"1","Root_state","0,1"
"2","mu","0.232181055643995"
"3","gamma_0","0.0759783224626494"
"4","loglik.obs","-8.44527870713893"
"5","df","2"
"6","conv","0"
"7","n.obs","4"
"8","mntd.obs","97.8916215"
"9","mpd.obs","151.911790833333"
"10","runs","1000"
"11","mntd.mean.RD","85.983074787"
"12","mntd.sd.RD","26.7840713620963"
"13","mntd.obs.z.RD","-0.444613014653646"
"14","mntd.obs.rank.RD","607"
"15","mntd.obs.q.RD","0.606393606393606"
"16","mpd.mean.RD","122.002389890333"
"17","mpd.sd.RD","30.6527163208216"
"18","mpd.obs.z.RD","-0.975750423876247"
"19","mpd.obs.rank.RD","849"
"20","mpd.obs.q.RD","0.848151848151848"
"21","n.mean.DAMOCLES","3.973"
"22","mntd.mean.DAMOCLES",NA
"23","mntd.sd.DAMOCLES",NA
"24","mntd.obs.z.DAMOCLES",NA
"25","mntd.obs.rank.DAMOCLES","585.5"
"26","mntd.obs.q.DAMOCLES","0.584915084915085"
"27","mpd.mean.DAMOCLES",NA
"28","mpd.sd.DAMOCLES",NA
"29","mpd.obs.z.DAMOCLES",NA
"30","mpd.obs.rank.DAMOCLES","777.5"
"31","mpd.obs.q.DAMOCLES","0.776723276723277"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
