"","desc","value"
"1","Root_state","0,1"
"2","mu","0.297568591982894"
"3","gamma_0","0.445393180779018"
"4","loglik.obs","-10.2389784362809"
"5","df","2"
"6","conv","0"
"7","n.obs","9"
"8","mntd.obs","46.0476164444444"
"9","mpd.obs","72.7573307222222"
"10","runs","1000"
"11","mntd.mean.RD","33.7880846948889"
"12","mntd.sd.RD","8.94410919349011"
"13","mntd.obs.z.RD","-1.37068225402241"
"14","mntd.obs.rank.RD","913.5"
"15","mntd.obs.q.RD","0.912587412587413"
"16","mpd.mean.RD","69.6460954198889"
"17","mpd.sd.RD","2.6426200262707"
"18","mpd.obs.z.RD","-1.17732979823208"
"19","mpd.obs.rank.RD","905.5"
"20","mpd.obs.q.RD","0.904595404595405"
"21","n.mean.DAMOCLES","9.131"
"22","mntd.mean.DAMOCLES","35.6268297332933"
"23","mntd.sd.DAMOCLES","10.8480180257565"
"24","mntd.obs.z.DAMOCLES","-0.96061664779769"
"25","mntd.obs.rank.DAMOCLES","841"
"26","mntd.obs.q.DAMOCLES","0.84015984015984"
"27","mpd.mean.DAMOCLES","69.8897089676374"
"28","mpd.sd.DAMOCLES","3.08014658873011"
"29","mpd.obs.z.DAMOCLES","-0.931001714359019"
"30","mpd.obs.rank.DAMOCLES","854"
"31","mpd.obs.q.DAMOCLES","0.853146853146853"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
