"","desc","value"
"1","Root_state","0,1"
"2","mu","0.0959283841844755"
"3","gamma_0","0.0428430964680606"
"4","loglik.obs","-9.67196283273266"
"5","df","2"
"6","conv","0"
"7","n.obs","5"
"8","mntd.obs","103.6318858"
"9","mpd.obs","128.4296138"
"10","runs","1000"
"11","mntd.mean.RD","81.8217203566"
"12","mntd.sd.RD","21.8457004356111"
"13","mntd.obs.z.RD","-0.998373364483514"
"14","mntd.obs.rank.RD","852.5"
"15","mntd.obs.q.RD","0.851648351648352"
"16","mpd.mean.RD","124.960559977"
"17","mpd.sd.RD","24.2614763165659"
"18","mpd.obs.z.RD","-0.142986097702195"
"19","mpd.obs.rank.RD","484.5"
"20","mpd.obs.q.RD","0.484015984015984"
"21","n.mean.DAMOCLES","5.069"
"22","mntd.mean.DAMOCLES",NA
"23","mntd.sd.DAMOCLES",NA
"24","mntd.obs.z.DAMOCLES",NA
"25","mntd.obs.rank.DAMOCLES","763"
"26","mntd.obs.q.DAMOCLES","0.762237762237762"
"27","mpd.mean.DAMOCLES",NA
"28","mpd.sd.DAMOCLES",NA
"29","mpd.obs.z.DAMOCLES",NA
"30","mpd.obs.rank.DAMOCLES","459"
"31","mpd.obs.q.DAMOCLES","0.458541458541459"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
