"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Barre des Ecrins",39,275.852530153846,263.415156928832,8.21477150303771,949,1.51402546259691,0.949,999
"Brevoort",10,259.7384382,263.241353899808,8.46143793389399,324,-0.413985864716529,0.324,999
"Burlan",31,271.365998735484,263.012111824837,8.23839898839395,858,1.01401824825621,0.858,999
"Choisy",16,258.37413085,262.96260803426,8.52483245498498,290,-0.538248371271777,0.29,999
"La Meije",33,265.048338602273,263.155495540457,8.0341123654298,579,0.235600770280538,0.579,999
"Lauvitel",95,269.742664958119,263.135473154763,8.20341652384361,806,0.80541952053167,0.806,999
"Muraillette",62,265.980170028027,263.032692155546,8.41968902996948,615,0.350069683332766,0.615,999
"Occidentale Ailefroide",28,271.749104621693,263.400711935802,8.41921059819805,826,0.991588532976973,0.826,999
"Olan",59,264.123776065459,263.232429913768,8.12445053158306,502,0.109711561197325,0.502,999
"Pelvoux",13,281.49496774359,263.301901472556,8.88111325896081,992,2.0485119084229,0.992,999
"Persistent",164,263.341607466183,263.115335427975,8.09079780949443,466,0.0279665916186764,0.466,999
"Plat de la Selle",31,283.098430636559,262.676587351947,8.51702364089193,999,2.39776759413494,0.999,999
"Rateau",81,269.380212546296,263.080587012413,8.34162635041664,764,0.755203514188696,0.764,999
"Rocher de la Selle",118,268.23889696842,263.549889290123,8.01048817295056,712,0.58535854208365,0.712,999
"Rouies",40,251.872930391026,263.385112318717,8.0175635125545,87,-1.43587037504155,0.087,999
"Sirac",72,264.689016605634,263.497289634476,8.38900844891374,523,0.142058144107832,0.523,999
