"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"Barre des Ecrins",40,66.5242734545455,91.1056346224276,18.7979535382409,85,-1.30766155570478,0.085,999
"Brevoort",11,152.569565666667,156.164621906657,35.8287787506086,475,-0.100339904550303,0.475,999
"Burlan",33,82.0870087916667,97.5205548779196,18.4495611030181,203,-0.836526462612069,0.203,999
"Choisy",17,108.053069878788,131.76033790903,31.3393015798259,224,-0.756470847630615,0.224,999
"La Meije",36,64.4299647710843,94.517403319066,17.5542245645497,34,-1.71397138263473,0.034,999
"Lauvitel",96,44.7932038463687,58.8309009713261,10.7898996680848,72,-1.30100349000271,0.072,999
"Muraillette",62,60.4130516601942,73.5768943512153,11.3443121328656,106,-1.1603914399432,0.106,999
"Occidentale Ailefroide",29,79.6523072631579,104.915130208129,19.5429518401261,86,-1.29268204474111,0.086,999
"Olan",63,76.59445459375,72.5964540542965,12.8915176460504,654,0.310126445095343,0.654,999
"Pelvoux",16,180.413494823529,133.117681603604,28.2404969258991,950,1.67475145157772,0.95,999
"Plat de la Selle",31,69.1885285897436,100.694865462,17.9435265993711,36,-1.75586090603623,0.036,999
"Rateau",100,51.5759852825112,57.8575709292072,8.64748165813612,238,-0.726406356790118,0.238,999
"Rocher de la Selle",150,37.1166014686907,46.7872217482758,6.44970402631594,51,-1.49938977666684,0.051,999
"Rouies",40,70.5057874622642,91.381897798185,16.6193738908282,90,-1.25613097539383,0.09,999
"Sirac",76,49.0067028740741,66.3779481637341,10.2310249605972,27,-1.69789882798272,0.027,999
"Summits",215,28.6179633525105,39.0066071435457,5.83738847259902,11,-1.77967319458009,0.011,999
