"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"Barre des Ecrins",40,60.1690311,56.3585789537137,5.97472326191848,746,0.637762115372476,0.746,999
"Brevoort",11,133.958141,55.9479290490881,6.05498376728306,1000,12.8836368434917,1,999
"Burlan",33,84.8327668484849,56.2501566625425,5.96179776803472,1000,4.79429381841721,1,999
"Choisy",17,97.5777625882353,56.4743084167988,6.10597145656366,1000,6.73168134896078,1,999
"La Meije",36,71.64471025,56.0357801719627,6.11632371039361,993,2.55201176672724,0.993,999
"Lauvitel",96,43.750032875,56.3865473868726,6.21391474425735,18,-2.03358350282335,0.018,999
"Muraillette",62,54.293200016129,56.1914516444034,5.98265533783794,375,-0.317292493229338,0.375,999
"Occidentale Ailefroide",29,82.6647652413793,56.1257937870755,5.90800657532435,1000,4.49203485404835,1,999
"Olan",63,78.9228341428571,55.9606837437866,5.93423779688147,1000,3.86943550040033,1,999
"Pelvoux",16,182.4679245,56.0915819101331,5.87717146056066,1000,21.5029191232428,1,999
"Plat de la Selle",31,71.590894483871,56.4369317314272,6.09851516125859,996,2.48486104432614,0.996,999
"Rateau",100,55.92053351,55.933819889462,6.12763385694282,507,-0.00216827241512267,0.507,999
"Rocher de la Selle",150,47.9580126333333,56.2519709969818,6.11051730546609,90,-1.35732507560844,0.09,999
"Rouies",40,75.866448975,56.2942153447209,6.09504709707875,1000,3.21117020402676,1,999
"Sirac",76,49.7230208026316,56.012008913456,5.89631305378177,153,-1.0665967111076,0.153,999
