"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Barre des Ecrins",40,275.315477865385,275.868456302177,8.78675644352337,474,-0.0629331699753711,0.474,999
"Brevoort",11,255.276635890909,275.724316198513,8.46944109539477,11,-2.41428921664292,0.011,999
"Burlan",33,267.641368617424,275.800641831288,8.4334546748741,182,-0.967488832088349,0.182,999
"Choisy",17,256.806892838235,275.370505295816,9.12065861087828,28,-2.03533683800417,0.028,999
"La Meije",36,261.160879080952,275.826163102332,8.91819345960077,54,-1.64442317693748,0.054,999
"Lauvitel",96,269.245131620833,276.331187486889,8.47223982742335,197,-0.836385183894279,0.197,999
"Muraillette",62,265.980170028027,275.432463449811,8.58920303228669,139,-1.10048550328278,0.139,999
"Occidentale Ailefroide",29,270.617859783251,275.816003136727,8.8630247163323,268,-0.58649767092456,0.268,999
"Olan",63,277.386492412698,275.591206841864,8.89786196598176,582,0.201765949808828,0.582,999
"Pelvoux",16,378.247871733333,275.573020461368,8.67399932597377,1000,11.8370831508497,1,999
"Plat de la Selle",31,283.098430636559,275.703633843513,8.65651594348857,797,0.854246308944667,0.797,999
"Rateau",100,278.169611471313,275.629747724638,8.57842622015936,616,0.296075723156081,0.616,999
"Rocher de la Selle",150,273.505325264251,275.736258711821,8.71187153503527,393,-0.256079699820912,0.393,999
"Rouies",40,251.872930391026,275.857880062719,8.55953889849583,6,-2.80213104422111,0.006,999
"Sirac",76,262.778903064561,275.793248707563,9.10951910236757,85,-1.42865342250828,0.085,999
