"","test","pool","clade","metric","mean.of.diff","t.value","df","p.value","conf.low","conf.high"
"1","Pools","Ecrins_Summits","Spermatophyta","mntd",-1.42880887784262,-7.72022390307932,14,2.067e-06,-1.82575206229525,"-1.03186569338999"
"2","Pools","Ecrins_Summits","Spermatophyta","mpd",-0.293791047074336,-12.8793864795156,14,4e-09,-0.342715669982163,"-0.244866424166509"
"3","Pools","Ecrins_LGM","Spermatophyta","mntd",-1.77410981552311,-6.75953715483546,14,9.177e-06,-2.33703106709376,"-1.21118856395246"
"4","Pools","Ecrins_LGM","Spermatophyta","mpd",-1.01226521790991,-3.62572487465229,14,0.002754282,-1.61106767509403,"-0.413462760725786"
"5","Pools","Ecrins_Summits","Clades","mntd",-0.407550738402743,-6.58088104898324,67,8e-09,-0.531162557623626,"-0.28393891918186"
"6","Pools","Ecrins_Summits","Clades","mpd",-0.352223181171525,-5.64282203812932,67,3.66e-07,-0.476813396377531,"-0.227632965965518"
"7","Pools","Ecrins_LGM","Clades","mntd",-0.470233971483178,-7.51106258326256,66,0,-0.595229923206182,"-0.345238019760174"
"8","Pools","Ecrins_LGM","Clades","mpd",-0.43526127255184,-6.2954372999051,66,2.8e-08,-0.573302067547607,"-0.297220477556072"
"9","Endemics_No","Ecrins","Spermatophyta","mntd",-1.42880887784262,-7.72022390307932,14,2.067e-06,-1.82575206229525,"-1.03186569338999"
"10","Endemics_No","Ecrins","Spermatophyta","mpd",-0.071772326827787,-1.77231885682089,14,0.098093207,-0.158628216527707,"0.0150835628721331"
"11","Endemics_No","summit","Spermatophyta","mntd",-0.0309559441974284,-0.296950620347263,14,0.770864368,-0.254541592710059,"0.192629704315202"
"12","Endemics_No","summit","Spermatophyta","mpd",0.0821650996448732,2.50575428099794,14,0.025185058,0.0118363314706929,"0.152493867819054"
"13","Endemics_No","Persistent LGM","Spermatophyta","mntd",-0.151119547355004,-1.17379313239335,14,0.260060212,-0.427249288198097,"0.125010193488088"
"14","Endemics_No","Persistent LGM","Spermatophyta","mpd",0.0685074015227667,1.51130998399487,14,0.152949171,-0.0287153816030865,"0.16573018464862"
"15","Endemics_No","Ecrins NP","Clades","mntd",0.0385168871691102,0.73216463240719,67,0.466621593,-0.0664868581058149,"0.143520632444035"
"16","Endemics_No","Ecrins NP","Clades","mpd",0.146535334351551,1.72354421131179,67,0.089402295,-0.0231648390504269,"0.316235507753529"
"17","Endemics_No","Summits","Clades","mntd",0.0136787291763746,0.238206875852109,67,0.812447666,-0.100939531152283,"0.128296989505032"
"18","Endemics_No","Summits","Clades","mpd",0.024287764700482,0.322188717521505,67,0.748312899,-0.12617865018733,"0.174754179588294"
"19","Endemics_No","Persistent LGM","Clades","mntd",-0.0566019017570855,-0.907163490769433,66,0.367620658,-0.181176296828232,"0.0679724933140606"
"20","Endemics_No","Persistent LGM","Clades","mpd",-0.0154976187460747,-0.193986210587809,66,0.846782502,-0.175003771648087,"0.144008534155938"
