"","desc","value"
"1","Root_state","0,1"
"2","mu","0.632209792265969"
"3","gamma_0","0.377716056163828"
"4","loglik.obs","-17.3927766063276"
"5","df","2"
"6","conv","0"
"7","n.obs","10"
"8","mntd.obs","62.9076315"
"9","mpd.obs","104.383372755556"
"10","runs","1000"
"11","mntd.mean.RD","46.3445999102"
"12","mntd.sd.RD","12.2460926925417"
"13","mntd.obs.z.RD","-1.35251561503266"
"14","mntd.obs.rank.RD","909"
"15","mntd.obs.q.RD","0.908091908091908"
"16","mpd.mean.RD","104.060317130778"
"17","mpd.sd.RD","11.7322614465687"
"18","mpd.obs.z.RD","-0.0275356653317901"
"19","mpd.obs.rank.RD","441"
"20","mpd.obs.q.RD","0.440559440559441"
"21","n.mean.DAMOCLES","9.96"
"22","mntd.mean.DAMOCLES","49.3114666224114"
"23","mntd.sd.DAMOCLES","15.1685603920253"
"24","mntd.obs.z.DAMOCLES","-0.896338513754847"
"25","mntd.obs.rank.DAMOCLES","837"
"26","mntd.obs.q.DAMOCLES","0.836163836163836"
"27","mpd.mean.DAMOCLES","103.785978002921"
"28","mpd.sd.DAMOCLES","12.3916037276771"
"29","mpd.obs.z.DAMOCLES","-0.0482096398305536"
"30","mpd.obs.rank.DAMOCLES","467"
"31","mpd.obs.q.DAMOCLES","0.466533466533467"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
