"","desc","value"
"1","Root_state","0,1"
"2","mu","0.4408413878587"
"3","gamma_0","0.115030345792955"
"4","loglik.obs","-6.97406819888612"
"5","df","2"
"6","conv","0"
"7","n.obs","3"
"8","mntd.obs","55.94445"
"9","mpd.obs","68.4908853333333"
"10","runs","1000"
"11","mntd.mean.RD","61.9439826036667"
"12","mntd.sd.RD","18.3877540170471"
"13","mntd.obs.z.RD","0.326278706910292"
"14","mntd.obs.rank.RD","345"
"15","mntd.obs.q.RD","0.344655344655345"
"16","mpd.mean.RD","70.3347927486667"
"17","mpd.sd.RD","11.2851152868695"
"18","mpd.obs.z.RD","0.163392873573809"
"19","mpd.obs.rank.RD","351"
"20","mpd.obs.q.RD","0.350649350649351"
"21","n.mean.DAMOCLES","3.077"
"22","mntd.mean.DAMOCLES",NA
"23","mntd.sd.DAMOCLES",NA
"24","mntd.obs.z.DAMOCLES",NA
"25","mntd.obs.rank.DAMOCLES","350"
"26","mntd.obs.q.DAMOCLES","0.34965034965035"
"27","mpd.mean.DAMOCLES",NA
"28","mpd.sd.DAMOCLES",NA
"29","mpd.obs.z.DAMOCLES",NA
"30","mpd.obs.rank.DAMOCLES","274.5"
"31","mpd.obs.q.DAMOCLES","0.274225774225774"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
