"","desc","value"
"1","Root_state","0,1"
"2","mu","2.73123666617915e-17"
"3","gamma_0","0.00415393469080519"
"4","loglik.obs","-6.89760312028065"
"5","df","2"
"6","conv","0"
"7","n.obs","3"
"8","mntd.obs","104.421407666667"
"9","mpd.obs","140.482278666667"
"10","runs","1000"
"11","mntd.mean.RD","98.3088196846667"
"12","mntd.sd.RD","37.2201729296802"
"13","mntd.obs.z.RD","-0.164227823270689"
"14","mntd.obs.rank.RD","617"
"15","mntd.obs.q.RD","0.616383616383616"
"16","mpd.mean.RD","126.078074888667"
"17","mpd.sd.RD","36.9236561511763"
"18","mpd.obs.z.RD","-0.390107732533988"
"19","mpd.obs.rank.RD","625"
"20","mpd.obs.q.RD","0.624375624375624"
"21","n.mean.DAMOCLES","3.036"
"22","mntd.mean.DAMOCLES",NA
"23","mntd.sd.DAMOCLES",NA
"24","mntd.obs.z.DAMOCLES",NA
"25","mntd.obs.rank.DAMOCLES","364.5"
"26","mntd.obs.q.DAMOCLES","0.364135864135864"
"27","mpd.mean.DAMOCLES",NA
"28","mpd.sd.DAMOCLES",NA
"29","mpd.obs.z.DAMOCLES",NA
"30","mpd.obs.rank.DAMOCLES","315"
"31","mpd.obs.q.DAMOCLES","0.314685314685315"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
