"","desc","value"
"1","Root_state","0,1"
"2","mu","7.12641516974046"
"3","gamma_0","1.67444780238593"
"4","loglik.obs","-78.6013565753415"
"5","df","2"
"6","conv","0"
"7","n.obs","31"
"8","mntd.obs","90.7183406451613"
"9","mpd.obs","255.591030911828"
"10","runs","1000"
"11","mntd.mean.RD","88.9333164760968"
"12","mntd.sd.RD","12.9889335275089"
"13","mntd.obs.z.RD","-0.137426538159123"
"14","mntd.obs.rank.RD","560"
"15","mntd.obs.q.RD","0.559440559440559"
"16","mpd.mean.RD","263.487286063634"
"17","mpd.sd.RD","12.6448917169077"
"18","mpd.obs.z.RD","0.624462061723176"
"19","mpd.obs.rank.RD","251"
"20","mpd.obs.q.RD","0.250749250749251"
"21","n.mean.DAMOCLES","31.185"
"22","mntd.mean.DAMOCLES","90.0247608727132"
"23","mntd.sd.DAMOCLES","15.1411592811327"
"24","mntd.obs.z.DAMOCLES","-0.0458075738832183"
"25","mntd.obs.rank.DAMOCLES","546"
"26","mntd.obs.q.DAMOCLES","0.545454545454545"
"27","mpd.mean.DAMOCLES","264.31738467301"
"28","mpd.sd.DAMOCLES","12.4549072196935"
"29","mpd.obs.z.DAMOCLES","0.700635790155373"
"30","mpd.obs.rank.DAMOCLES","243"
"31","mpd.obs.q.DAMOCLES","0.242757242757243"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
