"","desc","value"
"1","Root_state","0,1"
"2","mu","0.145202519391895"
"3","gamma_0","0.0102481160882994"
"4","loglik.obs","-7.2332886902929"
"5","df","2"
"6","conv","0"
"7","n.obs","2"
"8","mntd.obs","102.297246"
"9","mpd.obs","102.297246"
"10","runs","1000"
"11","mntd.mean.RD","104.182700763"
"12","mntd.sd.RD","42.5373213528322"
"13","mntd.obs.z.RD","0.0443247177545767"
"14","mntd.obs.rank.RD","379.5"
"15","mntd.obs.q.RD","0.379120879120879"
"16","mpd.mean.RD","104.182700763"
"17","mpd.sd.RD","42.5373213528322"
"18","mpd.obs.z.RD","0.0443247177545767"
"19","mpd.obs.rank.RD","379.5"
"20","mpd.obs.q.RD","0.379120879120879"
"21","n.mean.DAMOCLES","2.003"
"22","mntd.mean.DAMOCLES",NA
"23","mntd.sd.DAMOCLES",NA
"24","mntd.obs.z.DAMOCLES",NA
"25","mntd.obs.rank.DAMOCLES","356"
"26","mntd.obs.q.DAMOCLES","0.355644355644356"
"27","mpd.mean.DAMOCLES",NA
"28","mpd.sd.DAMOCLES",NA
"29","mpd.obs.z.DAMOCLES",NA
"30","mpd.obs.rank.DAMOCLES","316"
"31","mpd.obs.q.DAMOCLES","0.315684315684316"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
