"","desc","value"
"1","Root_state","0,1"
"2","mu","11.0994119837364"
"3","gamma_0","3.46856579389525"
"4","loglik.obs","-10.8332148936311"
"5","df","2"
"6","conv","0"
"7","n.obs","5"
"8","mntd.obs","39.7165756"
"9","mpd.obs","61.9424534"
"10","runs","1000"
"11","mntd.mean.RD","49.2671641862"
"12","mntd.sd.RD","14.4868840383788"
"13","mntd.obs.z.RD","0.659257612672158"
"14","mntd.obs.rank.RD","224.5"
"15","mntd.obs.q.RD","0.224275724275724"
"16","mpd.mean.RD","69.6493032638"
"17","mpd.sd.RD","6.14777192742592"
"18","mpd.obs.z.RD","1.25360048400931"
"19","mpd.obs.rank.RD","104"
"20","mpd.obs.q.RD","0.103896103896104"
"21","n.mean.DAMOCLES","4.995"
"22","mntd.mean.DAMOCLES",NA
"23","mntd.sd.DAMOCLES",NA
"24","mntd.obs.z.DAMOCLES",NA
"25","mntd.obs.rank.DAMOCLES","322"
"26","mntd.obs.q.DAMOCLES","0.321678321678322"
"27","mpd.mean.DAMOCLES",NA
"28","mpd.sd.DAMOCLES",NA
"29","mpd.obs.z.DAMOCLES",NA
"30","mpd.obs.rank.DAMOCLES","118"
"31","mpd.obs.q.DAMOCLES","0.117882117882118"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
