"","desc","value"
"1","Root_state","0,1"
"2","mu","32.2209180439315"
"3","gamma_0","6.23630618980785"
"4","loglik.obs","-15.7066554328737"
"5","df","2"
"6","conv","0"
"7","n.obs","6"
"8","mntd.obs","61.8957431666667"
"9","mpd.obs","134.818644466667"
"10","runs","1000"
"11","mntd.mean.RD","59.4205263365"
"12","mntd.sd.RD","18.7699710850026"
"13","mntd.obs.z.RD","-0.131871105126229"
"14","mntd.obs.rank.RD","540"
"15","mntd.obs.q.RD","0.53946053946054"
"16","mpd.mean.RD","125.6312401058"
"17","mpd.sd.RD","19.0258497549384"
"18","mpd.obs.z.RD","-0.482890618774172"
"19","mpd.obs.rank.RD","605"
"20","mpd.obs.q.RD","0.604395604395604"
"21","n.mean.DAMOCLES","5.919"
"22","mntd.mean.DAMOCLES",NA
"23","mntd.sd.DAMOCLES",NA
"24","mntd.obs.z.DAMOCLES",NA
"25","mntd.obs.rank.DAMOCLES","582"
"26","mntd.obs.q.DAMOCLES","0.581418581418581"
"27","mpd.mean.DAMOCLES",NA
"28","mpd.sd.DAMOCLES",NA
"29","mpd.obs.z.DAMOCLES",NA
"30","mpd.obs.rank.DAMOCLES","625"
"31","mpd.obs.q.DAMOCLES","0.624375624375624"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
