"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool","model"
"1","39","21.0016260769231","23.8213666915128","2.86077484002028","182",-0.985656254782272,"0.181818181818182","1000","All Summits","MNTD","Asterales",0,"Regional","RD"
"2","37","24.4117922432432","31.1490873414595","4.38762623202834","69",-1.53552165611464,"0.0689310689310689","1000","All Summits","MNTD","Poales",0,"Regional","RD"
"3","21","24.5402206666667","32.5433072683333","4.94441830558555","49",-1.61861034140777,"0.048951048951049","1000","All Summits","MNTD","Lamiales",1,"Regional","RD"
"4","19","44.4506242105263","46.9473891191053","8.10367440481525","384",-0.308102816556321,"0.383616383616384","1000","All Summits","MNTD","Caryophyllales",0,"Regional","RD"
"5","28","22.0372388928571","28.5036048543214","4.03990068764731","59",-1.60062498101409,"0.0589410589410589","1000","LGM","MNTD","Asterales",0,"Regional","RD"
"6","28","29.2269466785714","35.5471723588929","5.66032013184874","137",-1.11658449223739,"0.136863136863137","1000","LGM","MNTD","Poales",0,"Regional","RD"
"7","16","23.4475326875","36.2076010304375","6.06084792416876","21",-2.10532725826272,"0.020979020979021","1000","LGM","MNTD","Lamiales",1,"Regional","RD"
"8","17","55.1041172352941","49.5766440734706","8.70824882083519","731",0.634739920223524,"0.73026973026973","1000","LGM","MNTD","Caryophyllales",0,"Regional","RD"
"9","163","39.2903360490798","44.720495256362","3.22611742076853","48",-1.68318709428395,"0.047952047952048","1000","LGM","MNTD","Spermatophyta",1,"All Summits","RD"
"10","28","22.0372388928571","24.8655851343214","2.8039269452746","161",-1.00870896306012,"0.160839160839161","1000","LGM","MNTD","Asterales",0,"All Summits","RD"
"11","28","29.2269466785714","25.8785267381071","2.98362860355231","873",1.12226432488201,"0.872127872127872","1000","LGM","MNTD","Poales",0,"All Summits","RD"
"12","16","23.4475326875","27.599575453625","4.36330964660555","182",-0.951581047967818,"0.181818181818182","1000","LGM","MNTD","Lamiales",0,"All Summits","RD"
"13","17","55.1041172352941","46.9055962913529","5.56045509863458","856.5",1.47443344088048,"0.855644355644356","1000","LGM","MNTD","Caryophyllales",0,"All Summits","RD"
"14","5","57.0307056","72.6220291902","20.5941980502367","222",-0.75707359675609,"0.221778221778222","1000","Plat de la Selle","MNTD","Asterales",0,"All Summits","RD"
"15","7","27.2379847142857","62.279570103","16.257605819799","22",-2.1553964204274,"0.021978021978022","1000","Barre des Ecrins","MNTD","Asterales",1,"All Summits","RD"
"16","4","92.6499935","79.190583132","23.9000629217291","673",0.563153762903411,"0.672327672327672","1000","La Meije","MNTD","Asterales",0,"All Summits","RD"
"17","13","52.980313","42.1132915999231","8.2117660568387","902",1.32334766052267,"0.901098901098901","1000","Sirac","MNTD","Asterales",0,"All Summits","RD"
"18","10","35.1340201","49.9517879766","11.4754611399577","104",-1.29125685633707,"0.103896103896104","1000","Rouies","MNTD","Asterales",0,"All Summits","RD"
"19","10","46.4364548","50.2785181776","11.3322746606206","382",-0.339037262391025,"0.381618381618382","1000","Olan","MNTD","Asterales",0,"All Summits","RD"
"20","5","21.9574156","71.5638463764","21.0850712267038","6",-2.3526802562362,"0.00599400599400599","1000","Occidentale Ailefroide","MNTD","Asterales",1,"All Summits","RD"
"21","2","102.297246","104.182700763","42.5373213528322","379.5",-0.0443247177545767,"0.379120879120879","1000","Brevoort","MNTD","Asterales",0,"All Summits","RD"
"22","5","75.022142","72.4252788932","21.176510445149","550",0.122629415905248,"0.549450549450549","1000","Burlan","MNTD","Asterales",0,"All Summits","RD"
"23","31","22.3303287096774","23.3825770697419","2.04765228230605","323",-0.513880393246982,"0.322677322677323","1000","Rocher de la Selle","MNTD","Asterales",0,"All Summits","RD"
"24","3","95.550006","88.337764863","27.5750703527131","530.5",0.261549328605444,"0.52997002997003","1000","Choisy","MNTD","Asterales",0,"All Summits","RD"
"25","11","43.1066208181818","47.3310755601818","10.0833615839601","338",-0.418953015502286,"0.337662337662338","1000","Muraillette","MNTD","Asterales",0,"All Summits","RD"
"26","16","21.489481375","36.9525087668125","6.51658503795594","8",-2.37287280097595,"0.00799200799200799","1000","Rateau","MNTD","Asterales",1,"All Summits","RD"
