"","desc","value"
"1","Root_state","0,1"
"2","mu","6.09529578644696"
"3","gamma_0","1.97806738444557"
"4","loglik.obs","-84.0861388771704"
"5","df","2"
"6","conv","0"
"7","n.obs","37"
"8","mntd.obs","24.4117922432432"
"9","mpd.obs","125.793363153153"
"10","runs","1000"
"11","mntd.mean.RD","31.1490873414595"
"12","mntd.sd.RD","4.38762623202834"
"13","mntd.obs.z.RD","1.53552165611464"
"14","mntd.obs.rank.RD","69"
"15","mntd.obs.q.RD","0.0689310689310689"
"16","mpd.mean.RD","133.572214789471"
"17","mpd.sd.RD","4.17440726980715"
"18","mpd.obs.z.RD","1.86346255493123"
"19","mpd.obs.rank.RD","44"
"20","mpd.obs.q.RD","0.043956043956044"
"21","n.mean.DAMOCLES","37.053"
"22","mntd.mean.DAMOCLES","31.1553667921765"
"23","mntd.sd.DAMOCLES","5.13853657737253"
"24","mntd.obs.z.DAMOCLES","1.3123531276645"
"25","mntd.obs.rank.DAMOCLES","87"
"26","mntd.obs.q.DAMOCLES","0.0869130869130869"
"27","mpd.mean.DAMOCLES","134.023552315273"
"28","mpd.sd.DAMOCLES","4.14625912789283"
"29","mpd.obs.z.DAMOCLES","1.98496739066639"
"30","mpd.obs.rank.DAMOCLES","39"
"31","mpd.obs.q.DAMOCLES","0.038961038961039"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
