"","desc","value"
"1","Root_state","0,1"
"2","mu","0.0349791505988095"
"3","gamma_0","0.0155006394203371"
"4","loglik.obs","-8.39927497547023"
"5","df","2"
"6","conv","0"
"7","n.obs","4"
"8","mntd.obs","89.5062135"
"9","mpd.obs","149.116654833333"
"10","runs","1000"
"11","mntd.mean.RD","88.96275225825"
"12","mntd.sd.RD","26.8589460126085"
"13","mntd.obs.z.RD","-0.0202339005221901"
"14","mntd.obs.rank.RD","511"
"15","mntd.obs.q.RD","0.510489510489511"
"16","mpd.mean.RD","124.5978395555"
"17","mpd.sd.RD","29.7063204526484"
"18","mpd.obs.z.RD","-0.825373688300311"
"19","mpd.obs.rank.RD","790"
"20","mpd.obs.q.RD","0.789210789210789"
"21","n.mean.DAMOCLES","4.047"
"22","mntd.mean.DAMOCLES",NA
"23","mntd.sd.DAMOCLES",NA
"24","mntd.obs.z.DAMOCLES",NA
"25","mntd.obs.rank.DAMOCLES","413.5"
"26","mntd.obs.q.DAMOCLES","0.413086913086913"
"27","mpd.mean.DAMOCLES",NA
"28","mpd.sd.DAMOCLES",NA
"29","mpd.obs.z.DAMOCLES",NA
"30","mpd.obs.rank.DAMOCLES","695.5"
"31","mpd.obs.q.DAMOCLES","0.694805194805195"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
