"","desc","value"
"1","Root_state","0,1"
"2","mu","3.98329646148306"
"3","gamma_0","12.9824908418127"
"4","loglik.obs","-116.088396392509"
"5","df","2"
"6","conv","0"
"7","n.obs","163"
"8","mntd.obs","39.2903360490798"
"9","mpd.obs","263.51901332379"
"10","runs","1000"
"11","mntd.mean.RD","44.720495256362"
"12","mntd.sd.RD","3.22611742076853"
"13","mntd.obs.z.RD","1.68318709428395"
"14","mntd.obs.rank.RD","48"
"15","mntd.obs.q.RD","0.047952047952048"
"16","mpd.mean.RD","276.118218543398"
"17","mpd.sd.RD","4.7685367754247"
"18","mpd.obs.z.RD","2.64215330885982"
"19","mpd.obs.rank.RD","9"
"20","mpd.obs.q.RD","0.00899100899100899"
"21","n.mean.DAMOCLES","162.674"
"22","mntd.mean.DAMOCLES","44.9052525738612"
"23","mntd.sd.DAMOCLES","3.28277266771617"
"24","mntd.obs.z.DAMOCLES","1.71041893336091"
"25","mntd.obs.rank.DAMOCLES","41"
"26","mntd.obs.q.DAMOCLES","0.040959040959041"
"27","mpd.mean.DAMOCLES","276.426902511413"
"28","mpd.sd.DAMOCLES","4.82488321387261"
"29","mpd.obs.z.DAMOCLES","2.67527494769414"
"30","mpd.obs.rank.DAMOCLES","10"
"31","mpd.obs.q.DAMOCLES","0.00999000999000999"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
