"","desc","value"
"1","Root_state","0,1"
"2","mu","0.135303694344141"
"3","gamma_0","0.0458989448986666"
"4","loglik.obs","-9.28558104880399"
"5","df","2"
"6","conv","0"
"7","n.obs","4"
"8","mntd.obs","49.871941"
"9","mpd.obs","70.6488603333333"
"10","runs","1000"
"11","mntd.mean.RD","53.193573464"
"12","mntd.sd.RD","16.3389152027987"
"13","mntd.obs.z.RD","0.203295777153616"
"14","mntd.obs.rank.RD","430"
"15","mntd.obs.q.RD","0.42957042957043"
"16","mpd.mean.RD","69.1127324076667"
"17","mpd.sd.RD","8.30662704988982"
"18","mpd.obs.z.RD","-0.18492799982961"
"19","mpd.obs.rank.RD","512"
"20","mpd.obs.q.RD","0.511488511488511"
"21","n.mean.DAMOCLES","4.013"
"22","mntd.mean.DAMOCLES",NA
"23","mntd.sd.DAMOCLES",NA
"24","mntd.obs.z.DAMOCLES",NA
"25","mntd.obs.rank.DAMOCLES","239"
"26","mntd.obs.q.DAMOCLES","0.238761238761239"
"27","mpd.mean.DAMOCLES",NA
"28","mpd.sd.DAMOCLES",NA
"29","mpd.obs.z.DAMOCLES",NA
"30","mpd.obs.rank.DAMOCLES","301"
"31","mpd.obs.q.DAMOCLES","0.300699300699301"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
