"","desc","value"
"1","Root_state","0,1"
"2","mu","8.62672414390106"
"3","gamma_0","31.2718763607512"
"4","loglik.obs","-18.6237041842349"
"5","df","2"
"6","conv","0"
"7","n.obs","29"
"8","mntd.obs","22.9304945172414"
"9","mpd.obs","126.334604866995"
"10","runs","1000"
"11","mntd.mean.RD","25.7646599361034"
"12","mntd.sd.RD","2.63077845520585"
"13","mntd.obs.z.RD","1.07731056305929"
"14","mntd.obs.rank.RD","151"
"15","mntd.obs.q.RD","0.150849150849151"
"16","mpd.mean.RD","125.691793799734"
"17","mpd.sd.RD","3.37018860285995"
"18","mpd.obs.z.RD","-0.190734449317046"
"19","mpd.obs.rank.RD","540"
"20","mpd.obs.q.RD","0.53946053946054"
"21","n.mean.DAMOCLES","29.006"
"22","mntd.mean.DAMOCLES","25.7905820603014"
"23","mntd.sd.DAMOCLES","3.00102636857274"
"24","mntd.obs.z.DAMOCLES","0.953036458796677"
"25","mntd.obs.rank.DAMOCLES","144"
"26","mntd.obs.q.DAMOCLES","0.143856143856144"
"27","mpd.mean.DAMOCLES","125.994555479319"
"28","mpd.sd.DAMOCLES","3.48736285434481"
"29","mpd.obs.z.DAMOCLES","-0.0975090353023591"
"30","mpd.obs.rank.DAMOCLES","495"
"31","mpd.obs.q.DAMOCLES","0.494505494505495"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
